Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,20.037645514311073,0.09747907722273808,19.66605755883492,74.32561990404903,127.60916413120503,127.60916413120503,0.0,0.0,0.0,0.0,2236.3848437500133,710.8223596086742,26.968046040240694,106.88998496718547,0.0,0.0
 01/01  02:00:00,0.0,19.298035791950532,0.17838808817459675,19.46617739464104,47.24933455133082,518.6086590153591,518.6086590153591,0.0,0.0,0.0,0.0,1337.3976205664103,450.632232620661,19.845820954439105,140.69734383321207,0.0,0.0
 01/01  03:00:00,-0.6,18.941635644330763,0.032804092922801925,19.276873284328754,51.51264603253029,947.8450480465854,947.8450480465854,0.0,0.0,0.0,0.0,1460.070986273342,486.4651764154738,17.89968351987771,135.38843674980575,0.0,0.0
 01/01  04:00:00,-1.1,18.626088839298387,-0.2810503204084915,19.09312483995092,62.344677729401184,1265.0033755044642,1265.0033755044642,0.0,0.0,0.0,0.0,1768.6947983915006,584.7672484959255,19.58587772656785,121.81599784686688,0.0,0.0
 01/01  05:00:00,-1.1,18.447520784178103,-0.25932773399229003,18.913177933802462,75.60175356894275,1617.5629052374916,1617.5629052374916,0.0,0.0,0.0,0.0,2209.995043116251,716.2600628099322,14.111077648705516,105.40988407837544,0.0,0.0
 01/01  06:00:00,-1.7,19.218538220157363,0.06665848278824096,18.696780366289637,125.20488284437073,2828.770464148667,2828.770464148667,0.0,0.0,0.0,0.0,3771.01017498319,1184.860150827813,15.814708460351737,43.48495480621535,0.0,0.0
 01/01  07:00:00,-2.2,19.513042381530543,-0.02715021958405792,18.56409958785338,138.76627552750747,2983.589492513045,2983.589492513045,0.0,0.0,0.0,0.0,4135.694837768666,1324.3177629001843,20.400298138444995,26.42757020465414,0.0,0.0
 01/01  08:00:00,-2.2,19.638237985053408,-0.13798664521457282,18.424517936883547,137.52623077741407,2878.1475860284827,2878.1475860284827,0.0,0.0,0.0,0.0,4088.7364927583967,1320.0384088641117,20.20043503149538,27.978327786338617,0.0,0.0
 01/01  09:00:00,-1.7,19.80980853084031,0.7056300844690508,18.31698219212413,104.9736904801256,2079.814284465976,2079.814284465976,0.0,0.0,0.0,0.0,3081.752764003091,1012.9443207530394,16.469529998475192,68.69612157486644,0.0,0.0
 01/01  10:00:00,-1.1,19.80655022736421,2.343219684722547,18.21517025523204,67.7034721279194,1285.6344606936636,1285.6344606936636,0.0,0.0,0.0,0.0,1970.3521017190665,660.4627827000867,9.285766700213566,115.36487922622665,0.0,0.0
 01/01  11:00:00,0.6,20.09298599154053,5.524915071038902,18.140278257124773,25.67013627678108,441.2445816828822,441.2445816828822,0.0,0.0,0.0,0.0,762.3884695820304,254.8905842904524,2.85565994023826,167.93964431056614,0.0,0.0
 01/01  12:00:00,1.7,20.406714020186534,10.182495742552225,18.081221413338415,0.0,-357.6515741433286,-357.6515741433286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,3.3,21.055502212417135,16.74505211626824,18.041861228001544,0.0,-1018.9343723561797,-1018.9343723561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
