Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,1080.485848784428,346.08074594264133,13.332592360464252,153.751769181609,36.746079780771495,0.0,18.498017730073677,-0.7299015992581822,19.674171297272554,751.3349120567091,751.3349120567091,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.0,1632.8661167895511,525.7662017145497,23.87335166567066,128.3275781852651,56.840951834458984,0.0,18.535059064489168,0.023601335589090125,19.395027801488418,1172.8866323080283,1172.8866323080283,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-0.6,2277.0840296227984,729.6941662317973,27.26341591780953,101.12675849085646,78.46183100223399,0.0,18.635948980339624,0.20105301139170184,19.20694826431138,1644.8735430147517,1644.8735430147517,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2622.477117848117,842.5980096285168,28.398515458588765,86.105145604501,90.39737985168478,0.0,18.57564757513449,0.016636066519574534,19.025863044211274,1887.0657582182102,1887.0657582182102,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,2898.6274747698426,922.8401134598301,18.20204086890107,77.41445326734187,97.51966267423684,0.0,18.518233918122604,0.01786132676408759,18.85835239124213,2086.7067407434824,2086.7067407434824,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.7,4424.791287165703,1371.3267068837306,18.28047079929436,18.23264636377293,144.72618586112583,0.0,19.308756878921255,0.3585452374378016,18.649076876373766,3182.5899040740696,3182.5899040740696,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-2.2,4494.176153482473,1429.5988681552185,21.98489955122487,12.067313748225716,149.5448027624643,0.0,19.589925308817413,0.16552989233154497,18.532185676828284,3175.1124623817286,3175.1124623817286,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-2.2,4248.487266719645,1368.4165477628155,20.910146286256964,21.09885465403549,142.35783830021168,0.0,19.68634241405703,-0.02246564395911444,18.398476830254204,2968.523566792348,2968.523566792348,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-1.7,4457.7980772777,1420.0540006812537,23.07217793153064,15.19294420942141,147.05764513305223,85.44000000000005,19.69652496930554,1.2979066394121586,18.267531542013163,2103.242819466872,2103.242819466872,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,-1.1,3696.10535897713,1186.1750876969732,16.719631599723236,46.89366475568462,121.90473287961971,85.44000000000005,19.707276147348026,3.083820029787602,18.16392930953782,1450.0359507869362,1450.0359507869362,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,0.6,2281.134440119089,734.5528980340436,8.248031340252279,106.96512966408795,74.14337435099354,85.44000000000005,19.817337604853975,6.328079843829561,18.099698017840225,517.4262604002924,517.4262604002924,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,1.7,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.133310509869492,10.475048771916361,18.061689597408506,-172.9577795110472,-172.9577795110472,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,3.3,0.0,0.0,0.0,200.0,0.0,44.803353006659435,19.92296990568483,16.699780370070496,18.020317683061137,-750.5669340805507,-750.5669340805507,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,21.203348178265653,15.524820635620147,18.003980208072683,-1204.4059595257258,-1204.4059595257258,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,21.843178276266997,15.516171107153944,18.00620523255621,-1595.417114907994,-1595.417114907994,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,22.71097295651196,13.924533634098552,18.0232554063255,-2431.3304232016835,-2431.3304232016835,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,23.1598563824834,11.999645762880306,18.059881354827287,-2690.5167241137606,-2690.5167241137606,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,2.8,0.0,0.0,0.0,200.0,0.0,80.09594875882851,21.60003774742077,8.571179025318699,18.10177918818568,-2117.927808768738,-2117.927808768738,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,1.7,0.0,0.0,0.0,200.0,0.0,85.44000000000005,20.817181910146296,5.17186462958081,18.126759335813883,-2116.910568339077,-2116.910568339077,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,0.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,20.099361741356848,2.4931020534338755,18.12098631908005,-1462.621047523764,-1462.621047523764,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,0.0,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.630943415338315,0.5797059830325205,18.08787821871055,-902.2818750903698,-902.2818750903698,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,-1.7,0.0,0.0,0.0,200.0,0.0,85.44000000000005,18.941279983729064,-1.3761249546935026,18.02967316537525,-31.88154128134738,-31.88154128134738,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,-2.8,0.0,0.0,0.0,200.0,0.0,26.937525302202406,18.500533718390894,-3.0969826805241674,17.95420830619138,-123.91347329112978,-123.91347329112978,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,-2.2,812.1723557165485,278.01202865889775,13.235111887789964,161.26292485155577,30.639041114935335,0.0,18.53458987447384,-3.730038236672312,17.833419723189003,558.4628265195352,558.4628265195352,0.0,0.0,0.0,0.0,0.0,0.0
 01/13  01:00:00,-7.2,4254.803568103071,1458.3721621129275,9.316269725635872,0.0,159.6222843503828,0.0,18.62257301710319,-2.261722451525343,18.46026407006924,3735.2009230543026,3735.2009230543026,0.0,0.0,0.0,0.0,1066.0223837012923,1066.0223837012923
 01/13  02:00:00,-7.2,4255.752879354537,1457.28697043193,9.316269725635872,0.0,159.6222843503828,0.0,18.613203465664242,-1.9371633673963622,18.057967266050277,3672.6599723580402,3672.6599723580402,0.0,0.0,0.0,0.0,987.6679426406754,987.6679426406754
