Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.6,17.95126919890287,-3.007740391046259,18.126319623234703,75.03382138789252,1416.6296532537935,1416.6296532537935,0.0,0.0,0.0,0.0,1976.3468922382722,701.4916276633196,20.600572505808348,102.15770588880662,0.0,0.0
 01/01  02:00:00,-5.6,18.328220512783524,-2.9714547455610223,17.672675100368753,111.12705664357804,2164.385974195806,2164.385974195806,0.0,0.0,0.0,0.0,3034.928620371368,1029.025770370208,26.76325896803608,55.244738246745804,0.0,0.0
 01/01  03:00:00,-6.1,18.28423931267003,-3.1417139409301584,17.40351413021999,152.43519334974476,2942.438116700627,2942.438116700627,0.0,0.0,0.0,0.0,4220.036347868085,1412.8716830957528,39.664382357555496,1.2357456347805496,0.0,0.0
 01/01  04:00:00,-7.8,18.476009995139076,-2.986119716782072,17.14415942089956,154.6287459509058,3238.837299887844,3238.837299887844,0.0,0.0,0.0,0.0,4063.7715556178123,1395.7508393509952,43.059088100323265,0.0,673.5376109988565,673.5376109988565
 01/01  05:00:00,-6.7,18.558505001746592,-3.7762988389905905,16.9339751173628,154.6287459509058,3358.8393939695397,3358.8393939695397,0.0,0.0,0.0,0.0,4216.206829154852,1421.1870212588658,37.414944259429504,0.0,706.2624328820184,706.2624328820184
 01/01  06:00:00,-7.2,19.320252614480562,-3.2260637658076172,16.71828783608805,154.6287459509058,4372.5414428133645,4372.5414428133645,0.0,0.0,0.0,0.0,4166.155508528979,1421.7753153708293,33.925018988608095,0.0,1977.3554621142066,1977.3554621142066
 01/01  07:00:00,-7.2,19.58559050198486,-3.3410981843942693,16.550324972603914,154.6287459509058,4346.344326147215,4346.344326147215,0.0,0.0,0.0,0.0,4148.05386128314,1442.554414110125,33.90915862765285,0.0,2031.8610101469726,2031.8610101469726
 01/01  08:00:00,-7.8,19.671357343833716,-3.163629016624677,16.362878194643006,154.6287459509058,4132.99958062507,4132.99958062507,0.0,0.0,0.0,0.0,4033.7180916043026,1429.966163832944,43.04287012210012,0.0,1934.3041048994319,1934.3041048994319
 01/01  09:00:00,-7.2,19.712116566244436,-2.3122948974305557,16.194239632197515,154.6287459509058,3462.007983469164,3462.007983469164,0.0,0.0,0.0,0.0,4117.005424469601,1443.7765833556505,39.88478254044538,0.0,1081.322710970113,1081.322710970113
 01/01  10:00:00,-5.0,19.82002763953061,0.621146558716151,16.05137466955694,137.1163027660108,2354.584458885267,2354.584458885267,0.0,0.0,0.0,0.0,3825.569080218756,1310.1236984336097,40.07240640280659,21.19617383228054,0.0,0.0
