Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.6,2498.5564621467447,877.3936699930061,25.69136358001465,77.44978345375104,93.52489578283648,0.0,18.237751236573736,-2.5253948501080457,18.10326504267981,1677.622771252214,1677.622771252214,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.6,3459.788173001384,1167.868826679673,30.205317553972083,35.918975501780245,125.35008356874594,0.0,18.515894308958273,-2.576080245616838,17.65521284060025,2332.369382578463,2332.369382578463,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-6.1,4261.055108711761,1420.685059303755,39.738623281396706,0.0,153.87776647997202,0.0,18.49449838715634,-2.9856064457263853,17.40283884582904,2957.5689809631076,2957.5689809631076,0.0,0.0,0.0,0.0,168.4876743377822,168.4876743377822
 01/01  04:00:00,-7.8,4041.249120334058,1395.3742350269827,42.87313461429735,0.0,153.87776647997202,0.0,18.571039893369907,-2.8343985442009636,17.144648342398213,3153.2867503490543,3153.2867503490543,0.0,0.0,0.0,0.0,646.9427588716976,646.9427588716976
 01/01  05:00:00,-6.7,4195.7267286202,1417.6596701635274,37.253365377445384,0.0,153.87776647997202,0.0,18.597320104960232,-3.7217859993792564,16.932721747597288,3253.6827748374526,3253.6827748374526,0.0,0.0,0.0,0.0,618.9219906357689,618.9219906357689
 01/01  06:00:00,-7.2,4147.240674140915,1416.6905232686079,33.77851157698505,0.0,153.87776647997202,0.0,19.358319944620625,-3.1809234934507575,16.716894614145428,4281.374756055344,4281.374756055344,0.0,0.0,0.0,0.0,1938.4948583773134,1938.4948583773134
 01/01  07:00:00,-7.2,4129.230371434499,1437.3640518095958,33.76271971003513,0.0,153.87776647997202,0.0,19.610110128563637,-3.32171901984049,16.54992073032003,4273.441584482502,4273.441584482502,0.0,0.0,0.0,0.0,1994.0508838540763,1994.0508838540763
 01/01  08:00:00,-7.8,4015.7218736860405,1424.4443690035876,42.85698667447307,0.0,153.87776647997202,0.0,19.684834689788357,-3.153681481960837,16.36226554216222,4071.4865311447447,4071.4865311447447,0.0,0.0,0.0,0.0,1892.5732515733393,1892.5732515733393
 01/01  09:00:00,-7.2,4098.914043264466,1437.897595245466,39.71253750043197,0.0,153.87776647997202,85.44000000000007,19.69276755522331,-2.1147495998565455,16.19347194361548,3411.7225892238457,3411.7225892238457,0.0,0.0,0.0,0.0,2218.345777123292,2218.345777123292
 01/01  10:00:00,-5.0,4352.392682345427,1458.4166437806186,44.62919161411654,0.0,153.87776647997202,85.44000000000007,19.710651589117973,1.035090255599244,16.048939832469777,2340.536519734089,2340.536519734089,0.0,0.0,0.0,0.0,841.6550889287623,841.6550889287623
 01/01  11:00:00,-2.2,3341.5625180513616,1099.8396970046977,27.06954236564397,53.81283098076612,111.93622079665192,85.44000000000007,19.766639567139762,4.388877544585089,15.928227072547445,1172.9970810480881,1172.9970810480881,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,0.0,1889.8031745777832,619.9651143473695,13.544501191507711,119.49699041340614,61.743952313549435,85.44000000000007,19.7597858297049,6.677232087146195,15.821172251633243,377.3110543446346,377.3110543446346,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,1.7,1124.6420458610269,364.39567509203994,7.416140936264955,153.4643598040043,35.72640680362833,67.52127365584266,19.611681977075463,8.258844228987682,15.743788370048474,168.70767333212098,168.70767333212098,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,20.122864014651984,8.815136444094133,15.684455712824313,-180.199049739771,-180.199049739771,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,20.754479728273335,8.656494830662965,15.664776517571411,-871.3966564002876,-871.3966564002876,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,21.621992906495045,8.58715400141646,15.657755186634043,-1575.8799106301103,-1575.8799106301103,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,21.47928206541881,6.740765252700805,15.655748415587704,-1385.362134316245,-1385.362134316245,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,0.6,0.0,0.0,0.0,200.0,0.0,84.30457214227492,19.8443919671213,4.039952903144364,15.667737332071614,-718.0270929388025,-718.0270929388025,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,0.0,0.0,0.0,0.0,200.0,0.0,85.44000000000007,18.98723060999802,2.1641530941608127,15.661728726435207,-282.7116643119207,-282.7116643119207,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-1.1,1838.990251492481,604.2779459116865,13.919288466199262,119.46806990345686,61.72431679921128,85.44000000000007,19.39235687943641,1.1493521693477935,15.641369042976663,134.48295163291914,134.48295163291914,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,-0.6,2300.7295380535256,747.9298819176166,11.39460922133302,102.54683047307847,74.801461625298,85.44000000000007,19.482139024693744,0.5189048740938048,15.59403682717648,557.1493990262934,557.1493990262934,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,-0.6,2809.407169364359,904.4253815227231,13.761611235181869,82.34713002779385,90.305835388781,85.44000000000007,19.519413102998335,0.7174718911971416,15.527839452098064,1038.9420973417637,1038.9420973417637,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,-3.3,1924.1978897114482,666.190743219276,17.557092093805117,110.08834544201463,68.77477851266005,55.40524399672163,19.103038431275,-0.678774943668124,15.430039748510087,787.7590511699527,787.7590511699527,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,-2.8,1567.5273505007065,536.6521571713932,12.582049460579734,127.57456262616644,55.4540204018005,0.0,18.765730634863345,-1.9132205328835465,15.329184832691054,1064.3665411068487,1064.3665411068487,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  01:00:00,13.1,0.0,0.0,0.0,0.0,0.31758229303463636,0.0,24.09700927192611,18.595553461554346,19.700299538734686,-3970.4452222307173,-3970.4452222307173,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  02:00:00,12.7,0.0,0.0,0.0,0.0,0.0,0.0,23.85314312746986,15.178262754657998,19.51547307066571,-3355.2315685421036,-3355.2315685421036,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  03:00:00,12.7,0.0,0.0,0.0,0.0,0.0,0.0,23.588874199864794,13.09312231924425,19.363450833900735,-3015.702172098747,-3015.702172098747,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  04:00:00,13.8,0.0,0.0,0.0,0.0,0.0,0.0,23.429702733175038,11.444039884548907,19.21994474265413,-2699.8133424349544,-2699.8133424349544,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  05:00:00,15.7,0.0,0.0,0.0,0.0,0.0,0.0,23.563623269301313,10.29781115082402,19.0835585621487,-2010.4146149092908,-2010.4146149092908,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  06:00:00,19.0,0.0,0.0,0.0,0.0,13.644822148466192,0.0,23.3206592165846,10.848320299055272,18.97811773727754,-2612.643279464819,-2612.643279464819,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  07:00:00,17.2,0.0,0.0,0.0,0.0,0.0,85.44000000000007,23.097377388812287,14.45883304604432,18.838042327699153,-2644.383070342712,-2644.383070342712,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  08:00:00,20.6,0.0,0.0,0.0,0.0,43.57296086861866,4.949280091432036,23.2582376208102,23.251189600046715,18.82518074807921,-4139.326396262215,-4139.326396262215,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  09:00:00,25.0,0.0,0.0,0.0,0.0,62.52038761099394,0.0,23.348163453820177,32.72654578169102,18.80894591593668,-4860.243739510253,-4860.243739510253,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  10:00:00,26.7,0.0,0.0,0.0,0.0,82.24997941234177,0.0,23.39092503179373,34.91960409978041,18.835436204822734,-5572.582942837636,-5572.582942837636,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  11:00:00,27.8,0.0,0.0,0.0,0.0,94.75885417995659,0.0,23.386380035271614,36.67637948271118,18.884936921227222,-6204.602873990434,-6204.602873990434,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  12:00:00,28.3,0.0,0.0,0.0,0.0,100.86912300144532,0.0,23.347662040882376,39.752273629528375,18.94666161480694,-6582.977274336579,-6582.977274336579,0.0,0.0,0.0,0.0,0.0,0.0
 06/01  13:00:00,28.9,0.0,0.0,0.0,0.0,109.9284075590963,0.0,23.35391124668978,40.62216974702519,19.05372933237643,-6896.171843729644,-6896.171843729644,0.0,0.0,0.0,0.0,0.0,0.0
