Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,20.148014574617992,8.734880918813579,19.318146383808315,0.0,-972.6778757568645,-972.6778757568645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,5.0,19.734423254996848,6.896675790463929,19.040149373856966,0.0,-964.7149484214951,-964.7149484214951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,4.4,18.908387636672245,5.527339126587694,18.88495206494471,0.0,-235.96214693971888,-235.96214693971888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,4.4,18.69392559194403,4.553173559705341,18.72265347371236,0.0,-67.34897350823303,-67.34897350823303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,4.4,18.626165391867,4.5718650659507585,18.560449532648082,11.643577506650397,252.38145340330266,252.38145340330266,0.0,0.0,0.0,0.0,357.78400346028246,110.53591699401414,11.094280834950997,183.63102901084386,0.0,0.0
 01/01  06:00:00,5.0,19.58550182273188,5.240216711736581,18.40108238162165,36.79779578635195,923.2629880179202,923.2629880179202,0.0,0.0,0.0,0.0,1167.1055153874045,349.2094697058487,35.94122941229943,148.3213884291073,0.0,0.0
 01/01  07:00:00,5.6,19.690536190160326,5.800817054304122,18.280621156880574,30.576342385943946,996.0877066756875,996.0877066756875,0.0,0.0,0.0,0.0,1284.1006048582608,357.4389874774656,0.0,157.23348439447892,0.0,0.0
 01/01  08:00:00,6.1,19.70315618285463,6.375803628494847,18.1551071960097,28.685622151875172,938.2310371725507,938.2310371725507,0.0,0.0,0.0,0.0,1217.7232062332112,337.71142493977277,0.0,159.87799678825522,0.0,0.0
 01/01  09:00:00,6.1,19.72735677043172,7.162709950630281,18.042640230840608,28.936676501703626,952.6931282015867,952.6931282015867,0.0,0.0,0.0,0.0,1228.5886125487323,340.70825380313687,0.0,159.52685211456438,0.0,0.0
 01/01  10:00:00,8.3,19.879691916523033,9.224953531109502,17.944681856213947,15.74810602753954,523.1219866049141,523.1219866049141,0.0,0.0,0.0,0.0,699.0862457890373,189.99934788254944,0.0,177.97344058739424,0.0,0.0
 01/01  11:00:00,10.6,19.867285328258816,12.47699384380788,17.85930484366732,0.0,2.0966020076048153,2.0966020076048153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.2,20.231292170447205,15.452107460619292,17.79652313481894,0.0,-348.59379817088484,-348.59379817088484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.3,20.79314016996456,16.8273023208522,17.756062793041657,0.0,-697.6936511134973,-697.6936511134973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.4,21.113102937604236,17.715752129712993,17.738468989558676,0.0,-931.2829934974052,-931.2829934974052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.0,21.429951622656155,18.879335125215057,17.736467092070928,0.0,-1041.7620089139236,-1041.7620089139236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,14.4,21.86698588860188,18.755838024111554,17.743992016228606,0.0,-1120.1486732334997,-1120.1486732334997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,13.9,22.193641602523915,16.890048639613784,17.757709819561335,0.0,-1517.8096433063347,-1517.8096433063347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,12.8,22.27412133815589,14.773128495523649,17.77255541505326,0.0,-1345.1233023020613,-1345.1233023020613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,11.7,22.28532319989601,13.189690740496292,17.781787653931417,0.0,-1264.5552971566922,-1264.5552971566922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
