Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,19.275591761130816,8.626300971686339,19.297365943976963,-369.5934692101573,-369.5934692101573,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,18.97963248053403,6.793146371045759,19.015618780779175,-312.0550125878708,-312.0550125878708,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,4.4,397.77281530288275,123.59167619748715,11.275053467980868,181.92428131162148,12.797444959688525,0.0,18.624513207052644,5.576311095967139,18.84997841947293,290.4751670516671,290.4751670516671,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,4.4,764.950533854657,233.48699064412443,21.461362014588268,165.60895553362639,24.348679110824254,0.0,18.939762393162713,4.902301788629424,18.67781268977225,584.7098981965955,584.7098981965955,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,4.4,509.2986365816461,157.64827329679585,15.748855799936178,176.66240051799474,16.51559865375996,0.0,18.595915230241083,4.678641641193542,18.53192045458674,364.7174490501875,364.7174490501875,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,5.0,1518.9913527486558,450.2032513585923,46.36592732375781,133.04210213120024,47.43387064053872,0.0,19.59404041177653,5.455505579687218,18.36736161872188,1148.4415701441649,1148.4415701441649,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.6,1536.744406521691,425.7932444990736,0.0,148.8385329835729,36.39151799651364,0.0,19.705873522481095,5.938539143173907,18.256034361846623,1182.6984766920286,1182.6984766920286,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,6.1,1373.2326888540538,379.8418033222692,0.0,154.6874760057571,32.23112292449475,0.0,19.720505899773286,6.467128789540068,18.132359819254415,1047.1220993560837,1047.1220993560837,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,6.1,2722.290536575427,735.0098737024182,0.0,112.3191681018135,62.36800385234488,85.44000000000005,19.685661046292804,7.747509514608783,18.019141490707273,1016.9817897834746,1016.9817897834746,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,8.3,2210.2205881853974,584.5974339098459,0.0,131.86845003696178,48.46245956579344,85.44000000000005,19.76638465388834,9.761199061970936,17.927476121204496,566.4599328063123,566.4599328063123,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,10.6,1505.5860835336866,392.9945963972728,0.0,0.0,31.64640658930401,85.44000000000005,19.80604947680695,13.194079614093,17.848286766271652,54.938229251729354,54.938229251729354,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,12.2,0.0,0.0,0.0,0.0,0.0,27.560140390159543,19.667532935699093,15.66824355290953,17.779800555704405,-252.31537046780795,-252.31537046780795,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.3,0.0,0.0,0.0,0.0,0.0,0.0,20.610404943402266,16.9633412103906,17.741057785933506,-585.8685441989292,-585.8685441989292,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,20.979484542942995,17.754706187782084,17.72306409253005,-818.7164090119841,-818.7164090119841,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,21.321705099122905,18.90533173503805,17.720906485857363,-984.9493238697978,-984.9493238697978,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,14.4,0.0,0.0,0.0,0.0,0.0,0.0,21.77608843345597,18.766926883769823,17.728509157793365,-1147.8061474183069,-1147.8061474183069,0.0,0.0,0.0,0.0,0.0,0.0
