Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,7.2,18.599735065927923,6.2086616516072795,18.837345276779644,13.048610530610372,414.2049399562311,414.2049399562311,0.0,0.0,0.0,0.0,532.3484838069485,143.86521247919663,0.0,183.13365386485583,0.0,0.0
 01/01  02:00:00,6.1,18.61782023975538,5.8207227795818435,18.501279657979556,19.466815709822093,625.3708981937325,625.3708981937325,0.0,0.0,0.0,0.0,776.3724855886406,211.8405216988476,0.0,174.8376234281273,0.0,0.0
 01/01  03:00:00,5.6,18.145466776119783,6.152517352919519,18.308457821322317,30.011526681473725,958.4619578729071,958.4619578729071,0.0,0.0,0.0,0.0,1190.9185240260606,324.88571011803367,0.0,161.20776262986732,0.0,0.0
 01/01  04:00:00,5.6,18.47746925115578,6.590915445547377,18.107775348050975,46.3788425713129,1512.0315444346052,1512.0315444346052,0.0,0.0,0.0,0.0,1866.5169600409479,497.4853556267701,0.0,140.05173115405012,0.0,0.0
 01/01  05:00:00,5.0,18.747962758914955,6.482622636490143,17.939077252535192,62.9954250248651,1598.597850544429,1598.597850544429,0.0,0.0,0.0,0.0,2021.0749875425965,591.1863992969462,37.41447476916722,118.369753061159,0.0,0.0
 01/01  06:00:00,5.0,19.26779452654472,6.71153904237683,17.7765819988894,92.48972829732092,2429.5250974511982,2429.5250974511982,0.0,0.0,0.0,0.0,3062.0016716264518,880.9755855134588,48.79643214440135,80.18643105378925,0.0,0.0
 01/01  07:00:00,5.0,19.596520319418794,6.576096140363099,17.65255269150131,96.76431703590131,2487.361143452041,2487.361143452041,0.0,0.0,0.0,0.0,3206.6840646588676,930.7112381949553,51.05190805815964,74.64839052451661,0.0,0.0
 01/01  08:00:00,4.4,19.68303080078025,6.46429272604149,17.529073355739147,93.12241276419219,2313.214511815053,2313.214511815053,0.0,0.0,0.0,0.0,3035.7340257839783,899.2172840024145,47.22949826354225,79.30322413275333,0.0,0.0
 01/01  09:00:00,5.0,19.708816721465087,7.011506587539822,17.415300196404,89.20624873845547,2252.601489524428,2252.601489524428,0.0,0.0,0.0,0.0,2964.924384847391,873.5770870707945,40.948195599223155,84.47430222932756,0.0,0.0
 01/01  10:00:00,5.0,19.732369735662243,7.420863806457717,17.305783323661956,85.11004712602926,2146.3909775051543,2146.3909775051543,0.0,0.0,0.0,0.0,2819.7253667449286,833.8014736132061,39.06793008528303,89.7790289044191,0.0,0.0
