Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,7.2,572.8736317292069,154.56686348820256,0.0,181.77951244560728,14.02911114885357,0.0,18.506090642245926,6.251620518474653,18.828372312493162,451.11128409326466,451.11128409326466,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,6.1,954.7116537959564,259.08705396641625,0.0,169.02318521879448,23.85101805347749,0.0,18.634917320765428,5.901472819750385,18.48771667408523,746.3020855733012,746.3020855733012,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.6,1365.5441662305955,371.4529890158211,0.0,155.4483948889744,34.30311170854081,0.0,18.218672231106314,6.212051121525291,18.296796214048285,1075.1154482332931,1075.1154482332931,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.6,2021.1792226523346,538.039929675753,0.0,134.94282069126413,50.091656264879376,0.0,18.539147780528644,6.649131476231097,18.096631017112802,1591.0227686361304,1591.0227686361304,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,5.0,2061.3327965951694,603.1438445222858,38.12712224141672,116.41687932950563,64.19527921220373,0.0,18.768806037823992,6.514427647731699,17.93104391783867,1608.6868742202114,1608.6868742202114,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,5.0,3156.418558429269,906.4167782085545,50.18687452818548,76.18274146071748,95.12518223532226,0.0,19.324552917911987,6.749154515402201,17.768658237801098,2436.745381638055,2436.745381638055,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.0,3221.120382700139,935.517994913659,51.26082330298514,73.53317632327033,97.16024353581751,0.0,19.6274146640501,6.5932797371367755,17.647997814941277,2474.663936522229,2474.663936522229,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,4.4,3011.646364196615,892.9097380463168,46.87075082442394,79.64688216085744,92.4150354296346,0.0,19.69618336341671,6.467749671679266,17.524384021131763,2285.944160280831,2285.944160280831,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,5.0,4327.1191126118665,1238.3257806210893,58.04194970327018,35.46476286071303,126.44524100506702,85.44000000000004,19.659534076349154,7.369457159919592,17.410811431861106,2224.036858486932,2224.036858486932,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,5.0,4460.4868659367885,1271.6671812873744,59.65393181488811,30.895173790130826,129.9570157649002,85.44000000000004,19.684974923689524,7.850675003853246,17.30145200519509,2204.2402661521646,2204.2402661521646,0.0,0.0,0.0,0.0,0.0,0.0
