Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.7,18.604892285619915,-3.8646977075057434,18.541223511457932,168.35819841037087,4618.39428195031,4618.39428195031,0.0,0.0,0.0,0.0,4521.882919046268,1536.2417052485469,17.711664283689363,0.0,1906.103424203121,1906.103424203121
 01/01  02:00:00,-6.7,18.58740557874769,-3.7933113874098647,18.15382289578886,168.35819841037087,4967.000017156099,4967.000017156099,0.0,0.0,0.0,0.0,4524.084121156011,1533.692650769212,17.715174747159324,0.0,2320.3721141517,2320.3721141517
 01/01  03:00:00,-6.7,18.583415108490925,-3.7542340702213806,17.945683011259874,168.35819841037087,5208.989502664634,5208.989502664634,0.0,0.0,0.0,0.0,4524.968016985998,1532.677277505265,17.715174747159324,0.0,2613.6128169396834,2613.6128169396834
 01/01  04:00:00,-6.7,18.565086246904993,-3.825517474617668,17.705692941260622,168.35819841037087,6060.373610051563,6060.373610051563,0.0,0.0,0.0,0.0,4547.779436921247,1539.8682625328995,11.984000210279563,0.0,3597.8333526201313,3597.8333526201313
 01/01  05:00:00,-6.7,18.578104231734667,-4.215295371840735,17.50536094205867,168.35819841037087,5895.266780416281,5895.266780416281,0.0,0.0,0.0,0.0,4548.546497836092,1538.9870981955175,11.984000210279563,0.0,3421.096971752724,3421.096971752724
 01/01  06:00:00,-6.7,19.33538894934215,-4.113333987777016,17.300304997086005,168.35819841037087,7032.23603620796,7032.23603620796,0.0,0.0,0.0,0.0,4548.458817902285,1539.0878210020614,11.984000210279563,0.0,4755.244771958268,4755.244771958268
 01/01  07:00:00,-6.1,19.588473638087184,-3.635688633744621,17.147424890507516,168.35819841037087,6539.037584898633,6539.037584898633,0.0,0.0,0.0,0.0,4656.918724771616,1585.6256179333711,0.0811014249721364,0.0,4160.139634505288,4160.139634505288
 01/01  08:00:00,-6.1,19.65591176608132,-3.228434850265018,16.95980517009847,168.35819841037087,6605.785827436153,6605.785827436153,0.0,0.0,0.0,0.0,4650.406186784335,1593.1487277740216,0.0811014249721364,0.0,4261.970538777924,4261.970538777924
 01/01  09:00:00,-6.1,19.689968241844912,-3.123648089934474,16.79209207047234,168.35819841037087,6094.576936582396,6094.576936582396,0.0,0.0,0.0,0.0,4648.866949729231,1594.9267499874186,0.0811014249721364,0.0,3665.3448938850133,3665.3448938850133
 01/01  10:00:00,-5.0,19.738220001407303,-1.9171155088871137,16.652169491869394,168.35819841037087,4234.855522412141,4234.855522412141,0.0,0.0,0.0,0.0,4799.711132200559,1610.7566638948974,0.0811014249721364,0.0,1336.482915025787,1336.482915025787
