Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.7,4497.101482004555,1531.500975670411,17.624278186388654,0.0,167.52754999292037,0.0,18.664105563160685,-3.8413720233709494,18.545457606806565,4514.9456127088815,4514.9456127088815,0.0,0.0,0.0,0.0,1862.3152076349152,1862.3152076349152
 01/01  02:00:00,-6.7,4500.2166918880475,1527.9021362102496,17.627771329876857,0.0,167.52754999292037,0.0,18.62434541599953,-3.7831033845699724,18.1580927370491,4871.718757743927,4871.718757743927,0.0,0.0,0.0,0.0,2274.154914621583,2274.154914621583
 01/01  03:00:00,-6.7,4501.68358114961,1526.2170643785596,17.627771329876857,0.0,167.52754999292037,0.0,18.60902562337959,-3.751427991193936,17.949837074462657,5126.903276988478,5126.903276988478,0.0,0.0,0.0,0.0,2569.962744678643,2569.962744678643
 01/01  04:00:00,-6.7,4524.674535503791,1533.03704428692,11.924873355137464,0.0,167.52754999292037,0.0,18.603057757710733,-3.8205005468489954,17.70961214883706,5990.772317243442,5990.772317243442,0.0,0.0,0.0,0.0,3612.0829988422956,3612.0829988422956
 01/01  05:00:00,-6.7,4525.119385585661,1532.5260228189418,11.924873355137464,0.0,167.52754999292037,0.0,18.60172296940658,-4.214797244371806,17.50942012449784,5831.859797277002,5831.859797277002,0.0,0.0,0.0,0.0,3396.9249539509406,3396.9249539509406
 01/01  06:00:00,-6.7,4525.405261303616,1532.1976225532594,11.924873355137464,0.0,167.52754999292037,0.0,19.383964149162697,-4.10714831937763,17.303818257348546,6971.547668237519,6971.547668237519,0.0,0.0,0.0,0.0,4805.083223164227,4805.083223164227
 01/01  07:00:00,-6.1,4632.659569647655,1579.284281243086,0.08070128544259667,0.0,167.52754999292037,0.0,19.61850412990162,-3.634417016913504,17.152066518219176,6478.265216084224,6478.265216084224,0.0,0.0,0.0,0.0,4148.50614652921,4148.50614652921
 01/01  08:00:00,-6.1,4626.668995411918,1586.2043812060278,0.08070128544259667,0.0,167.52754999292037,0.0,19.6883493360375,-3.225656098962833,16.963370813054134,6546.624851431274,6546.624851431274,0.0,0.0,0.0,0.0,4275.643664307202,4275.643664307202
 01/01  09:00:00,-6.1,4625.075784010765,1588.0447317826945,0.08070128544259667,0.0,167.52754999292037,85.44000000000004,19.69903255496207,-3.0316017592280713,16.796002448714905,6039.905685301368,6039.905685301368,0.0,0.0,0.0,0.0,4715.93269865568,4715.93269865568
 01/01  10:00:00,-5.0,4775.795820828252,1603.0829965459418,0.08070128544259667,0.0,167.52754999292037,85.44000000000004,19.704668605461602,-1.7955203855622561,16.654901140845297,4206.833533134044,4206.833533134044,0.0,0.0,0.0,0.0,2559.1373635139157,2559.1373635139157
