Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,18.80028866385091,1.1517854055566166,19.82199591122238,-161.93040555844163,-161.93040555844163,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,4.4,297.94395360620905,92.50387053854345,8.06117017643982,186.6364102179057,10.136448403801598,0.0,18.63925881874328,1.3509659990361185,19.56688243329498,193.05907271582691,193.05907271582691,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,3.3,670.1012901497074,209.23765908483617,18.104228221414782,169.41479161283598,23.158260769664,0.0,18.569751570045693,0.49404157633076856,19.391660048749774,490.54517675276384,490.54517675276384,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,3.3,1160.9967610591684,357.3271270976504,28.475789895439362,148.15445668174638,39.275659668562376,0.0,18.556138367342037,0.9279506619270561,19.21443943427647,841.8272981161026,841.8272981161026,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,3.3,1434.3803883807466,438.2721531788489,34.942671823626064,136.3802790953493,48.19523383904094,0.0,18.584488330890405,1.1565765864625743,19.059140826661373,1042.6666793364493,1042.6666793364493,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.7,2941.672911075209,890.4424669326356,75.65022214347336,68.1291180679385,99.5914399565057,0.0,19.26705131869518,1.980872865528707,18.859719950983536,2106.8035433343666,2106.8035433343666,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,5.0,2711.757979423882,794.9864704329508,63.28471410732539,87.67903962992627,85.3031061875863,0.0,19.71104867567091,3.0003259992902773,18.782624147575348,1974.463659320536,1974.463659320536,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,5.0,2255.2698296073877,675.1055818187172,53.28603831527542,105.42520287382504,71.82517148708015,0.0,19.730142724760633,3.4594389396222853,18.66384474249781,1648.837847337296,1648.837847337296,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,5.6,2566.180148190886,700.6968719750078,0.0,116.82784018597128,63.368497284648534,85.44000000000005,19.733677106497538,5.258544347656743,18.554055334743264,893.1847609890738,893.1847609890738,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,8.3,1773.0180091041416,473.52878206332025,0.0,145.4087265766815,41.59284752765997,85.44000000000005,19.604690068220158,8.728042049209057,18.465674651631236,148.2659535584571,148.2659535584571,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,8.3,0.0,0.0,0.0,200.0,0.0,85.44000000000005,18.990330923303063,10.88438322978267,18.39941321241731,-459.755645328376,-459.755645328376,0.0,0.0,0.0,0.0,0.0,0.0
