Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,17.0,21.46535256079798,14.53551556413174,19.80836531240722,0.0,-2061.910154640249,-2061.910154640249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,16.7,21.253998769581433,15.499879586872154,19.578111288599167,0.0,-1495.8984906885998,-1495.8984906885998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,17.8,21.147652822405558,16.902595306442155,19.468626402380092,0.0,-1364.3719800932322,-1364.3719800932322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,18.3,20.95997404167191,17.800423076329277,19.359995250087994,0.0,-1483.956694026192,-1483.956694026192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,18.3,20.95321449979022,18.074106301097633,19.2765152316741,0.0,-1459.3024372235468,-1459.3024372235468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,18.0,21.184253816626192,17.934007311281732,19.20843031183875,0.0,-907.5935152709953,-907.5935152709953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,18.9,21.461071415120713,18.52515649946741,19.153960284021053,0.0,-1158.3996505113846,-1158.3996505113846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,18.9,21.616908847374333,18.678913648529296,19.109338726707723,0.0,-1311.5016401172725,-1311.5016401172725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,18.9,21.698907791502233,18.951129046557874,19.073953772317278,0.0,-1319.8399888174827,-1319.8399888174827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,19.0,21.704560265809352,19.17254781190445,19.046006167969022,0.0,-1308.4057251697777,-1308.4057251697777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
