Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.628305593498247,14.444658088926435,19.78485181740606,-1337.14323609424,-1337.14323609424,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,16.7,0.0,0.0,0.0,0.0,0.0,0.0,20.523456631813506,15.413688011368283,19.550367673382755,-1006.636330467998,-1006.636330467998,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,17.8,0.0,0.0,0.0,0.0,0.0,0.0,20.466524482929977,16.82211677323152,19.440134842069,-1167.4127380740047,-1167.4127380740047,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,18.3,0.0,0.0,0.0,0.0,0.0,0.0,20.370845891071546,17.724600362110845,19.330546237867107,-1213.955726134669,-1213.955726134669,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,18.3,0.0,0.0,0.0,0.0,0.0,0.0,20.424682718327606,18.01013773365128,19.246773085043035,-1241.9537291171855,-1241.9537291171855,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,20.682881411495647,17.87656839505719,19.179587813585634,-643.0691617352913,-643.0691617352913,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,18.9,0.0,0.0,0.0,0.0,0.0,0.0,21.003688651449547,18.47281853468396,19.126320246953647,-891.3409815285631,-891.3409815285631,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,18.9,0.0,0.0,0.0,0.0,0.0,0.0,21.20265123701702,18.63065446814121,19.08215177489443,-1066.1081662282904,-1066.1081662282904,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,18.9,0.0,0.0,0.0,0.0,0.0,85.44000000000004,20.553206950103657,18.90644951626924,19.04735937270845,-1113.04500887237,-1113.04500887237,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,19.0,0.0,0.0,0.0,0.0,0.0,85.44000000000004,20.118485036381745,19.075047852591172,19.01990958195805,-923.201622198656,-923.201622198656,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,20.0,0.0,0.0,0.0,0.0,0.0,70.5593341272026,20.27873013665008,19.963118583158224,18.998866029095435,-1112.5299689486765,-1112.5299689486765,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,20.0,0.0,0.0,0.0,0.0,0.0,0.0,21.293231086162987,20.357168032105292,18.98244486083643,-1169.3683555079424,-1169.3683555079424,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66493872007028,19.87818171200603,18.972314650058316,-1190.3799534737082,-1190.3799534737082,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,16.7,0.0,0.0,0.0,0.0,0.0,0.0,21.9776929999536,19.23937781076595,18.96872923042833,-1295.9679392854405,-1295.9679392854405,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,21.819779078902975,17.94277139024846,18.968414694935294,-1384.6259640475455,-1384.6259640475455,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,14.0,0.0,0.0,0.0,0.0,0.0,0.0,21.126221298708966,16.049569836462336,18.967343527528,-610.8164408340845,-610.8164408340845,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22.03946898399649,15.411394225581452,18.967452721059487,-1688.269845569399,-1688.269845569399,0.0,0.0,0.0,0.0,0.0,0.0
