Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-16.7,18.20667742155133,-1.6792919215696924,17.046317574923208,146.60140667535111,3243.021584019054,3243.021584019054,0.0,0.0,0.0,0.0,2876.42860663543,1218.4336973544764,14.29860679566994,0.0,1704.7670851184153,1704.7670851184153
 01/01  02:00:00,-16.1,18.428736033404952,-4.738836878522846,16.504420117537567,146.60140667535111,4124.372497479395,4124.372497479395,0.0,0.0,0.0,0.0,2936.111653854034,1209.7341911709093,18.068032130996098,0.0,2774.2666986016884,2774.2666986016884
 01/01  03:00:00,-15.6,18.511162500112054,-4.837993516124586,16.25510340622018,146.60140667535111,4327.834844171246,4327.834844171246,0.0,0.0,0.0,0.0,2975.7833214927423,1217.9836953353547,19.86841675779504,0.0,3180.0324242679535,3180.0324242679535
 01/01  04:00:00,-15.0,18.553094388233717,-5.57748429528659,15.963402255698233,146.60140667535111,4434.7092973135095,4434.7092973135095,0.0,0.0,0.0,0.0,3040.4843998991078,1229.720247510398,17.657704451720118,0.0,3290.119360347334,3290.119360347334
 01/01  05:00:00,-15.0,18.5667370927872,-5.838119658737005,15.710009976019741,146.60140667535111,4467.197109717103,4467.197109717103,0.0,0.0,0.0,0.0,3039.36625217962,1230.0689680312594,17.84035198143076,0.0,3380.6291714026447,3380.6291714026447
 01/01  06:00:00,-15.6,19.326018360422317,-5.934043205620226,15.465961064891799,146.60140667535111,5688.948258926117,5688.948258926117,0.0,0.0,0.0,0.0,2973.7165787696517,1219.9881406062625,19.883708997773685,0.0,4885.990417261522,4885.990417261522
 01/01  07:00:00,-14.4,19.578631698814085,-6.3879924524149905,15.281934904781282,146.60140667535111,5368.875885844684,5368.875885844684,0.0,0.0,0.0,0.0,3058.025627726508,1243.5453998059193,26.16480657991242,0.0,4528.699974223684,4528.699974223684
 01/01  08:00:00,-14.4,19.65349604897783,-6.78932965294882,15.075954549834961,146.60140667535111,5119.695003229357,5119.695003229357,0.0,0.0,0.0,0.0,3041.04209813956,1244.0246713384286,30.003576275873378,0.0,4305.220392945283,4305.220392945283
 01/01  09:00:00,-13.3,19.674354581778037,-6.430489289631154,14.891075304841815,146.60140667535111,5041.342665420887,5041.342665420887,0.0,0.0,0.0,0.0,3138.6058753145194,1254.6078706794806,33.74345124683183,0.0,4148.4950495062985,4148.4950495062985
 01/01  10:00:00,-12.2,19.688555483632655,-6.028721604390116,14.711970028196145,146.60140667535111,4847.196843094596,4847.196843094596,0.0,0.0,0.0,0.0,3249.6483491220015,1267.8836447419626,34.17021447227031,0.0,3803.9349850407666,3803.9349850407666
 01/01  11:00:00,-12.2,19.688961714623833,-6.004960757537284,14.534026990179239,146.60140667535111,4902.911376858472,4902.911376858472,0.0,0.0,0.0,0.0,3277.251172677257,1278.7748994351407,25.760414511180098,0.0,3822.075043404556,3822.075043404556
 01/01  12:00:00,-11.7,19.71400499763655,-3.8147096207901647,14.372481249995717,146.60140667535111,3936.0004465465936,3936.0004465465936,0.0,0.0,0.0,0.0,3338.6797671427453,1288.0793672766913,23.122713418046324,0.0,2644.914921605986,2644.914921605986
 01/01  13:00:00,-9.4,19.74203492263551,-1.3469421936268853,14.240823973112303,146.60140667535111,3018.7042067219063,3018.7042067219063,0.0,0.0,0.0,0.0,3608.734484134243,1324.379364024735,16.826955270394166,0.0,1195.708159809108,1195.708159809108
 01/01  14:00:00,-8.9,19.757525239668883,0.13872067029200374,14.123160343616846,146.60140667535111,2316.985764705214,2316.985764705214,0.0,0.0,0.0,0.0,3673.621205746954,1334.372772055243,14.142450066189555,0.0,170.6917531875115,170.6917531875115
 01/01  15:00:00,-9.4,19.835510732306837,1.0007374644935392,14.023404877713268,129.81985270588075,1842.3631267719575,1842.3631267719575,0.0,0.0,0.0,0.0,3140.952854129372,1176.473180826635,18.27462877742409,21.794909352793933,0.0,0.0
 01/01  16:00:00,-9.4,19.919894249940068,2.024306096144174,13.946877135775877,97.94137136085398,1323.6836611645213,1323.6836611645213,0.0,0.0,0.0,0.0,2306.882165497894,888.9313450783715,13.795178649937894,65.55393064012918,0.0,0.0
 01/01  17:00:00,-9.4,19.843052478920956,0.05937839836437058,13.896774824085382,86.6338566730053,1210.8130878940028,1210.8130878940028,0.0,0.0,0.0,0.0,2011.3001298896634,784.8883739258036,15.104042969258007,80.89784139059495,0.0,0.0
 01/01  18:00:00,-9.4,19.617550388333537,-0.950844267513671,13.87500181744834,119.0445956739001,1821.0062380684212,1821.0062380684212,0.0,0.0,0.0,0.0,2839.744197451647,1076.7308094025095,20.754554489741764,36.34102168962532,0.0,0.0
 01/01  19:00:00,-7.8,19.686518786735213,-1.9204366887607498,13.824338755089396,118.60171958651533,1821.6375894154044,1821.6375894154044,0.0,0.0,0.0,0.0,2925.6337285224167,1069.3164496024403,33.94360090940088,36.41315346649563,0.0,0.0
 01/01  20:00:00,-6.7,19.700150512604537,-2.1146904899507164,13.768836541611348,119.43530618570878,1820.8193871317744,1820.8193871317744,0.0,0.0,0.0,0.0,2990.2644409905943,1072.0756665529918,49.193736570268406,34.70422335249539,0.0,0.0
