Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-16.7,2860.7105170186496,1212.3009496365692,14.222344978215677,0.0,145.8195060416614,0.0,18.372453518258506,-1.5145586944817877,17.04771648250464,3325.485520976692,3325.485520976692,0.0,0.0,0.0,0.0,1921.2676491656055,1921.2676491656055
 01/01  02:00:00,-16.1,2916.9633171575733,1206.740711341135,17.971666031289864,0.0,145.8195060416614,0.0,18.525514141379254,-4.625138570588315,16.511725118945265,4063.048030684511,4063.048030684511,0.0,0.0,0.0,0.0,2795.460551134449,2795.460551134449
 01/01  03:00:00,-15.6,2957.868504098155,1213.5327456323241,19.762448281737147,0.0,145.8195060416614,0.0,18.577984125102056,-4.763225344437399,16.259415518999578,4224.262954643416,4224.262954643416,0.0,0.0,0.0,0.0,3154.9793223333927,3154.9793223333927
 01/01  04:00:00,-15.0,3022.8528179077052,1224.5956873122677,17.563526840376458,0.0,145.8195060416614,0.0,18.593394764044852,-5.529172033184624,15.967974244422741,4334.89552433923,4334.89552433923,0.0,0.0,0.0,0.0,3227.653363846404,3227.653363846404
 01/01  05:00:00,-15.0,3022.3049740039633,1224.3704894716413,17.74520021695678,0.0,145.8195060416614,0.0,18.601661312798424,-5.80484012183209,15.713891435173128,4379.209254579388,4379.209254579388,0.0,0.0,0.0,0.0,3343.5735442325827,3343.5735442325827
 01/01  06:00:00,-15.6,2957.1260264189154,1214.2116022347016,19.777658960341988,0.0,145.8195060416614,0.0,19.380965287685,-5.901409447915656,15.46998977765642,5610.3724506496055,5610.3724506496055,0.0,0.0,0.0,0.0,4893.99498942193,4893.99498942193
 01/01  07:00:00,-14.4,3040.5541420150007,1238.0957366233517,26.025256221500744,0.0,145.8195060416614,0.0,19.623057380742885,-6.365147397712744,15.286703439659112,5292.616721133851,5292.616721133851,0.0,0.0,0.0,0.0,4521.640199903089,4521.640199903089
 01/01  08:00:00,-14.4,3023.887292567529,1238.3398282772735,29.843551786101504,0.0,145.8195060416614,0.0,19.685426362048045,-6.7777718384652825,15.080215841466005,5045.299862171916,5045.299862171916,0.0,0.0,0.0,0.0,4272.685502160728,4272.685502160728
 01/01  09:00:00,-13.3,3121.1972692348304,1248.6112300820075,33.56348008208577,0.0,145.8195060416614,85.44000000000005,19.68647325634089,-6.208368368125437,14.89493535183824,4973.865754322347,4973.865754322347,0.0,0.0,0.0,0.0,5282.932806212594,5282.932806212594
 01/01  10:00:00,-12.2,3232.0715135579303,1261.381114518511,33.9879671599485,0.0,145.8195060416614,85.44000000000005,19.697316795505255,-5.758921644757777,14.715031761774908,4813.915853166827,4813.915853166827,0.0,0.0,0.0,0.0,5147.686385291847,5147.686385291847
