Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-21.7,18.575258554030434,-7.844637073277909,17.98473207849274,150.08504929596725,5381.386290185255,5381.386290185255,0.0,0.0,0.0,0.0,2495.94492009276,1184.2285393298703,5.60533637643518,0.0,4876.053985793194,4876.053985793194
 01/01  02:00:00,-22.2,18.534342779456257,-9.962052793660684,17.545989178224552,150.08504929596725,5880.4551375646315,5880.4551375646315,0.0,0.0,0.0,0.0,2451.0760136138992,1173.135916939132,6.674612448264334,0.0,5676.772478486045,5676.772478486045
 01/01  03:00:00,-21.7,18.541599024009848,-10.482844621134088,17.319589309725288,150.08504929596725,5679.620584711101,5679.620584711101,0.0,0.0,0.0,0.0,2504.505796611263,1183.258916376861,3.6330014415859972,0.0,5533.478393578236,5533.478393578236
 01/01  04:00:00,-21.7,18.543469606627927,-10.847679573307627,17.051782648025405,150.08504929596725,5880.130236330331,5880.130236330331,0.0,0.0,0.0,0.0,2504.5894330303313,1183.1885009128625,3.6330014415859972,0.0,5810.835955268292,5810.835955268292
 01/01  05:00:00,-18.3,18.546558821171033,-10.742075522031195,16.83633704512344,150.08504929596725,6055.89157392336,6055.89157392336,0.0,0.0,0.0,0.0,2815.443700822102,1229.7478089082686,6.636690336902295,0.0,5749.23557699469,5749.23557699469
 01/01  06:00:00,-17.2,19.320600441988788,-9.547029189183457,16.611763952184514,150.08504929596725,6899.610110108297,6899.610110108297,0.0,0.0,0.0,0.0,2919.8077431804672,1243.393477559481,7.898251690039829,0.0,6625.977041178743,6625.977041178743
 01/01  07:00:00,-17.2,19.568222416531736,-9.060320242237097,16.423979388245716,150.08504929596725,6741.135204954475,6741.135204954475,0.0,0.0,0.0,0.0,2903.0633428974456,1259.42473726908,7.898251690039829,0.0,6485.76223610284,6485.76223610284
 01/01  08:00:00,-17.0,19.64523263138403,-8.736629404144328,16.223670309866193,150.08504929596725,6407.9325877397205,6407.9325877397205,0.0,0.0,0.0,0.0,2911.392575082094,1264.6026179066675,10.105112797476242,0.0,6086.532393369758,6086.532393369758
 01/01  09:00:00,-16.0,19.67306171801833,-8.097914040246748,16.03988193484636,150.08504929596725,6005.226690737189,6005.226690737189,0.0,0.0,0.0,0.0,3005.502861986263,1278.2845177650534,11.613719456294941,0.0,5512.184391995308,5512.184391995308
 01/01  10:00:00,-15.6,19.690756269448155,-7.0668615629210505,15.85798408086794,150.08504929596725,5441.075171954999,5441.075171954999,0.0,0.0,0.0,0.0,3037.888555576045,1280.9688396010145,14.230839127164087,0.0,4798.379854083947,4798.379854083947
 01/01  11:00:00,-14.0,19.712201773993062,-4.983918662504762,15.706442273781478,150.08504929596725,4580.0669304781695,4580.0669304781695,0.0,0.0,0.0,0.0,3197.0047876363865,1300.6159782220652,15.962892179806254,0.0,3585.215252777163,3585.215252777163
