Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-21.7,2481.6893172338237,1179.7345241121152,5.577205480222188,0.0,149.3318336704758,0.0,18.652049858915696,-7.778205369695119,17.98857872666102,5316.180663522131,5316.180663522131,0.0,0.0,0.0,0.0,4917.05095178545,4917.05095178545
 01/01  02:00:00,-22.2,2437.140859265547,1168.5972500325288,6.64111529172732,0.0,149.3318336704758,0.0,18.608546186361348,-9.912040815094663,17.550725031668836,5800.224179255498,5800.224179255498,0.0,0.0,0.0,0.0,5694.60407174797,5694.60407174797
 01/01  03:00:00,-21.7,2490.3531057138803,1178.6527699142164,3.6147688896691217,0.0,149.3318336704758,0.0,18.604502150507674,-10.447510089263199,17.324699170669614,5594.497199977903,5594.497199977903,0.0,0.0,0.0,0.0,5538.46097771571,5538.46097771571
 01/01  04:00:00,-21.7,2490.6787596975573,1178.37899883157,3.6147688896691217,0.0,149.3318336704758,0.0,18.595772740760324,-10.82192808222583,17.056768682833695,5794.374505982181,5794.374505982181,0.0,0.0,0.0,0.0,5789.888269508713,5789.888269508713
 01/01  05:00:00,-18.3,2800.181973457672,1224.6343972008362,6.603383495969424,0.0,149.3318336704758,0.0,18.59932117058581,-10.72321525273397,16.841106738899338,5974.086188414603,5974.086188414603,0.0,0.0,0.0,0.0,5755.659763318001,5755.659763318001
 01/01  06:00:00,-17.2,2904.0080907167066,1238.256388657702,7.858613587411294,0.0,149.3318336704758,0.0,19.38073927213075,-9.530137174978636,16.616735826540463,6822.035140481177,6822.035140481177,0.0,0.0,0.0,0.0,6638.567893528754,6638.567893528754
 01/01  07:00:00,-17.2,2887.176642783345,1254.3581158155348,7.858613587411294,0.0,149.3318336704758,0.0,19.621295306427054,-9.04755320921269,16.429345984645767,6660.244101178216,6660.244101178216,0.0,0.0,0.0,0.0,6492.547173081397,6492.547173081397
 01/01  08:00:00,-17.0,2895.6178947908866,1259.3656936992315,10.054399359381529,0.0,149.3318336704758,0.0,19.682071066931776,-8.734021813499805,16.228786348472955,6329.268500174796,6329.268500174796,0.0,0.0,0.0,0.0,6053.928857579385,6053.928857579385
 01/01  09:00:00,-16.0,2989.611224239493,1272.6593891830303,11.5554349369135,0.0,149.3318336704758,85.44000000000005,19.687491051924933,-7.910911518536597,16.04440769035114,5933.735116886048,5933.735116886048,0.0,0.0,0.0,0.0,6613.719453817899,6613.719453817899
 01/01  10:00:00,-15.6,3022.3325213338467,1274.8462554305531,14.159420351978175,0.0,149.3318336704758,85.44000000000005,19.697618118007284,-6.842826616456047,15.861666462714751,5406.786653951716,5406.786653951716,0.0,0.0,0.0,0.0,6109.951631440555,6109.951631440555
 01/01  11:00:00,-14.0,3180.818591045011,1294.2337578488987,15.882780937052454,0.0,149.3318336704758,85.44000000000005,19.700103074349485,-4.741258970433602,15.709806747679535,4577.533094817933,4577.533094817933,0.0,0.0,0.0,0.0,4906.731714903201,4906.731714903201
 01/01  12:00:00,-11.1,3460.735224235809,1320.0169427014553,24.531069944603235,0.0,149.3318336704758,85.44000000000005,19.70617270572288,-2.550032275884231,15.593397035727174,4157.395620030182,4157.395620030182,0.0,0.0,0.0,0.0,3868.670717885481,3868.670717885481
 01/01  13:00:00,-11.1,3460.742101282866,1320.0095064461918,24.531069944603235,0.0,149.3318336704758,85.44000000000005,19.702488769262093,-1.9976996122973525,15.46934978410783,4466.073075718923,4466.073075718923,0.0,0.0,0.0,0.0,3968.7281540147296,3968.7281540147296
 01/01  14:00:00,-9.0,3704.5222418760954,1349.4027206927683,21.425010080901206,0.0,149.3318336704758,65.23371921468971,19.709954224771103,-1.0288079451925212,15.37411050487686,4189.9238614581245,4189.9238614581245,0.0,0.0,0.0,0.0,3002.0548336134966,3002.0548336134966
 01/01  15:00:00,-9.0,3672.9059853818067,1337.941097274652,30.110133809133693,0.0,149.3318336704758,0.0,19.717875485900564,-1.494448169961601,15.262100033885662,4551.335535297307,4551.335535297307,0.0,0.0,0.0,0.0,2753.428857322465,2753.428857322465
 01/01  16:00:00,-7.8,3803.5125649509814,1350.3837760919926,31.479507673086427,0.0,149.3318336704758,0.0,19.721995260173813,-0.5313111948538836,15.174933643943735,3322.6935506223726,3322.6935506223726,0.0,0.0,0.0,0.0,1173.0583019216783,1173.0583019216783
 01/01  17:00:00,-7.0,3872.391429686947,1351.7168956180196,37.45919414129883,0.0,149.3318336704758,0.0,19.725296988107363,-0.1997728331601831,15.093151399062792,2852.3508641367025,2852.3508641367025,0.0,0.0,0.0,0.0,493.34407696783774,493.34407696783774
 01/01  18:00:00,-6.7,3891.4159544651975,1349.7238353400935,41.47131927694422,0.0,149.3318336704758,85.44000000000005,19.716610676977474,-1.615741580040047,15.017627504045702,3313.327843607425,3313.327843607425,0.0,0.0,0.0,0.0,2108.040025291,2108.040025291
 01/01  19:00:00,-6.7,3891.705683862137,1349.3911858342915,41.47131927694422,0.0,149.3318336704758,85.44000000000005,19.70186722506068,-1.9285139349464855,14.945010024671507,3295.1855114899663,3295.1855114899663,0.0,0.0,0.0,0.0,2435.908799754248,2435.908799754248
 01/01  20:00:00,-7.2,3826.5582102247777,1340.2085425600346,43.61805413120666,0.0,149.3318336704758,85.44000000000005,19.705519298405033,-1.868897582241101,14.860780940246158,3694.963777635945,3694.963777635945,0.0,0.0,0.0,0.0,3027.447310261914,3027.447310261914
 01/01  21:00:00,-7.8,3768.3286983759526,1336.7054878698857,41.02254448207661,0.0,149.3318336704758,85.44000000000005,19.699334062421354,-2.2148440354557537,14.77557423184054,3760.506715668207,3760.506715668207,0.0,0.0,0.0,0.0,3054.568425623347,3054.568425623347
 01/01  22:00:00,-7.8,3768.572988295785,1336.4284528144733,41.02254448207661,0.0,149.3318336704758,85.44000000000005,19.705316199895133,-2.5825914388433207,14.688254459003874,3978.085335521968,3978.085335521968,0.0,0.0,0.0,0.0,3179.81324516815,3179.81324516815
 01/01  23:00:00,-11.1,3461.3093815837174,1318.5580142207596,24.699193209378294,0.0,149.3318336704758,85.44000000000005,19.057074440266582,-4.303751556464462,14.572711754615142,3406.686727054155,3406.686727054155,0.0,0.0,0.0,0.0,2690.257834862545,2690.257834862545
 01/01  24:00:00,-10.6,3525.386470242703,1306.8143111581346,26.160941322029984,0.0,149.3318336704758,48.60062358693813,18.777598755014722,-4.4034831909067345,14.452893429463074,3830.2259715266246,3830.2259715266246,0.0,0.0,0.0,0.0,2667.373266078374,2667.373266078374
 02/05  01:00:00,-12.8,3291.5615849695905,1273.2949681082064,27.130935457922522,0.0,149.3318336704758,0.0,18.615798073162573,-9.307979143464944,17.179708545160864,6944.76019215459,6944.76019215459,0.0,0.0,0.0,0.0,6602.500874198891,6602.500874198891
 02/05  02:00:00,-13.0,3301.3097062483134,1280.960086186055,18.005600163389307,0.0,149.3318336704758,0.0,18.597345925766156,-8.199570553326879,16.616380233415335,6939.378424216999,6939.378424216999,0.0,0.0,0.0,0.0,6358.273433057551,6358.273433057551
 02/05  03:00:00,-14.0,3186.7396323375306,1263.1045770332385,21.499837249974917,0.0,149.3318336704758,0.0,18.598791349239843,-8.19802244920874,16.364346824105564,7240.090427012352,7240.090427012352,0.0,0.0,0.0,0.0,6812.5762173360135,6812.5762173360135
 02/05  04:00:00,-14.4,3154.1548386160734,1261.169991716776,18.793487047528867,0.0,149.3318336704758,0.0,18.593786927828173,-8.076615089748996,16.07841085473611,6971.98909662394,6971.98909662394,0.0,0.0,0.0,0.0,6479.777365523262,6479.777365523262
