Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.0,18.278451754258757,-0.5597812343304616,17.90529952365585,122.15978395019398,2130.9057982344766,2130.9057982344766,0.0,0.0,0.0,0.0,3102.704771199062,1079.1370453699549,47.69629908518587,9.785119316531187,0.0,0.0
 01/01  02:00:00,-7.8,18.444159035997423,-2.227127607894024,17.456805459474158,130.2454573567078,2880.345253528687,2880.345253528687,0.0,0.0,0.0,0.0,3276.531895775691,1125.6364066203996,44.98967494240213,0.0,908.1570885747983,908.1570885747983
 01/01  03:00:00,-9.0,18.52608118985955,-3.4295264787395516,17.24190647973191,130.2454573567078,3339.4367117397196,3339.4367117397196,0.0,0.0,0.0,0.0,3201.583135182507,1132.6498677303819,33.01055418123654,0.0,1667.435966979281,1667.435966979281
 01/01  04:00:00,-10.0,18.556470393480634,-4.197364616973175,16.99711636077557,130.2454573567078,3618.918595711488,3618.918595711488,0.0,0.0,0.0,0.0,3115.772497569899,1128.5087696581072,29.692393344745494,0.0,2176.528110094832,2176.528110094832
 01/01  05:00:00,-9.4,18.575651427603017,-4.863148559213102,16.792923563232435,130.2454573567078,3579.4219178545736,3579.4219178545736,0.0,0.0,0.0,0.0,3159.8457787711955,1130.0847915720797,33.387460487024306,0.0,2152.5982686485922,2152.5982686485922
 01/01  06:00:00,-10.0,19.34518002769809,-5.158015066444992,16.587259190130556,130.2454573567078,4725.8197177903785,4725.8197177903785,0.0,0.0,0.0,0.0,3092.7295422271673,1120.8577736530785,36.04954421929964,0.0,3594.656019292244,3594.656019292244
 01/01  07:00:00,-10.0,19.590555994514517,-5.122316206670776,16.42969716457654,130.2454573567078,4537.767690002724,4537.767690002724,0.0,0.0,0.0,0.0,3100.694625514104,1145.1573066025956,29.692393344745494,0.0,3476.3613105942363,3476.3613105942363
 01/01  08:00:00,-9.4,19.66869901167348,-5.23253182424503,16.259322375716884,130.2454573567078,4230.607078203779,4230.607078203779,0.0,0.0,0.0,0.0,3158.3143769418475,1158.0998290632726,28.438889814820158,0.0,3091.8943015718355,3091.8943015718355
 01/01  09:00:00,-8.9,19.692418153654934,-4.31834156624538,16.096667931447836,130.2454573567078,3994.0770717111536,3994.0770717111536,0.0,0.0,0.0,0.0,3180.7461747077623,1155.7469125113428,35.249353511687694,0.0,2804.4787275630447,2804.4787275630447
 01/01  10:00:00,-6.7,19.71476854287894,-2.2604872576426205,15.952739977504686,130.2454573567078,3510.7384407024147,3510.7384407024147,0.0,0.0,0.0,0.0,3377.546686157959,1171.4997389730406,40.40419659051004,0.0,2005.4831540949176,2005.4831540949176
