Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.0,3230.256718381435,1120.4134453000852,49.43650652603577,1.7209530940897722,126.6159163342029,0.0,18.41798745149572,-0.1618429849232026,17.904230591526844,2096.407738743921,2096.407738743921,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-7.8,3255.3046844425917,1122.2671598816385,44.7346056479863,0.0,129.50702977412638,0.0,18.541550651554488,-1.9966290933531654,17.462708820879417,2825.393967994318,2825.393967994318,0.0,0.0,0.0,0.0,930.5153042578218,930.5153042578218
 01/01  03:00:00,-9.0,3181.567003871254,1128.318020338745,32.82340060046355,0.0,129.50702977412638,0.0,18.584767134146333,-3.268386336075159,17.245816141365054,3241.6327685030265,3241.6327685030265,0.0,0.0,0.0,0.0,1618.771353843877,1618.771353843877
 01/01  04:00:00,-10.0,3096.988143981727,1123.3486742884952,29.52405210134559,0.0,129.50702977412638,0.0,18.598221892885565,-4.09526024488212,17.000864054124698,3524.351914048455,3524.351914048455,0.0,0.0,0.0,0.0,2130.2601696137617,2130.2601696137617
 01/01  05:00:00,-9.4,3141.137257494699,1124.5626307166945,33.19817003316652,0.0,129.50702977412638,0.0,18.60218029511129,-4.796620694528523,16.796484396786365,3495.3445680167715,3495.3445680167715,0.0,0.0,0.0,0.0,2095.4036166113574,2095.4036166113574
 01/01  06:00:00,-10.0,3074.696177680336,1115.0550032871931,35.84516106205743,0.0,129.50702977412638,0.0,19.394081708895484,-5.100490272109208,16.59049798626617,4649.39486967771,4649.39486967771,0.0,0.0,0.0,0.0,3609.8420562304536,3609.8420562304536
 01/01  07:00:00,-10.0,3082.181229633311,1139.6941785664294,29.52405210134559,0.0,129.50702977412638,0.0,19.625354170686418,-5.086375383115075,16.43395328600014,4465.878436963536,4465.878436963536,0.0,0.0,0.0,0.0,3450.0790182532073,3450.0790182532073
 01/01  08:00:00,-9.4,3139.741514459786,1152.2744945079112,28.27765531894255,0.0,129.50702977412638,0.0,19.694239126847414,-5.209132731179154,16.262828339893968,4161.991864904388,4161.991864904388,0.0,0.0,0.0,0.0,3063.5121672411315,3063.5121672411315
 01/01  09:00:00,-8.9,3162.2300240964946,1149.7342964469217,35.049507041573136,0.0,129.50702977412638,85.44000000000004,19.699801441779286,-4.0469726371700565,16.099946034197906,3933.010314857198,3933.010314857198,0.0,0.0,0.0,0.0,3990.2908260489817,3990.2908260489817
 01/01  10:00:00,-6.7,3358.266114965105,1165.008943258836,40.17512469948229,0.0,129.50702977412638,85.44000000000004,19.696689351383245,-1.9531732351311741,15.95517069294718,3482.1818960601886,3482.1818960601886,0.0,0.0,0.0,0.0,3416.5958840672884,3416.5958840672884
