Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.6,18.292850180451435,-0.3704219391080076,18.034373352502254,108.89890912071566,2011.1580646375533,2011.1580646375533,0.0,0.0,0.0,0.0,2820.8754465710977,971.1601051513642,42.42301684244833,45.18771948819058,0.0,0.0
 01/01  02:00:00,-6.7,18.363856273679534,-1.566395342794806,17.577681630787094,142.39158169202722,2674.5606692057354,2674.5606692057354,0.0,0.0,0.0,0.0,3700.116443680393,1242.541216741408,49.23268427090716,0.0,134.6899017961823,134.6899017961823
 01/01  03:00:00,-6.7,18.503344777541923,-2.671412785556424,17.37090608931084,142.39158169202722,3034.5128886562743,3034.5128886562743,0.0,0.0,0.0,0.0,3699.2839405313143,1243.8170016124836,49.17786096793716,0.0,733.7930900519996,733.7930900519996
 01/01  04:00:00,-7.2,18.557850689896377,-3.3298024921852054,17.13237829583966,142.39158169202722,3255.088574857955,3255.088574857955,0.0,0.0,0.0,0.0,3631.9259792573785,1238.119332251404,51.88214653062211,0.0,1155.5889692074988,1155.5889692074988
 01/01  05:00:00,-6.7,18.584344885276128,-3.820199512794881,16.93137492324207,142.39158169202722,3199.7771709363496,3199.7771709363496,0.0,0.0,0.0,0.0,3695.5393800300353,1247.931872619207,49.209903828722105,0.0,1087.5660966199248,1087.5660966199248
 01/01  06:00:00,-7.8,19.33582903192334,-3.9869317531660506,16.72625384610761,142.39158169202722,4379.701033491279,4379.701033491279,0.0,0.0,0.0,0.0,3577.579350039522,1237.051772263004,48.950263955812915,0.0,2602.564355034913,2602.564355034913
 01/01  07:00:00,-7.2,19.590152357028433,-3.8112760292541594,16.57858712088397,142.39158169202722,4227.879180495413,4227.879180495413,0.0,0.0,0.0,0.0,3614.8912657806413,1257.2578906353226,51.93980464023186,0.0,2490.872873858881,2490.872873858881
 01/01  08:00:00,-6.7,19.675445728089898,-3.366799111288673,16.412018660075056,142.39158169202722,3910.496392352803,3910.496392352803,0.0,0.0,0.0,0.0,3653.408977452626,1265.1235401753238,54.56459849587427,0.0,2107.980531253394,2107.980531253394
 01/01  09:00:00,-5.6,19.70026549992815,-2.286889409220772,16.257689941818292,142.39158169202722,3846.1090355068154,3846.1090355068154,0.0,0.0,0.0,0.0,3747.2550688002743,1270.6300738078096,60.65426609378418,0.0,1925.8490924268249,1925.8490924268249
 01/01  10:00:00,-3.3,19.726967959835562,0.1678102761876212,16.11940160643232,142.39158169202722,3194.80486473971,3194.80486473971,0.0,0.0,0.0,0.0,3970.051290532078,1285.3438430909096,68.3353880575226,0.0,899.7192775484782,899.7192775484782
