Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-5.6,2881.9294138403097,992.8219842126076,43.26851968199445,41.281768848011914,111.06841059193674,0.0,18.42510613427353,-0.08871919376299756,18.035364912425162,1955.8857371948125,1955.8857371948125,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-6.7,3678.2079169554177,1239.3121788063202,48.9781747348663,0.0,141.65548501297658,0.0,18.48957043636006,-1.3879579545052727,17.583233464029508,2594.2277909531385,2594.2277909531385,0.0,0.0,0.0,0.0,191.04285461340442,191.04285461340442
 01/01  03:00:00,-6.7,3677.522315336655,1240.4175756640311,48.923634842269095,0.0,141.65548501297658,0.0,18.569816487884346,-2.5465993888015532,17.376478442035427,2926.0839858554355,2926.0839858554355,0.0,0.0,0.0,0.0,673.8534354221633,673.8534354221633
 01/01  04:00:00,-7.2,3611.762335269455,1233.306059056264,51.61394053621292,0.0,141.65548501297658,0.0,18.595107935810745,-3.2534287227370626,17.1365701645076,3147.3800720813833,3147.3800720813833,0.0,0.0,0.0,0.0,1081.4359868314527,1081.4359868314527
 01/01  05:00:00,-6.7,3675.6542983653467,1242.377728418197,48.95551205672067,0.0,141.65548501297658,0.0,18.60407687956939,-3.770112922075435,16.935166993510375,3108.535312798149,3108.535312798149,0.0,0.0,0.0,0.0,1013.9367687386793,1013.9367687386793
 01/01  06:00:00,-7.8,3558.6751808632102,1231.1223802905397,48.69721439832954,0.0,141.65548501297658,0.0,19.372725506822785,-3.946809153031317,16.729602072207662,4299.895158979149,4299.895158979149,0.0,0.0,0.0,0.0,2594.016454937144,2594.016454937144
 01/01  07:00:00,-7.2,3595.433536885392,1251.6386319717358,51.671300580849305,0.0,141.65548501297658,0.0,19.615648613269087,-3.788017357582985,16.582668971962033,4158.383837400759,4158.383837400759,0.0,0.0,0.0,0.0,2457.06982565019,2457.06982565019
 01/01  08:00:00,-6.7,3633.9911759389142,1259.1936210714935,54.282525502026836,0.0,141.65548501297658,0.0,19.6908081749301,-3.3558336703382383,16.415388473359933,3846.9759581368435,3846.9759581368435,0.0,0.0,0.0,0.0,2069.7115646144957,2069.7115646144957
 01/01  09:00:00,-5.6,3727.567953671772,1264.4277956552978,60.34071241798857,0.0,141.65548501297658,85.44000000000004,19.700845544490182,-2.0617348885040383,16.260638741803124,3791.1089885103393,3791.1089885103393,0.0,0.0,0.0,0.0,3129.8638149399276,3129.8638149399276
 01/01  10:00:00,-3.3,3949.5257402046796,1278.7019147601625,67.98212663846222,0.0,141.65548501297658,85.44000000000004,19.700018396037017,0.45553585342917907,16.12156656554863,3170.3037591007596,3170.3037591007596,0.0,0.0,0.0,0.0,2313.0340324180943,2313.0340324180943
