Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,18.88238686267217,3.6687966578036084,19.885611972802053,49.43039752155899,1088.1225577252908,1088.1225577252908,0.0,0.0,0.0,0.0,1441.013737627359,458.34326629409196,28.067440539265966,132.23905998768691,0.0,0.0
 01/01  02:00:00,0.6,18.648021556621963,3.169320450283582,19.64776059992711,51.88890101049402,1107.2365939623087,1107.2365939623087,0.0,0.0,0.0,0.0,1486.2006893863093,479.05951754458636,32.053343884536474,128.77670003713635,0.0,0.0
 01/01  03:00:00,1.1,18.61986726379657,2.8366423292784404,19.501117809664983,57.46797347075169,1260.089181550451,1260.089181550451,0.0,0.0,0.0,0.0,1685.060947712013,532.1442457975919,33.77798413785078,121.210105259884,0.0,0.0
 01/01  04:00:00,1.1,18.58671309690288,2.7312226282867584,19.350136041675544,64.34154589929916,1413.7581692963504,1413.7581692963504,0.0,0.0,0.0,0.0,1897.1264437737464,595.3340998860434,37.83889508220477,111.7860091789115,0.0,0.0
 01/01  05:00:00,1.0,18.588715668013446,2.6020171287636873,19.216144788932972,67.55408537483613,1478.1167101028896,1478.1167101028896,0.0,0.0,0.0,0.0,1998.1520128661848,625.8390443440885,38.35832574897865,107.39461240104644,0.0,0.0
 01/01  06:00:00,1.0,19.277615413680355,3.132315906578068,19.044691020076087,107.60082922401402,2445.3756877049564,2445.3756877049564,0.0,0.0,0.0,0.0,3229.2615670550204,980.3709449092113,73.7717779590148,52.25498106731956,0.0,0.0
 01/01  07:00:00,1.0,19.594449000771405,3.295956230523097,18.955482022327576,108.22133978181839,2367.396105363545,2367.396105363545,0.0,0.0,0.0,0.0,3238.7694017845797,999.4180132501917,74.19939007947103,51.398589062402046,0.0,0.0
 01/01  08:00:00,1.1,19.711425546775086,3.216772164886335,18.855077528048813,100.16933846576812,2122.408820898794,2122.408820898794,0.0,0.0,0.0,0.0,2964.414278377289,926.6419009652791,72.40860393137869,62.40394105177425,0.0,0.0
 01/01  09:00:00,1.0,19.749179207934027,4.382129328836655,18.759110184540138,90.47460242309312,1888.0646878879124,1888.0646878879124,0.0,0.0,0.0,0.0,2663.084609451896,842.6549714798616,62.03292517944995,75.764744206393,0.0,0.0
 01/01  10:00:00,1.7,19.76461206897303,5.193928706818482,18.669159271780547,83.24991925928975,1789.0520092143943,1789.0520092143943,0.0,0.0,0.0,0.0,2482.4173225993763,780.1315982329276,56.841629444506594,85.8193387462023,0.0,0.0
