Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,1407.2035494911888,449.85625823316667,27.451285270698218,133.4224930577702,48.32566110834524,0.0,18.920969108106867,3.775673746393368,19.884980292986587,1045.7395693435155,1045.7395693435155,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.6,1431.521072388892,462.4606257122498,30.918979882899077,130.98203651884654,50.032490289676524,0.0,18.680869596064134,3.210920095591085,19.648928206457295,1042.173558514056,1042.173558514056,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.1,1629.8831960129826,515.7685823307199,32.71711508826868,123.33448995195072,55.64077649819448,0.0,18.64108723409468,2.8590061170071372,19.502865202042763,1203.4920314020928,1203.4920314020928,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.1,1874.9597242092855,588.8886112862516,37.41345722361573,112.3776089616313,63.592675148260135,0.0,18.621593604195233,2.7537852990438174,19.350647121192853,1361.823438148329,1361.823438148329,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,1.0,1950.4677020719753,612.0307091197903,37.4860401808912,109.08523678328628,65.99143119159595,0.0,18.606226629830335,2.602419876984014,19.218423605948207,1429.589706406341,1429.589706406341,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.0,3301.4110741307086,1000.4868467182575,75.26039807147679,48.58205650991254,109.72816170555696,0.0,19.352067456627438,3.182390438089063,19.042378500125533,2396.05730360316,2396.05730360316,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.0,3208.337155742391,992.2117267266017,73.55621391076022,52.01073968933196,107.24006525214986,0.0,19.63524336337725,3.3074174321530583,18.959083935629007,2317.1953385439756,2317.1953385439756,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.1,2883.273317168197,903.7512090837378,70.5623547684007,65.29704564805554,97.57609202951635,0.0,19.721509573985855,3.2011488127591075,18.857935020572473,2063.1502881882316,2063.1502881882316,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.0,4055.043133595859,1238.24837017807,91.15703163435712,16.59929234460984,132.89883025515874,85.44000000000004,19.66919968928298,5.1217877671301375,18.730114874015484,1836.1899254044947,1836.1899254044947,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,1.7,4199.77637033804,1261.4054126574845,92.07980057006709,14.185911414248764,134.80616650773268,85.44000000000004,19.686376991714784,6.003671283262864,18.63986385479676,1847.1742747097342,1847.1742747097342,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,2.2,3712.441229824693,1119.4319112672974,86.74069823456195,34.85237142965008,119.85237000052501,85.44000000000004,19.7136783668231,7.5541646358124055,18.56071193421647,1548.4010604564937,1548.4010604564937,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,3.3,2632.141853438373,801.0257387001957,55.669720823818885,84.21668120018381,84.22187955623183,85.44000000000004,19.75564476396508,8.824714679348192,18.503574009684257,946.9606896248024,946.9606896248024,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,4.4,844.6336231520498,263.9655901165264,17.72555876277756,162.3658343943927,27.41974114187564,28.994634140469167,19.857040094686706,12.45095384667778,18.466125648366766,333.7390453948028,333.7390453948028,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,19.920799214479903,13.458301048172467,18.433219597426998,-139.75034678853262,-139.75034678853262,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,6.1,0.0,0.0,0.0,200.0,0.0,0.0,19.857892320121135,13.011133937300375,18.412601422244876,-96.33773025480696,-96.33773025480696,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,5.6,287.473650413007,82.03606233005927,0.0,190.00150604759096,7.310336814064572,0.0,19.717579916939965,10.08444798784476,18.399468234794867,236.60635831618856,236.60635831618856,0.0,0.0,0.0,0.0,0.0,0.0
