Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,18.988394716459666,3.279547774716502,19.0775443044087,53.895313355745145,1150.931311381757,1150.931311381757,0.0,0.0,0.0,0.0,1538.200127631646,482.66670688613135,36.74181213750212,117.99792245145974,0.0,0.0
 01/01  02:00:00,1.0,18.666096021449064,2.763995767792646,18.78539442441162,48.14294735815718,966.2772741563131,966.2772741563131,0.0,0.0,0.0,0.0,1362.9072248063326,436.62659813575056,32.82118370443104,126.74816252139777,0.0,0.0
 01/01  03:00:00,0.6,18.53344477689046,2.7489185715620263,18.58140242855288,61.091172746122176,1239.4886910241548,1239.4886910241548,0.0,0.0,0.0,0.0,1717.1986756917845,544.1079264598308,45.375589818208105,106.89789119965154,0.0,0.0
 01/01  04:00:00,0.6,18.56834420477919,2.855863451687059,18.387443685406264,72.3772609424008,1483.8236242553812,1483.8236242553812,0.0,0.0,0.0,0.0,2056.243594196353,642.7510035254962,53.78723106465942,89.69816741383019,0.0,0.0
 01/01  05:00:00,1.0,18.597238290791918,2.73764630016505,18.225391336207974,73.97312776934142,1532.9216810987928,1532.9216810987928,0.0,0.0,0.0,0.0,2147.147466452991,664.8742404500431,50.42976815527876,87.44850843099394,0.0,0.0
 01/01  06:00:00,1.0,19.27845206508323,3.4073573418812853,18.043798683388978,113.22212097376722,2449.0043512132197,2449.0043512132197,0.0,0.0,0.0,0.0,3345.880745247922,1001.5150728523139,90.03169454952993,27.445651024987082,0.0,0.0
 01/01  07:00:00,1.0,19.585295855114293,3.5149205320429675,17.934419332132556,113.06080130625597,2395.718083686468,2395.718083686468,0.0,0.0,0.0,0.0,3389.1075383377065,1029.87726798311,77.07930833188581,27.97083073734172,0.0,0.0
 01/01  08:00:00,1.0,19.70416567694354,3.5487272147093414,17.81312652604208,105.96115191367507,2180.698919771432,2180.698919771432,0.0,0.0,0.0,0.0,3150.939645615281,970.9570266685868,72.24006787538671,38.77127165475724,0.0,0.0
 01/01  09:00:00,1.1,19.734360257802507,4.263094461339908,17.698095162420156,101.72216884600076,2066.832773847578,2066.832773847578,0.0,0.0,0.0,0.0,3001.91425346102,929.8632032314073,73.17902366767748,45.16332143533042,0.0,0.0
 01/01  10:00:00,1.0,19.766768786229218,6.571792364017545,17.58759836972231,90.86155133912168,1789.6053038756909,1789.6053038756909,0.0,0.0,0.0,0.0,2616.456480774228,821.5041671383414,72.25519871792757,61.516004589105265,0.0,0.0
 01/01  11:00:00,2.0,19.912420217468114,11.0676408411419,17.495192461524255,46.14532120452727,831.7821092516642,831.7821092516642,0.0,0.0,0.0,0.0,1300.1541017271115,417.21671106988146,39.08483557785399,129.7591383320655,0.0,0.0
 01/01  12:00:00,3.9,19.693578876668575,10.961589424819438,17.413380051827325,21.919769169171506,435.59862419255296,435.59862419255296,0.0,0.0,0.0,0.0,645.6926548529902,204.7172110630021,16.274255419211716,166.7825129758718,0.0,0.0
 01/01  13:00:00,4.4,19.939230014766054,12.05500952275323,17.355820916986673,15.37838472962175,341.08141017555135,341.08141017555135,0.0,0.0,0.0,0.0,464.06196239988304,145.78475363359698,9.878785325099617,176.7281338896838,0.0,0.0
 01/01  14:00:00,5.0,19.978741910783853,13.661607375048735,17.317500095065597,0.0,-96.62643820478843,-96.62643820478843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,5.6,20.48033365012874,13.94239954484761,17.295568815310123,0.0,-556.1698222112736,-556.1698222112736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,5.0,20.145240165664156,11.5203303378402,17.2860318535038,0.0,-307.99570202261384,-307.99570202261384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,4.4,20.183708018819818,9.761165160314327,17.279838591478562,0.0,-336.53350906398737,-336.53350906398737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,4.4,20.059177346033074,8.069892954767676,17.266062106509658,0.0,-254.70693422178556,-254.70693422178556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,3.9,19.93378466103141,6.474021295599412,17.2405535139947,0.0,-154.66362557259708,-154.66362557259708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,2.8,19.733261311342275,5.263350349740267,17.204163534840735,0.0,-8.256231779632799,-8.256231779632799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,2.8,19.69321121869061,4.71517024930391,17.156994095939737,14.597121583692873,321.11541277184006,321.11541277184006,0.0,0.0,0.0,0.0,444.86207993328907,143.54155852570224,4.390967306369315,177.93164940926127,0.0,0.0
 01/01  22:00:00,2.2,19.311681927411726,4.050738834496221,17.0975926814387,28.385950445161797,667.528345666482,667.528345666482,0.0,0.0,0.0,0.0,886.9978668139152,285.0429164903489,2.9550639710546784,157.152497131013,0.0,0.0
 01/01  23:00:00,1.1,18.92793250914396,3.470211668422057,17.028108473114145,26.638877872135645,571.2274624708607,571.2274624708607,0.0,0.0,0.0,0.0,798.3430016381747,259.86059369085956,5.117462199606983,159.73600804744498,0.0,0.0
 01/01  24:00:00,1.0,18.364892518299218,3.1140641615329994,16.942661725886055,39.149117853557165,877.0255448217276,877.0255448217276,0.0,0.0,0.0,0.0,1191.9082963215214,380.7095250998078,5.949415637446653,140.85459208935072,0.0,0.0
 01/08  01:00:00,-0.6,18.79265357248165,-0.32283325202855084,19.094617403601518,88.3885424026009,1720.6256530959472,1720.6256530959472,0.0,0.0,0.0,0.0,2657.554127331987,833.4424260559834,21.79236208176566,66.17840962721448,0.0,0.0
 01/08  02:00:00,-1.1,18.619772395111983,0.5102465196692452,18.756494535415168,96.84988626416767,1901.4662301500975,1901.4662301500975,0.0,0.0,0.0,0.0,2838.3282931887884,898.35340030561,36.117878873215425,52.98083799591191,0.0,0.0
 01/08  03:00:00,-1.0,18.587545637969267,1.1110994841786466,18.575808112054297,105.75114019759707,2112.825395251546,2112.825395251546,0.0,0.0,0.0,0.0,3092.7549749301224,965.9820100105961,49.32497514834079,39.20657692249052,0.0,0.0
 01/08  04:00:00,-2.0,18.560939382769792,1.673058106386369,18.37567757850326,118.81202766054534,2292.079670771611,2292.079670771611,0.0,0.0,0.0,0.0,3347.2874360633505,1055.8828999001491,73.11658994942609,18.53087798884785,0.0,0.0
 01/08  05:00:00,-2.0,18.583094764956687,1.4074744494609672,18.215562493582308,122.2577179486246,2369.202325283881,2369.202325283881,0.0,0.0,0.0,0.0,3456.1138852788627,1085.7279414800976,75.23688082925437,13.268497390452438,0.0,0.0
 01/08  06:00:00,-2.0,19.335144176272607,1.7183041491645048,18.059781043470924,132.62967704286433,3367.2893396685813,3367.2893396685813,0.0,0.0,0.0,0.0,3779.826958030775,1163.1548738042422,80.5829544322507,0.0,909.4557784510016,909.4557784510016
 01/08  07:00:00,-1.7,19.605558380011253,1.8946600049661027,17.95600963138027,132.62967704286433,3141.4442131656942,3141.4442131656942,0.0,0.0,0.0,0.0,3858.1892708472683,1202.4436476437634,66.96490426235937,0.0,648.0897638438169,648.0897638438169
 01/08  08:00:00,-2.0,19.689375775743517,1.921608275046142,17.830338867592577,132.62967704286433,2904.092355937988,2904.092355937988,0.0,0.0,0.0,0.0,3814.678831836991,1203.6596725815564,68.35870242528159,0.0,433.9941870424259,433.9941870424259
 01/08  09:00:00,-1.7,19.763576499527336,2.5088954665308325,17.719937069368438,121.31483844165716,2295.846492017474,2295.846492017474,0.0,0.0,0.0,0.0,3511.862786288483,1124.7153925193645,56.777614249231355,15.367296360515326,0.0,0.0
 01/08  10:00:00,-1.1,19.836309236921796,3.5207130145844707,17.624014522343305,88.8246706780404,1620.7772576166171,1620.7772576166171,0.0,0.0,0.0,0.0,2548.85737027504,831.9643381042991,38.62902053120385,65.00152150215735,0.0,0.0
 01/08  11:00:00,-1.0,19.898378233073483,5.322532336390522,17.5433219052818,55.68078800332066,948.2881065930669,948.2881065930669,0.0,0.0,0.0,0.0,1547.6628970604522,520.5286923344711,25.97218956749334,115.3338191693805,0.0,0.0
 01/08  12:00:00,-1.0,19.761582310954623,6.270392360096553,17.477714090668567,57.66650766122959,1141.7940768564767,1141.7940768564767,0.0,0.0,0.0,0.0,1649.7811556395332,552.8997185695999,16.269902934418525,112.61201297271643,0.0,0.0
 01/08  13:00:00,0.0,19.505510013064544,5.343277551413759,17.422631894432513,61.929061968817635,1331.7812407121382,1331.7812407121382,0.0,0.0,0.0,0.0,1838.2647644961885,599.5763005853222,15.330554494326519,106.26941835588171,0.0,0.0
 01/08  14:00:00,0.0,19.86343806540061,5.830038733404918,17.3710757988987,65.03726007477046,1387.569282668719,1387.569282668719,0.0,0.0,0.0,0.0,1919.429613615831,620.972014069606,20.4183725112842,101.46470452084908,0.0,0.0
 01/08  15:00:00,0.0,19.773489805246683,5.596526124742382,17.33130568434829,56.63859255819359,1171.8295562249277,1171.8295562249277,0.0,0.0,0.0,0.0,1656.3330202449358,544.5856770546493,17.781769078584535,114.18846583722373,0.0,0.0
