Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,1596.280544774494,501.355868425504,38.07536383340986,114.54813721173494,55.851170058013444,0.0,19.103510018600193,3.4860828671457247,19.070939870836668,1125.274711526652,1125.274711526652,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,1.0,1423.0502221314923,456.2568082291275,34.219221539748816,123.20240887179486,50.193373720351204,0.0,18.683457602263005,2.9304798843740576,18.7769767799128,1006.7065767286203,1006.7065767286203,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,0.6,1808.0159368465904,571.3873720018648,47.63559624692486,101.71617961513348,64.13386742472879,0.0,18.586084621130475,2.885144914186502,18.572803667839693,1257.7219140640045,1257.7219140640045,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,0.6,2103.692751406947,657.2697477915513,54.945722915444925,86.69459660220906,73.93595522793123,0.0,18.610555069078323,2.9646557595449616,18.38173624525948,1484.3569627918387,1484.3569627918387,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,1.0,2141.2348364202485,663.5984474860088,50.29175144421471,87.13111547415777,73.77054501149269,0.0,18.619447467442964,2.804936080624957,18.221761670824172,1514.4431134320857,1514.4431134320857,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.0,3466.4048640259266,1034.0031115690583,92.91466835158246,20.92788813365285,116.84757090196241,0.0,19.356945878395248,3.5299364897115217,18.037844328828584,2425.453312844573,2425.453312844573,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.0,3387.229547778893,1030.7373144651556,77.02656452524985,27.130649317983526,112.98305524413489,0.0,19.630966000804108,3.5771830328962784,17.934513503155404,2364.0178882979326,2364.0178882979326,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.0,3080.7674235291906,951.7981378292113,70.75130748824452,41.21409723021985,103.77724291665818,0.0,19.71581520877955,3.569005253132776,17.81213495493893,2132.061833592481,2132.061833592481,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.1,4000.9215694717486,1194.4911773016534,94.00037167246569,0.0,131.89475420012033,85.44000000000007,19.660536450369733,4.884008127655738,17.689999977956962,2021.6791757933024,2021.6791757933024,0.0,0.0,0.0,0.0,408.28517402294665,408.28517402294665
 01/01  10:00:00,1.0,3944.101616187343,1177.855776182413,103.77346576549068,0.0,131.89475420012033,85.44000000000007,19.695679341531324,7.352175568034395,17.57678169891043,1842.000818331324,1842.000818331324,0.0,0.0,0.0,0.0,397.167571974006,397.167571974006
 01/01  11:00:00,2.0,2921.6702811691275,892.1768400815434,83.72196825664184,48.70166097138269,98.84632161697584,85.44000000000007,19.736189657948614,12.070625916528297,17.48859709218222,918.8471136272292,918.8471136272292,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,3.9,2178.567959565361,658.8057061645459,52.565788723173675,92.1097944227613,70.80108476774006,85.44000000000007,19.714608955901717,11.680907751705034,17.413167087127853,645.8990392484593,645.8990392484593,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,4.4,854.3916494519725,265.6188080532083,17.993271766040497,157.3763153125533,28.010263626275222,27.75241671372484,19.865480225047875,12.426376873372547,17.353936353717785,362.4063117047608,362.4063117047608,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,19.967389111026872,13.848703183292569,17.314104764975358,-76.389614051448,-76.389614051448,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,20.478457860359043,14.052047831887363,17.29225430955876,-551.5354254714821,-551.5354254714821,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,20.157116719317234,11.582541776985767,17.282599578700477,-315.5568074919229,-315.5568074919229,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,4.4,0.0,0.0,0.0,200.0,0.0,0.0,20.20318064748648,9.805172516275526,17.276594605601723,-343.0539479163981,-343.0539479163981,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,4.4,0.0,0.0,0.0,200.0,0.0,84.17134039193255,19.014780584886267,8.101658865559779,17.263080013358998,-266.55282152552536,-266.55282152552536,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,3.9,1781.2755120976371,535.4495751005774,19.05118516538794,116.36081990684023,55.03871067725781,85.44000000000007,19.4235571576941,7.112636326622285,17.232380500437458,73.90164448841642,73.90164448841642,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,2.8,2126.0100648842995,650.6769109345624,24.352776154141296,97.83322625168252,67.16699781483359,85.44000000000007,19.544820729621318,6.237033341275445,17.200869266263705,280.895484710034,280.895484710034,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,2.8,2283.034155261305,697.8223359350077,21.431710444187154,91.68722228769748,71.2467282416982,85.44000000000007,19.56068628167789,5.576323266475205,17.1529231146727,536.2377121836489,536.2377121836489,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,2.2,2675.534067391387,817.5802299938091,8.50046966780794,76.05907276850708,81.65443547673578,85.44000000000007,19.508185093786043,4.780210771313547,17.09119517610937,975.7950929465987,975.7950929465987,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,1.1,1228.7821256383104,397.00856982244534,7.789201500934599,138.3733847666854,40.54649208408349,22.26239780670685,19.04136937751998,3.860461862202497,17.0220866005567,647.3182101145176,647.3182101145176,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,1.0,1297.1895991208262,414.181753549095,6.45844944868115,135.43633512127676,42.49868585236241,0.0,18.47466836310943,3.281314404537291,16.93601181710603,923.7167593985314,923.7167593985314,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  01:00:00,-0.6,2513.3795006676346,792.0135440285544,20.689341796517407,72.24387096561257,83.91467572969168,0.0,18.779854300445923,-0.3534829410187982,19.10091706916381,1662.144395796191,1662.144395796191,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  02:00:00,-1.1,2736.2419476957107,867.9426993235733,34.903267558249986,57.133310471913944,93.5929495374586,0.0,18.613432299347373,0.4820045491485583,18.76035300683604,1828.1488116062155,1828.1488116062155,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  03:00:00,-1.0,3042.4764160051795,951.0484385426746,48.568067664415345,40.79180452854474,104.12838057136989,0.0,18.595330186906896,1.0951378304657062,18.578683492631594,2059.424939730021,2059.424939730021,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  04:00:00,-2.0,3328.064325098514,1050.0448608587474,72.70087739175445,18.55723682065229,118.13644706094577,0.0,18.581396095783745,1.6693894754333647,18.378015322827054,2247.337190185548,2247.337190185548,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  05:00:00,-2.0,3417.8338445467302,1074.8603568505046,74.4533172209933,14.1835960018593,120.9842864688365,0.0,18.597322855807125,1.396787411414972,18.218829443926772,2326.600236418324,2326.600236418324,0.0,0.0,0.0,0.0,0.0,0.0
 01/08  06:00:00,-2.0,3758.6062245061435,1157.0361953829488,80.13643103516124,0.0,131.89475420012033,0.0,19.368327966831266,1.7244070170686,18.062050181297433,3323.1139724054374,3323.1139724054374,0.0,0.0,0.0,0.0,932.6903006457574,932.6903006457574
 01/08  07:00:00,-1.7,3836.157382922063,1196.5570982194874,66.59384071985623,0.0,131.89475420012033,85.44000000000007,19.563815316305543,2.121764634643649,17.959187694589037,3095.9997063405863,3095.9997063405863,0.0,0.0,0.0,0.0,1827.0180864298786,1827.0180864298786
