Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-12.2,18.42600630129388,-4.606753433006421,18.419068297137418,165.00269591303598,2634.7630333557227,2634.7630333557227,0.0,0.0,0.0,0.0,3670.999493568538,1443.2492624295442,13.511280517478067,39.65010457213063,0.0,0.0
 01/01  02:00:00,-11.1,18.468392607317707,-5.596775374590359,17.97877052002652,184.33634173867077,3071.106576679049,3071.106576679049,0.0,0.0,0.0,0.0,4334.981622849263,1632.6775789379367,3.787862394093246,21.488054568517345,0.0,0.0
 01/01  03:00:00,-11.1,18.46971042635296,-5.904951652445042,17.756449964869756,206.30550329548996,3415.1681914330147,3415.1681914330147,0.0,0.0,0.0,0.0,4914.722496788333,1828.000273641472,4.239299542062185,0.21301468067931317,0.0,0.0
 01/01  04:00:00,-12.8,18.538443750835164,-6.800794962904045,17.50588464685712,206.73882790161366,3978.1901076636113,3978.1901076636113,0.0,0.0,0.0,0.0,4647.126732659322,1792.6049481871808,10.877028557024682,0.0,1018.5732730537611,1018.5732730537611
 01/01  05:00:00,-11.7,18.577885022355474,-6.527630342118374,17.314206074947464,206.73882790161366,3839.1422349222757,3839.1422349222757,0.0,0.0,0.0,0.0,4802.152316995399,1810.2067325685948,13.232541865932673,0.0,784.4539069543916,784.4539069543916
 01/01  06:00:00,-11.7,19.302949520683768,-6.798821894832234,17.112574525497234,206.73882790161366,4904.050018017442,4904.050018017442,0.0,0.0,0.0,0.0,4801.221478099701,1811.2783469854917,13.218490094257067,0.0,2004.5434182247732,2004.5434182247732
 01/01  07:00:00,-11.7,19.561724167920666,-6.533983052518,16.953052839213388,206.73882790161366,5194.28997514426,5194.28997514426,0.0,0.0,0.0,0.0,4795.207413591942,1841.8122195190585,8.291425443879522,0.0,2439.0866112991894,2439.0866112991894
 01/01  08:00:00,-12.2,19.67076430647738,-6.54835027545781,16.778264182581104,206.73882790161366,4411.405067850215,4411.405067850215,0.0,0.0,0.0,0.0,4683.9547345353385,1830.6297065686153,16.770890499399606,0.0,1678.3220644350467,1678.3220644350467
 01/01  09:00:00,-11.1,19.720234646287505,-4.284705752428295,16.629801956560183,206.73882790161366,3298.0437783479774,3298.0437783479774,0.0,0.0,0.0,0.0,4853.776316757429,1856.1380170174734,14.615841822567935,0.0,234.84650045341914,234.84650045341914
 01/01  10:00:00,-8.9,19.96086468811258,-0.45307070315337505,16.53142065428586,144.44675852539672,2221.691485639116,2221.691485639116,0.0,0.0,0.0,0.0,3534.147837568125,1338.1322707569364,0.06958421201091333,60.25880774434356,0.0,0.0
