Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-12.2,3697.7739361819094,1458.5627479439513,13.610378163248038,37.77864675079925,166.21202127705547,0.0,18.58180211275542,-4.357681559701434,18.422561127515543,2538.4817950137294,2538.4817950137294,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-11.1,4281.021916214644,1619.911313140014,3.747147692066923,22.646583970919565,182.35477016586353,0.0,18.58638346034247,-5.466064302150419,17.986077172041053,2950.2619048875094,2950.2619048875094,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-11.1,4846.449459050291,1809.7785931175874,4.1876929885367735,1.7954674243565671,203.79390999281583,0.0,18.566837740514472,-5.811050205971418,17.764470575902358,3281.8043182084566,3281.8043182084566,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-12.8,4624.183292832633,1788.1169893072984,10.830402855520708,0.0,205.8526168533953,0.0,18.5880854701458,-6.746030430877108,17.512227607078238,3849.3205590218276,3849.3205590218276,0.0,0.0,0.0,0.0,933.0466785471949,933.0466785471949
 01/01  05:00:00,-11.7,4780.01553236642,1804.1187733676902,13.175818971077225,0.0,205.8526168533953,0.0,18.602208439217037,-6.49245222035058,17.31949755006108,3730.7728377051953,3730.7728377051953,0.0,0.0,0.0,0.0,695.0397486590177,695.0397486590177
 01/01  06:00:00,-11.7,4779.880208069193,1804.3329971219023,13.161827434024369,0.0,205.8526168533953,0.0,19.330536561881733,-6.772996369561999,17.117143271253354,4811.435676232755,4811.435676232755,0.0,0.0,0.0,0.0,1962.1832180606248,1962.1832180606248
 01/01  07:00:00,-11.7,4773.783267382123,1834.8485366622106,8.255883243566082,0.0,205.8526168533953,0.0,19.588400624485555,-6.5198463538016265,16.957760912550714,5119.327261857368,5119.327261857368,0.0,0.0,0.0,0.0,2409.763413579737,2409.763413579737
 01/01  08:00:00,-12.2,4663.041976468556,1823.6673513165251,16.699000044181872,0.0,205.8526168533953,0.0,19.680160181063147,-6.5468428497977955,16.782719878003025,4347.1361876280425,4347.1361876280425,0.0,0.0,0.0,0.0,1625.2712503011771,1625.2712503011771
 01/01  09:00:00,-11.1,4832.677416382969,1848.4976277810026,14.553189244754465,0.0,205.8526168533953,85.44000000000005,19.702743478187188,-4.120452167102198,16.633313982066312,3245.3554035504767,3245.3554035504767,0.0,0.0,0.0,0.0,1167.8215422571793,1167.8215422571793
 01/01  10:00:00,-8.9,4720.517647784484,1740.4402158617306,0.09055215848199262,17.367444844181357,187.9731829550985,85.44000000000005,19.729780478234247,0.16135587841604548,16.516251593867715,2203.8633409184367,2203.8633409184367,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,-6.7,3604.1381024620673,1306.4718504533207,0.06663602221825539,65.60334720723398,138.3272739909793,85.44000000000005,19.742927591023662,1.0396679317775985,16.43030356161216,1624.5913611405413,1624.5913611405413,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,-5.6,2493.2508803944015,905.8283208287747,0.04575121321173645,107.7254357001363,94.97343153284834,85.44000000000005,19.832440552611928,4.5229835809287655,16.36465765310831,964.1418915207178,964.1418915207178,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-4.4,1772.3847532298817,639.9289186372811,0.03193540759732031,135.59021466505402,66.29377602249673,85.44000000000005,19.80318815869857,5.567813604229444,16.32080465739412,615.345527388612,615.345527388612,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,-3.9,388.788667753098,142.8627008973991,0.007102055174807069,185.6760290955344,14.742958625286812,16.412665347701836,20.111121890852605,10.636845471986627,16.2967046749961,169.77817895550652,169.77817895550652,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,-3.3,0.0,0.0,0.0,200.0,0.0,0.0,19.75905681066625,5.426722488659534,16.276844807290168,-442.26168055460585,-442.26168055460585,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-3.3,0.0,0.0,0.0,200.0,0.0,0.0,20.40355319736959,5.492298269634483,16.278166113545428,-588.6097387269328,-588.6097387269328,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-3.9,0.0,0.0,0.0,200.0,0.0,0.0,20.701577901914426,4.131182603762444,16.287798234831335,-792.0141652272087,-792.0141652272087,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-5.0,2120.986292531445,786.0211606918582,0.03876895335003539,121.80779420689638,80.47925663186138,84.70116727555946,19.923342307699716,0.8690970599627208,16.293778687209223,709.935164961671,709.935164961671,0.0,0.0,0.0,0.0,0.0,0.0
