Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.0,20.254053635362954,3.2687499649605036,19.125722754496543,60.046922270155044,13.999228633052553,13.999228633052553,0.0,0.0,0.0,0.0,1957.3638991007347,627.9978371086872,0.028925881428780418,137.9084875799828,0.0,0.0
 01/01  02:00:00,2.0,19.56476089128023,2.902059850394632,18.817338325980515,43.99525287399416,729.8625066768982,729.8625066768982,0.0,0.0,0.0,0.0,1385.2746740806351,453.6488362511656,0.02119347179688506,154.50666834337997,0.0,0.0
 01/01  03:00:00,2.0,18.87091111022842,3.0183487598332905,18.61452221427372,40.97515430174428,922.9066139369961,922.9066139369961,0.0,0.0,0.0,0.0,1292.3126886884572,416.7028506849435,0.019738624197500065,157.62960473544325,0.0,0.0
 01/01  04:00:00,1.0,18.636460736366427,2.5143054608142985,18.396386354247067,53.784525031735555,1299.1512094433256,1299.1512094433256,0.0,0.0,0.0,0.0,1669.772327718641,534.5502552590483,0.025909204098871007,144.3840053047732,0.0,0.0
 01/01  05:00:00,0.0,18.609791712404533,1.9261981433599438,18.20174529244918,67.79622359173472,1620.1672709829745,1620.1672709829745,0.0,0.0,0.0,0.0,2068.2929875482137,664.6027415098148,0.032658987675365424,129.8951029767932,0.0,0.0
 01/01  06:00:00,-1.0,19.180295025345025,1.6085663891056552,17.983284266819872,114.68540808812517,2763.78548057069,2763.78548057069,0.0,0.0,0.0,0.0,3502.5804768620615,1113.5070300192606,0.05524664238203855,81.40905610518408,0.0,0.0
 01/01  07:00:00,-1.0,19.659859106850483,1.2871785460804557,17.83174169240927,122.08093903506936,2858.537511507222,2858.537511507222,0.0,0.0,0.0,0.0,3734.6547799647656,1198.5394366150258,0.058809243898468366,73.76167233056627,0.0,0.0
 01/01  08:00:00,-2.0,19.720763247779963,0.7856170984857044,17.67761951656869,107.78309947441667,2343.65735317074,2343.65735317074,0.0,0.0,0.0,0.0,3171.586130607001,1059.0802714896322,0.05192170576970836,88.54627484365467,0.0,0.0
 01/01  09:00:00,0.0,19.91537615371432,2.4310098165224825,17.551694011114833,67.23543824284816,1448.4713298611969,1448.4713298611969,0.0,0.0,0.0,0.0,2039.7343423655986,672.9920744886738,0.03238884575998843,130.47498228436405,0.0,0.0
 01/01  10:00:00,2.0,20.3210420891377,7.992964102250805,17.44200837986297,11.73297647705399,165.32063251914406,165.32063251914406,0.0,0.0,0.0,0.0,363.3189803951922,120.03137517746917,0.005652030332904354,187.86750500661782,0.0,0.0
 01/01  11:00:00,4.0,20.869936762526446,13.201954441133713,17.347955222485627,0.0,-1035.0620076526884,-1035.0620076526884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,5.0,21.525275615537815,17.51403490479026,17.293072900842017,0.0,-1272.969561005455,-1272.969561005455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,7.0,22.567414472382374,24.679573870293076,17.27066726976116,0.0,-2015.956758512033,-2015.956758512033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,8.0,23.503668768663527,23.16623380155791,17.273900985405287,0.0,-2663.60524906086,-2663.60524906086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,9.0,24.62854887153301,21.629779456814155,17.294428925916307,0.0,-3444.10855034849,-3444.10855034849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,8.0,25.55679626826751,19.48550243628869,17.352192727789372,0.0,-4218.507626717961,-4218.507626717961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,8.0,26.367420730879054,17.40748747120312,17.425207774733718,0.0,-4963.939070615257,-4963.939070615257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,6.0,25.57127547866051,13.043568762151043,17.500343402820814,0.0,-4283.872054646359,-4283.872054646359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,2.0,24.932606783279134,8.720504341461217,17.55465056822121,0.0,-3711.8649226189373,-3711.8649226189373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,2.0,24.501598241552887,5.612405968289612,17.572966715322114,0.0,-3779.81606954987,-3779.81606954987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,1.0,24.024353906568546,3.519175298272291,17.561992577819954,0.0,-3371.8764757011504,-3371.8764757011504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,1.0,23.36585333092207,1.926694048984733,17.52141162483424,0.0,-2807.5481730131705,-2807.5481730131705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,0.0,22.362291788491945,0.5104724781484209,17.45775759888469,0.0,-2863.575015492117,-2863.575015492117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,-1.0,21.251692595388135,-0.7539886518568258,17.376277190594344,0.0,-2067.6733762124804,-2067.6733762124804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/13  01:00:00,2.0,20.247313016051574,3.7176450139847503,18.94152077439463,0.0,-1252.5404213441288,-1252.5404213441288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/13  02:00:00,4.0,19.724297603410427,3.129696018730057,18.610989454415137,0.0,-866.9366415756358,-866.9366415756358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/13  03:00:00,4.0,19.225595252644826,1.9631848830880558,18.423365556585523,0.0,-432.03827320821983,-432.03827320821983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/13  04:00:00,2.0,18.60174741221777,-0.10244784242945756,18.223122621528972,3.164781720560291,82.33149032491383,82.33149032491383,0.0,0.0,0.0,0.0,97.82708418411102,31.965412804648956,0.001524544266329292,196.7274546332937,0.0,0.0
 01/13  05:00:00,2.0,18.60024943440751,-1.587195429273352,18.037584294285594,14.879212185516803,375.5198850374818,375.5198850374818,0.0,0.0,0.0,0.0,464.42950976005835,148.42226557057194,0.007167640394155719,184.614137562179,0.0,0.0
 01/13  06:00:00,4.0,19.27991285988087,1.0480101977871377,17.854933516045737,42.47150531368941,1130.4241878839302,1130.4241878839302,0.0,0.0,0.0,0.0,1419.3869961146268,431.6891724275976,0.020459408466746164,156.08238877536132,0.0,0.0
 01/13  07:00:00,3.0,19.712209287438238,0.3269667372880367,17.698997003518798,59.46170333349155,1523.6503247083547,1523.6503247083547,0.0,0.0,0.0,0.0,1949.5036599768719,606.3942129352449,0.028643968345111737,138.51363455809914,0.0,0.0
 01/13  08:00:00,-1.0,19.569081698685636,0.11421108243678331,17.545050888976313,60.697764175590194,1330.2826477476447,1330.2826477476447,0.0,0.0,0.0,0.0,1784.8177902299158,602.225713011347,0.029239533418365507,137.23521072738848,0.0,0.0
 01/13  09:00:00,3.0,19.966663541360514,2.4089831076599877,17.425751341205086,32.80241449008204,750.4792256422625,750.4792256422625,0.0,0.0,0.0,0.0,1057.439652546246,336.36371854092374,0.015801621451708728,166.08066803285135,0.0,0.0
 01/13  10:00:00,6.0,19.655623982703965,7.085402181378997,17.313369137074325,0.0,-4.4076188799535885,-4.4076188799535885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
