Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.1,18.468446285698167,-3.72177486370491,17.80471204044496,134.9837381530312,2400.9573653551925,2400.9573653551925,0.0,0.0,0.0,0.0,3414.3471357727717,1190.1539508218862,56.266998279169655,56.17349605114956,0.0,0.0
 01/01  02:00:00,-5.6,18.494218486881497,-2.6572469167152573,17.321626123030406,153.37613189531416,2830.857439929101,2830.857439929101,0.0,0.0,0.0,0.0,4000.287741265082,1367.4356848008633,58.25781436292455,36.88080037870862,0.0,0.0
 01/01  03:00:00,-5.6,18.552705096206292,-2.121210473496821,17.087611504150907,164.205918289219,3047.473887326705,3047.473887326705,0.0,0.0,0.0,0.0,4309.5172295778475,1463.15262735244,63.21606068013416,25.33421048728457,0.0,0.0
 01/01  04:00:00,-6.0,18.570778732521,-1.8452623916263693,16.82641020485274,172.2119447274239,3194.2268025399408,3194.2268025399408,0.0,0.0,0.0,0.0,4516.4244930987525,1538.7417469488519,59.2328242100885,16.975445900370744,0.0,0.0
 01/01  05:00:00,-6.7,18.554955681805183,-1.7839589637871822,16.598909734969464,185.53863730898098,3344.8024175953597,3344.8024175953597,0.0,0.0,0.0,0.0,4747.168202292436,1632.8658249514885,80.64908849822373,2.0084198076594673,0.0,0.0
 01/01  06:00:00,-6.7,19.314825581835024,-1.4489093937021862,16.396180281193605,190.27476469381426,4364.6302802584105,4364.6302802584105,0.0,0.0,0.0,0.0,4905.414552244746,1658.801451680534,73.74229734488775,0.0,1059.6593973335093,1059.6593973335093
 01/01  07:00:00,-6.7,19.58326036077918,-1.7767239287338246,16.237650060312724,190.27476469381426,4446.734847068776,4446.734847068776,0.0,0.0,0.0,0.0,4884.271226884729,1683.0872547197837,73.74229734488775,0.0,1251.6171633096446,1251.6171633096446
 01/01  08:00:00,-7.2,19.675136922947402,-1.5797491201994096,16.06495459148883,190.27476469381426,4129.58019410387,4129.58019410387,0.0,0.0,0.0,0.0,4794.114325763658,1680.4996558501107,76.57979210710941,0.0,1022.8737106712424,1022.8737106712424
 01/01  09:00:00,-7.2,19.70680687337397,-1.21689894590683,15.90476408835806,190.27476469381426,3929.9645356883957,3929.9645356883957,0.0,0.0,0.0,0.0,4791.762435315371,1683.1850744588073,76.57979210710941,0.0,796.918022862722,796.918022862722
 01/01  10:00:00,-5.6,19.7376248910189,0.0898131031695874,15.765400207146483,187.49472513376577,3455.2733296112565,3455.2733296112565,0.0,0.0,0.0,0.0,5035.5320209699585,1727.978829623163,53.56010872181735,1.1798144827713797,0.0,0.0
 01/01  11:00:00,-5.0,19.855073557062017,2.540431947630566,15.630367550198558,149.54751348986917,2732.7229386053623,2732.7229386053623,0.0,0.0,0.0,0.0,4008.1435581629785,1391.4237423367385,37.20770755189533,41.679134389541495,0.0,0.0
 01/01  12:00:00,-4.4,19.93320253584279,5.429609588206522,15.512614252876606,113.10150329476556,2083.2431471984146,2083.2431471984146,0.0,0.0,0.0,0.0,3004.2425688544076,1057.4132093013156,30.163407531615366,80.25894661366846,0.0,0.0
 01/01  13:00:00,-3.9,19.86166357540204,6.305050098807827,15.409393013025753,90.313893095923,1732.5574416641794,1732.5574416641794,0.0,0.0,0.0,0.0,2392.9199679562607,847.2840758571605,25.50002769672282,104.3832785059891,0.0,0.0
 01/01  14:00:00,-3.3,19.902350986731015,8.372466562168656,15.324246922532778,73.48822961135636,1464.1624757183272,1464.1624757183272,0.0,0.0,0.0,0.0,1969.4462456862486,694.0835600871787,18.610948968711718,122.29113538052792,0.0,0.0
 01/01  15:00:00,-2.8,19.814255505354897,10.601985187215181,15.254384286740319,60.22954235475702,1246.5846294538842,1246.5846294538842,0.0,0.0,0.0,0.0,1632.1843464907872,574.0637057214523,13.08817586835787,136.38642512472865,0.0,0.0
 01/01  16:00:00,-2.8,19.839977487667163,10.413737483394886,15.186597520520419,23.770412422251724,456.3106382098031,456.3106382098031,0.0,0.0,0.0,0.0,630.6078112873295,226.19489224535033,5.1654166302394104,174.8940860151405,0.0,0.0
 01/01  17:00:00,-2.8,19.825589446484255,9.078863378938486,15.144632957360574,2.254208687035107,16.08120457612131,16.08120457612131,0.0,0.0,0.0,0.0,58.60466052501527,21.32701198638965,0.6045893362891246,197.61637268770244,0.0,0.0
 01/01  18:00:00,-2.8,19.633305275350686,5.444795455333236,15.131416858499053,24.212731367303416,515.8370851328764,515.8370851328764,0.0,0.0,0.0,0.0,630.9430989497258,226.92287089523896,8.242543583642824,174.35435990213082,0.0,0.0
 01/01  19:00:00,-4.4,19.415755723554614,1.7886839947166904,15.1063167203326,38.657202467990125,757.0265882051981,757.0265882051981,0.0,0.0,0.0,0.0,966.9494065937205,355.154990096992,14.509128305396729,158.94900563690535,0.0,0.0
 01/01  20:00:00,-6.1,19.534681000551796,-0.6258490310433235,15.06143915788401,58.43013055358324,1053.3701839858632,1053.3701839858632,0.0,0.0,0.0,0.0,1402.7224530383105,525.895428264372,23.939548076239987,137.75249674869187,0.0,0.0
 01/01  21:00:00,-6.7,19.656805473202883,-2.5181927191944102,15.003173575101943,70.30704889593217,1191.848398085359,1191.848398085359,0.0,0.0,0.0,0.0,1663.5471147676244,629.8312711232413,30.480541619127518,124.97140566096807,0.0,0.0
 01/01  22:00:00,-7.2,19.5341591748598,-3.6677035073038518,14.931073405176175,94.05765370777203,1566.2663043745997,1566.2663043745997,0.0,0.0,0.0,0.0,2234.1286622999105,844.4337562984991,37.789046611489695,99.6698532878975,0.0,0.0
 01/01  23:00:00,-8.3,18.817899812544823,-5.153318388832995,14.835003779595107,84.89767934428431,1267.8601506733048,1267.8601506733048,0.0,0.0,0.0,0.0,1938.9416884085574,753.6010492098263,34.98640402561669,109.25626750470761,0.0,0.0
 01/01  24:00:00,-8.3,18.34640531041765,-5.1060058443781084,14.720165573281854,122.67990060073674,1986.0947855121176,1986.0947855121176,0.0,0.0,0.0,0.0,2903.0207364385933,1079.6694941593228,44.20934827883727,69.16422894872123,0.0,0.0
 01/02  01:00:00,-7.8,18.436021578156687,-4.190792472298436,10.314580299867563,176.6939969538518,2956.8353311946557,2956.8353311946557,0.0,0.0,0.0,0.0,4426.561510236049,1545.098283710552,59.241694966073254,11.879960939173916,0.0,0.0
 01/02  02:00:00,-7.8,18.49375588810965,-3.836683328336891,10.266671434125957,190.27476469381426,3741.683258027131,3741.683258027131,0.0,0.0,0.0,0.0,4801.106690678137,1643.409379956074,62.988841640600704,0.0,698.4284247738024,698.4284247738024
