Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-6.1,3457.104232377008,1213.0365942601038,56.98942469618628,53.61636791262785,136.71347035970376,0.0,18.66485529492544,-3.35584718394509,17.81182951554368,2326.147637210821,2326.147637210821,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-5.6,3857.932949707368,1328.933981110396,56.39837562763761,41.31694273504112,148.4788427905007,0.0,18.60547419877801,-2.5216510903697933,17.33035887589306,2674.5063470647037,2674.5063470647037,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-5.6,4140.130815626723,1414.270335141746,60.96923976782804,30.72053769664651,158.36854134786992,0.0,18.616371320730565,-2.070116132915536,17.09577928442392,2887.2445004404635,2887.2445004404635,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-6.0,4352.6917486795555,1490.07443593384,57.28653627418345,22.125967661671986,166.55268707195864,0.0,18.60371823420281,-1.846473836121755,16.833980933857013,3054.3299263907647,3054.3299263907647,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-6.7,4631.855953545158,1597.9311967904398,78.87166166104562,5.42756315209989,181.44901933014575,0.0,18.581136615151124,-1.7913249827534536,16.604962878016316,3227.754659828721,3227.754659828721,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-6.7,4880.873302717119,1651.5908046807353,73.38437408219076,0.0,189.35122736123571,0.0,19.341515835023966,-1.4409582670810281,16.400767440037892,4268.350492061252,4268.350492061252,0.0,0.0,0.0,0.0,1016.1341159780877,1016.1341159780877
 01/01  07:00:00,-6.7,4859.817272896493,1675.77606182801,73.38437408219076,0.0,189.35122736123571,0.0,19.602809089522758,-1.7755230474569526,16.24230955722273,4371.644742704442,4371.644742704442,0.0,0.0,0.0,0.0,1214.746422619597,1214.746422619597
 01/01  08:00:00,-7.2,4770.302178451677,1672.9629731780485,76.20809648553906,0.0,189.35122736123571,0.0,19.683835334485114,-1.5831126294451379,16.06903339516246,4065.972344441254,4065.972344441254,0.0,0.0,0.0,0.0,978.9636335297164,978.9636335297164
 01/01  09:00:00,-7.2,4768.269448920972,1675.2839167058132,76.20809648553906,0.0,189.35122736123571,85.44000000000004,19.691669136710686,-1.045645311566086,15.908243968211753,3877.0053806352716,3877.0053806352716,0.0,0.0,0.0,0.0,1852.018793485502,1852.018793485502
 01/01  10:00:00,-5.6,5089.558656762718,1729.2632684392343,53.616431032282236,0.0,189.35122736123571,85.44000000000004,19.709380260680167,0.29169483652227646,15.767653481985114,3434.068341142789,3434.068341142789,0.0,0.0,0.0,0.0,1196.9113108603824,1196.9113108603824
 01/01  11:00:00,-5.0,5206.80311303108,1747.872063267944,46.77477251111847,0.0,189.35122736123571,85.44000000000004,19.658732323265774,3.0965939971513925,15.6349754437418,2740.037757002654,2740.037757002654,0.0,0.0,0.0,0.0,154.92273393165215,154.92273393165215
 01/01  12:00:00,-4.4,4237.515466429866,1444.1882781478457,41.364003558745765,34.99454256585304,155.10082987553167,85.44000000000004,19.73978518148228,6.054404464373684,15.514600525266816,2153.272337135768,2153.272337135768,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-3.9,3526.2159381239167,1211.6477725723078,36.612103012816625,62.04706616417752,129.67076583651846,85.44000000000004,19.754627678027767,6.915499244525562,15.414946879417755,1878.6761757701897,1878.6761757701897,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,-3.3,2150.4891849895653,752.7096246679365,20.22621572892148,115.13477843479909,79.86664335982898,12.119371404700148,19.858184187023596,8.729073726761438,15.324476446145336,1548.2018537951171,1548.2018537951171,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,-2.8,1642.506926834658,576.8220288104076,13.162704048490099,135.71215531839536,60.572578329816494,0.0,19.7880215630227,10.69416156665995,15.254654757104486,1287.0741768566695,1287.0741768566695,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-2.8,580.4925639889568,208.29703922851405,4.759174672367649,176.75575770581162,21.900967464115766,0.0,19.78714789739481,10.491015026460518,15.185887376833598,463.30921198903525,463.30921198903525,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-2.8,15.25534414706276,5.5496139396595145,0.1574878126648279,199.37606709457742,0.5871936117339531,0.0,19.77794300473069,9.109049113920387,15.143948660791335,11.22113439646273,11.22113439646273,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-2.8,1843.8806475149559,644.5713786618794,23.4404057734946,126.71240241976082,68.85709786939316,85.44000000000004,19.63073910292871,6.011980930918338,15.146720930414771,524.8773178897682,524.8773178897682,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-4.4,2611.1667999514048,922.9215843783608,37.71763949824168,92.76416584780792,100.4925936556195,85.44000000000004,19.505786231859307,2.432402755304984,15.119529513103872,875.0756014698909,875.0756014698909,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,-6.1,3139.7347556435534,1130.8740212623875,51.40658507829999,65.68088777612262,125.4692350657768,85.44000000000004,19.532933818760537,0.29067155854589427,15.072536153042586,1146.0833695629299,1146.0833695629299,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,-6.7,3329.372064717313,1209.4774537066273,58.553483110028836,55.16619721219988,135.0608979939538,85.44000000000004,19.611952234513726,-1.3462420323306201,15.012888502733514,1328.5050041569011,1328.5050041569011,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,-7.2,3832.837625008496,1390.95555643734,62.3192544087236,33.73500257429325,155.11462045029157,85.44000000000004,19.60503579353406,-2.4426988876246796,14.940878491711628,1741.203595874289,1741.203595874289,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,-8.3,3144.779471936185,1186.718327632307,55.0333800708079,56.5645209930485,133.5427050376926,79.89829601780585,19.024376712466115,-3.9066204361129313,14.843965381502064,1380.856038512211,1380.856038512211,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,-8.3,3238.6211961385734,1200.074993380932,48.94947991831718,54.42944549967692,135.83128419214643,0.0,18.652036838261377,-4.52041793079861,14.727601985316628,2131.6059578398617,2131.6059578398617,0.0,0.0,0.0,0.0,0.0,0.0
