Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-0.6,18.704452185587257,-0.5695286658006057,19.44953265916938,7.073987923849738,88.71138815303311,88.71138815303311,0.0,0.0,0.0,0.0,203.96947859503032,70.20602200043075,0.0034077038679356333,193.28475010724713,0.0,0.0
 01/01  02:00:00,-1.1,18.513481215619898,-0.34409507404625994,19.123277884381828,29.322882287396247,671.7335930685222,671.7335930685222,0.0,0.0,0.0,0.0,847.2704244239018,285.1745694027676,0.014125519737414723,172.16413204378108,0.0,0.0
 01/01  03:00:00,-1.1,18.46875326714844,-0.08033340420298304,18.94988775951946,44.26422531140853,1020.8101520887221,1020.8101520887221,0.0,0.0,0.0,0.0,1290.5604874630228,428.7211635504975,0.021323114719315212,157.98049085797402,0.0,0.0
 01/01  04:00:00,-1.1,18.641902634328673,-0.5869928127541229,18.75143748236546,62.914849497408746,1464.039025436039,1464.039025436039,0.0,0.0,0.0,0.0,1853.3192077299352,608.6979339045374,0.03030755742103551,140.27567253239553,0.0,0.0
 01/01  05:00:00,-1.7,18.559606029653665,-1.0585691573462255,18.583334756957168,70.89575300998372,1594.8527164284005,1594.8527164284005,0.0,0.0,0.0,0.0,2061.3129622026336,684.6382669742071,0.03415217111867989,132.69944445585708,0.0,0.0
 01/01  06:00:00,-2.8,19.15522579804172,-0.41875118353288004,18.37081518521803,120.94895762297153,2745.0784169332655,2745.0784169332655,0.0,0.0,0.0,0.0,3507.43157854616,1154.8943209453093,0.05826407287121525,85.18432813917155,0.0,0.0
 01/01  07:00:00,-2.8,19.559730671457295,-0.8732890212360214,18.24269606929454,130.33439642455417,2880.4074867155086,2880.4074867155086,0.0,0.0,0.0,0.0,3776.4000418930186,1255.9670135049516,2.7837210738334055,76.21900182412764,0.0,0.0
 01/01  08:00:00,-1.1,19.747696602232345,-1.2240776610917976,18.13506161504486,112.89965785847299,2536.30354124352,2536.30354124352,0.0,0.0,0.0,0.0,3399.4732629348186,1115.5712528028198,0.05438641343616633,92.82567642367464,0.0,0.0
 01/01  09:00:00,-0.6,19.81886175924882,1.218593105816144,18.025504856533107,84.85317684275282,1851.8249655666314,1851.8249655666314,0.0,0.0,0.0,0.0,2548.168491529401,845.2437948758965,0.040875741399373756,119.44992033165617,0.0,0.0
 01/01  10:00:00,1.1,19.941226641381963,7.213817048838892,17.94114837342705,35.97810923559082,749.7842547925975,749.7842547925975,0.0,0.0,0.0,0.0,1101.603528302375,364.33160826986324,0.01733145541580665,165.84648824172857,0.0,0.0
