Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-0.6,802.9487742216497,267.4096625903406,0.013211252593426459,173.8679358109943,27.424990005609125,0.0,18.41711512311698,-0.4033368999338526,19.40438230994866,617.2088869732688,617.2088869732688,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,1355.677049414429,448.827368173002,0.02236134501879309,155.76890993104178,46.419466890611886,0.0,18.47896629115162,-0.14030552188201129,19.074847631742188,1045.7652983675425,1045.7652983675425,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.1,2013.5453229669004,659.5886068559352,0.03283235353773947,135.05709136533804,68.15602298729935,0.0,18.51421911240759,0.26289504137735004,18.895964902678113,1552.196335298635,1552.196335298635,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,2331.9371255773535,760.0986932865569,0.03781533433580919,125.20067743737087,78.50009261246102,0.0,18.66702700162908,-0.27116243783698374,18.710060758085277,1800.8341648303885,1800.8341648303885,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.7,2389.35322383394,789.2491169664536,0.03935332442471887,122.15850899488419,81.69271452803147,0.0,18.610873290989144,-0.7765798825364058,18.546850415501417,1811.099206361716,1811.099206361716,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.8,3864.7344503448226,1265.606404436573,0.0637877506957304,73.82683179621263,132.41542437866886,0.0,19.24487096105907,-0.17546480561380026,18.336813206144257,2930.57680969833,2930.57680969833,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-2.8,3932.6538209112796,1306.7465298060717,2.8912440026574098,70.95463897016583,135.36861304858013,0.0,19.612583710626495,-0.6936169204184356,18.220605852179297,2962.5705176496904,2962.5705176496904,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-1.1,3427.8889186286347,1125.5305696229557,0.05481556529108484,91.57395480758545,113.79052528071789,0.0,19.761537634238977,-1.11168537299342,18.11599920821972,2559.5139872497675,2559.5139872497675,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-0.6,3713.2283813382305,1207.1350716236072,0.05836991081071337,84.54340379722531,121.16899152454218,85.44000000000007,19.729590100790418,1.8833769673632734,17.988404033585223,1855.193111252449,1855.193111252449,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,1.1,2460.360119076319,793.2268436149551,0.03780850225688187,125.21419139630932,78.48610491240537,85.44000000000007,19.784741720801545,8.063268320387277,17.90832902688025,826.1292619968808,826.1292619968808,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,1.7,0.0,0.0,0.0,200.0,0.0,85.44000000000007,18.93987841140382,14.272050768220227,17.854286547090556,-61.22662375951586,-61.22662375951586,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,2.8,0.0,0.0,0.0,200.0,0.0,85.44000000000007,18.983684737528794,16.771512472812763,17.80241430011476,-286.6249475016157,-286.6249475016157,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,3.3,0.0,0.0,0.0,200.0,0.0,24.514690903278723,20.174857821390525,21.36740305309765,17.7868000956383,-706.9765408175808,-706.9765408175808,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,21.43833556594312,22.607726420202567,17.789818330836802,-1324.0385476836127,-1324.0385476836127,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,22.253678591956998,20.43873420067118,17.811379295566503,-1901.223288243049,-1901.223288243049,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,3.3,0.0,0.0,0.0,200.0,0.0,0.0,22.57855789020877,17.752387088020726,17.85175516698336,-2222.514006329131,-2222.514006329131,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,22.076219308142218,12.6034283824832,17.907793513859538,-1778.4750078336347,-1778.4750078336347,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,1.7,0.0,0.0,0.0,200.0,0.0,82.72775816194034,21.011142324087857,9.454315464512826,17.949256012504335,-1724.398911903685,-1724.398911903685,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,1.1,0.0,0.0,0.0,200.0,0.0,85.44000000000007,20.426207002120805,5.9794390424900055,17.96242953883814,-1641.159338175481,-1641.159338175481,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,1.1,0.0,0.0,0.0,200.0,0.0,85.44000000000007,19.973226103554435,3.956410657034715,17.949827480708368,-1252.7443369538432,-1252.7443369538432,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,1.1,0.0,0.0,0.0,200.0,0.0,85.44000000000007,19.396135776022035,2.5978701647578286,17.91331386352641,-523.1334460073922,-523.1334460073922,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,0.6,1134.8334464668114,374.40220066252743,0.018042331824427764,164.31198555768412,37.453786815811114,85.44000000000007,19.598958573807902,2.048001692776978,17.841428493191337,53.00046066279174,53.00046066279174,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,0.6,0.0,0.0,0.0,200.0,0.0,12.944552284971243,18.892127880190444,0.898216187042283,17.79947471728857,-241.10400251068495,-241.10400251068495,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,0.0,300.0629858256472,100.28373552297477,0.004907039400177513,190.2937993444147,10.186437534320802,0.0,18.62839961510972,-0.473797145866725,17.71427865726081,211.12173073562735,211.12173073562735,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  01:00:00,0.0,810.8288284861706,266.4271134067309,0.013119771954794215,174.0488859445175,27.235106151215177,0.0,18.530560719954753,-0.4123359851370797,16.087714620804334,617.657552110466,617.657552110466,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  02:00:00,0.0,1245.4623901217408,404.97325928720187,0.019988193660974752,160.46304042125678,41.49314333833516,0.0,18.632080892207178,-0.631033303262242,16.018851139768245,950.1376463562892,950.1376463562892,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  03:00:00,0.0,1845.578435494161,595.2678330671296,0.029325499463801884,141.99370355358815,60.87629374758781,0.0,18.52094697221323,0.15172538448177278,15.946026523911883,1382.3317645395546,1382.3317645395546,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  04:00:00,0.0,2345.976421920612,748.0214098906116,0.03693640709630794,126.93920925921648,76.67564469405357,0.0,18.502523971200322,0.9509299547280069,15.872432334747625,1794.5834283399272,1794.5834283399272,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  05:00:00,0.0,2633.437365415192,835.0902899087923,0.04125469622876049,118.39756583835839,85.63990602137196,0.0,18.584417245464834,1.4884701455041904,15.804654438362745,2014.7735972959617,2014.7735972959617,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  06:00:00,0.6,5025.777794843078,1519.1644846366391,0.07455393568690766,52.53114955332359,154.7653218884468,85.44000000000007,19.194765088038874,2.798881550092863,15.73368222225432,2957.1248023388653,2957.1248023388653,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  07:00:00,0.6,4986.576671716204,1530.648932896938,0.07422194604851548,53.18783024875331,154.07614705341823,85.44000000000007,19.49790325655175,3.007004607315706,15.69579692326086,2911.374939009216,2911.374939009216,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  08:00:00,0.6,4156.281804770773,1302.8536618864916,0.06279499113073019,75.79052573767457,130.35511343184086,40.824355756397935,19.652998817191133,3.117656949825999,15.638647191261159,2773.248224305931,2773.248224305931,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  09:00:00,1.7,2398.8993338954433,763.235044604892,0.03630788375301159,128.18243825927973,75.37104210655737,0.0,19.843734482282493,4.482629637510716,15.58223182401021,1856.2779989775281,1856.2779989775281,0.0,0.0,0.0,0.0,0.0,0.0
