Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,19.398351571152578,3.8366466160201376,19.022255557636008,37.125461977186475,1178.8300845975646,1178.8300845975646,0.0,0.0,0.0,0.0,1475.1666802793518,399.13479820136655,0.0,161.6978110498891,0.0,0.0
 01/01  02:00:00,5.6,18.62859298695116,4.575426717529234,18.704183727996064,28.401233525811275,873.5675236515763,873.5675236515763,0.0,0.0,0.0,0.0,1116.7663836468205,312.5339081530338,0.0,170.69856225384302,0.0,0.0
 01/01  03:00:00,5.6,18.13561736303909,5.906278167214207,18.52399843910149,35.69862262128554,1142.9963104336475,1142.9963104336475,0.0,0.0,0.0,0.0,1414.5744047160879,386.9909449490523,0.0,163.16987544183542,0.0,0.0
 01/01  04:00:00,5.0,17.094080845655203,6.496281488942471,18.300407941928658,76.69364433744096,2144.390444657878,2144.390444657878,0.0,0.0,0.0,0.0,2631.444630637968,764.4610624106755,11.381823813961441,120.82919447341726,0.0,0.0
 01/01  05:00:00,5.6,18.603772293043342,6.942746913991635,18.135760441346527,96.08169822055903,3286.998635563218,3286.998635563218,0.0,0.0,0.0,0.0,3972.1081096055937,1011.4769363876768,0.0,100.87290059440006,0.0,0.0
 01/01  06:00:00,5.6,19.551111809460576,7.510192765478319,18.02020258878407,121.0508038414851,4128.457566531899,4128.457566531899,0.0,0.0,0.0,0.0,5047.590218886987,1310.6291475950422,0.0,75.11237532482433,0.0,0.0
 01/01  07:00:00,3.9,19.531350531719895,6.245564086152351,17.890405930229853,149.66777619455218,3773.8046270221384,3773.8046270221384,0.0,0.0,0.0,0.0,4753.885503239541,1394.304066520383,108.03787123234865,44.84954271637105,0.0,0.0
 01/01  08:00:00,3.9,19.836156727588953,5.820639097383381,17.79216594372095,126.75878230374353,3095.3830624307975,3095.3830624307975,0.0,0.0,0.0,0.0,3969.3972598327155,1180.308733374397,91.60086895637419,68.59704363368893,0.0,0.0
 01/01  09:00:00,3.9,19.947505568572787,6.031723669748846,17.699727626067865,94.85263845809142,2222.5241397769914,2222.5241397769914,0.0,0.0,0.0,0.0,2908.9034606634023,888.4950442279244,68.56305594721755,101.67135203471372,0.0,0.0
 01/01  10:00:00,3.3,19.290834906892343,5.841582509261729,17.58661586248339,101.80741752073578,2374.238114824353,2374.238114824353,0.0,0.0,0.0,0.0,3065.6646354314876,945.2607692530861,77.78518723336305,94.32325583527903,0.0,0.0
