Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,5.6,1486.801574456913,403.0994124209431,0.0,161.21798742259065,37.42436698407673,0.0,19.402285385151497,4.0160836947706695,19.02209983142825,1157.070710669982,1157.070710669982,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,5.6,1025.1711109358946,287.29033612098414,0.0,172.94788627839094,26.105097810272152,0.0,18.613562966751438,4.617948788500093,18.70498591507881,814.5276549642549,814.5276549642549,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,5.6,1374.9470577240565,376.19945061652305,0.0,164.02772009491343,34.712994889957756,0.0,18.14447266318349,5.931143985162426,18.524509182341177,1090.193309219365,1090.193309219365,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,5.0,2644.7545987510775,768.1643901032701,11.435073262308865,120.10560574390996,77.05245103005285,0.0,17.135305900260402,6.508022162808203,18.300468102896374,2096.44609624823,2096.44609624823,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,5.6,3988.721369773391,1016.1699367455834,0.0,100.04682715323679,96.45410264291135,0.0,18.65986453739007,6.954964083875431,18.136737827471784,3252.1160534409155,3252.1160534409155,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,5.6,5058.820009665048,1314.6338502512347,0.0,74.30760171472623,121.29227257475786,0.0,19.603560771986192,7.524174452512959,18.02177628572035,4076.9751342368654,4076.9751342368654,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,3.9,4706.414852271685,1382.753037313056,107.03393894338281,45.60874351053228,148.27683053210504,0.0,19.55723767401759,6.248014022423993,17.89309516700071,3715.5184716287476,3715.5184716287476,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,3.9,3877.5281074020313,1155.2804799553799,89.61277757239579,70.87818168228593,124.00755704764592,0.0,19.829568553316214,5.808274917889145,17.794012832006935,3043.4333810595763,3043.4333810595763,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,3.9,4085.603827682793,1220.350607664081,94.19916482383793,64.30585610810114,130.3186124141732,85.44000000000004,19.863267012080897,6.360423615434016,17.695359807281495,2185.416270509495,2185.416270509495,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,3.3,4913.259186233843,1459.689342969101,120.34644890451018,35.77474122077919,157.51322126755173,85.44000000000004,19.524036212718272,6.200465220276108,17.576569152780035,2629.822747218881,2629.822747218881,0.0,0.0,0.0,0.0,0.0,0.0
