Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-0.6,2872.565997485452,905.2751381360063,33.706459346853826,66.0043454545313,97.03408451232085,0.0,18.744639327275365,0.7719226701245473,18.329653935076962,1955.0267368191762,1955.0267368191762,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-0.6,2999.392227266697,942.1514839328025,35.08029383229078,60.542844760586576,100.98907969302729,0.0,18.649141016277603,0.8946167036451433,17.914906262994727,2093.306311178727,2093.306311178727,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,0.0,3308.9580282468028,1017.8138584912307,34.51459316679913,50.43036340598077,108.41776273794048,0.0,18.58895661096045,1.3956398984290632,17.725530857642408,2335.1808585293074,2335.1808585293074,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,0.0,3613.906288265525,1101.381357948695,43.72395269563068,36.67463727800171,118.2943308259674,0.0,18.603209072106647,1.7612367699263278,17.512064573868326,2553.3447111499063,2553.3447111499063,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,0.0,3589.802470206017,1094.7945907750593,43.45912594322454,37.66386452596604,117.57783456374061,0.0,18.611420908971084,1.8166936169963972,17.340230639906856,2551.2575501583397,2551.2575501583397,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-0.6,4491.906508427778,1345.89455465457,50.41392342014098,0.0,145.6627886837107,0.0,19.356696303658158,1.5675894537198847,17.162321984560105,3501.9903339647863,3501.9903339647863,0.0,0.0,0.0,0.0,375.56187505558773,375.56187505558773
 01/01  07:00:00,-0.6,4508.139653493285,1375.493734154156,43.362894445353014,0.0,145.6627886837107,0.0,19.612678997841208,1.9973285419192823,17.054155901469038,3238.340435262344,3238.340435262344,0.0,0.0,0.0,0.0,123.78158451488525,123.78158451488525
 01/01  08:00:00,-0.6,4255.68028441759,1320.2929077945953,41.41706658657188,8.974621660615,138.44388682937685,0.0,19.697212073416285,1.8665405378406814,16.925330107626152,2956.6182715959585,2956.6182715959585,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-1.7,4329.277547195082,1359.7688619860176,51.56661850605795,0.0,145.6627886837107,85.44000000000007,19.69109272398223,1.68083744413265,16.798466527627088,2851.097322820575,2851.097322820575,0.0,0.0,0.0,0.0,1064.7512900103475,1064.7512900103475
 01/01  10:00:00,-1.7,4358.549625880702,1368.4976594411653,45.12318427914488,0.0,145.6627886837107,85.44000000000007,19.705589446635187,1.0694176884261837,16.67917190203458,3013.9371666367624,3013.9371666367624,0.0,0.0,0.0,0.0,1456.8244695207063,1456.8244695207063
