Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.7,1540.597528255435,516.5009182809816,0.02544634848184841,121.66181187921943,52.82352264854059,0.0,18.449105281733743,0.6460576377549265,20.12548841450491,1104.5785831401317,1104.5785831401317,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.7,2354.5169156960083,757.0016089241491,0.03788049017909446,83.38252272721662,78.63529044085938,0.0,18.548570367049667,0.2478555986630908,19.838075542930156,1653.2778984382749,1653.2778984382749,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.7,3115.228418564191,983.0969338662668,0.0491193829232697,48.782882834266395,101.9658645012363,0.0,18.491749006919118,0.207531518454652,19.688460647286306,2159.7963672615133,2159.7963672615133,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.7,3775.9502748093128,1168.9710878504186,0.058486599340870846,19.94531651650766,121.41106682373282,0.0,18.53457948373449,0.0005620323714314006,19.506541404007297,2609.8787557123014,2609.8787557123014,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.7,4009.0912017040573,1234.544677992881,0.06172922259192015,9.962696400041127,128.14235812721958,0.0,18.581252378348864,-0.002994720326742561,19.3631993194104,2752.2738276092878,2752.2738276092878,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.2,4185.995384449876,1294.6952122682371,0.0649653740845158,0.0,134.86142005128272,0.0,19.363581734789243,-0.13642076455585087,19.212108098243615,3770.8149783972403,3770.8149783972403,0.0,0.0,0.0,0.0,1094.9521764727842,1094.9521764727842
 01/01  07:00:00,-1.7,4227.539302086342,1320.3205490798666,0.0649653740845158,0.0,134.86142005128272,0.0,19.617561756733505,0.278518263620435,19.111274276093877,3384.552761187315,3384.552761187315,0.0,0.0,0.0,0.0,656.4055582831738,656.4055582831738
 01/01  08:00:00,-1.7,4222.059965403455,1326.8415150987532,0.0649653740845158,0.0,134.86142005128272,0.0,19.692555908350734,0.29275217150373967,18.980665081091438,3150.0551629208094,3150.0551629208094,0.0,0.0,0.0,0.0,382.37059398841075,382.37059398841075
 01/01  09:00:00,-0.6,4270.576291320871,1319.2849640470001,0.0638996766129837,3.2808168552857175,132.64812798181242,85.44000000000005,19.71289827870807,1.8535750435035552,18.871802109224163,1917.6769001725152,1917.6769001725152,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,0.6,3639.547375502885,1121.507172713912,0.05373121766443876,34.585058820602256,111.53977063038555,85.44000000000005,19.727767658345794,2.895068405968976,18.77838067594357,1388.045086841712,1388.045086841712,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,0.6,2890.9325833649336,908.1674885616679,0.043496401510474056,66.09358562643534,90.2934803303067,85.44000000000005,19.719942137914227,3.3572860056046148,18.707008011061923,947.2475263793785,947.2475263793785,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,2.2,3323.578060975459,1006.9605415856862,0.047551945829537375,53.608336749742016,98.71248865314358,85.44000000000005,19.440454298418228,4.785343627340628,18.64223619284773,1413.7145990175904,1413.7145990175904,0.0,0.0,0.0,0.0,0.0,0.0
