Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.0,18.738843736286864,1.6679078710365483,18.902285478323936,119.53942792646326,2412.1635747611817,2412.1635747611817,0.0,0.0,0.0,0.0,3844.405425740698,1131.85776489744,45.91970313655814,35.41700918856987,0.0,0.0
 01/01  02:00:00,1.7,18.645336534465255,2.3122244373351712,18.520433406242407,125.7528961428472,2893.5611066560487,2893.5611066560487,0.0,0.0,0.0,0.0,4106.657900514962,1209.6520036828535,32.75133306188586,27.060930426222995,0.0,0.0
 01/01  03:00:00,1.1,18.596800182750837,2.560140698495877,18.354926579692247,136.74348854839187,3225.026243446049,3225.026243446049,0.0,0.0,0.0,0.0,4445.306204615015,1307.7912206973415,34.103090407115886,11.905978043210164,0.0,0.0
 01/01  04:00:00,1.0,18.61993120354227,3.0514227335443063,18.17590607386006,136.41591812020764,3149.1186300207155,3149.1186300207155,0.0,0.0,0.0,0.0,4352.19488547973,1282.9527254599543,48.91536827966538,12.079643231054572,0.0,0.0
 01/01  05:00:00,1.0,18.67526483520058,2.6359873459538017,18.04114179456819,119.38582528913895,2747.0339407132014,2747.0339407132014,0.0,0.0,0.0,0.0,3816.203138307873,1140.2152988929925,29.621082884532225,35.7751931721648,0.0,0.0
 01/01  06:00:00,0.6,19.29892979634953,2.634725946333367,17.880245778451698,145.84138382646103,4001.028943372188,4001.028943372188,0.0,0.0,0.0,0.0,4693.663287941865,1379.063165564282,40.11592256255701,0.0,657.6863469442865,657.6863469442865
 01/01  07:00:00,0.0,19.59310774178491,2.437703017418233,17.78274660763151,145.84138382646103,3608.6653506258226,3608.6653506258226,0.0,0.0,0.0,0.0,4624.249275102201,1394.510779152749,35.86886788811106,0.0,365.08732758905717,365.08732758905717
 01/01  08:00:00,-1.1,19.683431345755857,1.7591517147041267,17.664513397166953,145.84138382646103,3360.687948706649,3360.687948706649,0.0,0.0,0.0,0.0,4438.10698293867,1375.9646601247484,45.16467973610753,0.0,297.6412778612266,297.6412778612266
 01/01  09:00:00,-2.0,19.73047034259461,2.0579160481479577,17.557640879792466,141.4230524774625,2852.503463104289,2852.503463104289,0.0,0.0,0.0,0.0,4172.942987331001,1331.7603356080624,46.458662156074205,4.768357263472178,0.0,0.0
 01/01  10:00:00,-2.0,19.700578214640768,1.1018493280976869,17.445436105822854,145.84138382646103,3340.8006874609255,3340.8006874609255,0.0,0.0,0.0,0.0,4315.0969420584715,1365.3550989843416,47.593373189787535,0.0,417.87280458302666,417.87280458302666
 01/01  11:00:00,-3.0,19.710189597937205,-0.09756607240971675,17.330427552484387,145.84138382646103,3222.5341553985418,3222.5341553985418,0.0,0.0,0.0,0.0,4267.719900847257,1375.8040442343688,31.157225010869528,0.0,383.129363615225,383.129363615225
 01/01  12:00:00,-2.0,19.714293517053836,0.9604102999903767,17.241197776920067,145.84138382646103,3070.5413068644757,3070.5413068644757,0.0,0.0,0.0,0.0,4469.4778646768955,1413.0659718259915,13.117951765521461,0.0,72.90637156681032,72.90637156681032
 01/01  13:00:00,-3.0,19.70578872664342,0.10241906647611142,17.128806052432385,145.84138382646103,3787.5797657063104,3787.5797657063104,0.0,0.0,0.0,0.0,4267.65821260141,1375.8770435692416,31.157225010869528,0.0,1065.1965077360537,1065.1965077360537
 01/01  14:00:00,-2.8,19.7259786502153,0.7512370556708752,17.042376880946712,145.84138382646103,2954.471654977244,2954.471654977244,0.0,0.0,0.0,0.0,4360.746813420731,1399.867754687426,15.409955147629464,0.0,60.356775389741415,60.356775389741415
 01/01  15:00:00,-3.0,19.75874032370404,1.162302387586336,16.951821083837313,137.83715586210204,2687.803037922491,2687.803037922491,0.0,0.0,0.0,0.0,4048.3466380036148,1317.9797967410334,20.072307759622763,10.355676325707908,0.0,0.0
 01/01  16:00:00,-3.0,19.742303660601824,1.356551084164415,16.868553685159487,137.80658385975215,2725.381170213228,2725.381170213228,0.0,0.0,0.0,0.0,4046.736174831462,1318.4149426314286,20.06786563848216,10.397645742950656,0.0,0.0
 01/01  17:00:00,-4.0,19.704245285357157,-0.4205605496112636,16.773810490252437,143.92393249918277,2864.7686946360936,2864.7686946360936,0.0,0.0,0.0,0.0,4215.720125669757,1389.1167007807212,0.06933179896816534,2.627122359902301,0.0,0.0
 01/01  18:00:00,-4.4,19.698313235472238,-1.4708851273980832,16.68959810563441,144.93669151054902,2780.3080855858025,2780.3080855858025,0.0,0.0,0.0,0.0,4201.595500230271,1392.9707564012172,0.06981971045519543,1.238142185408253,0.0,0.0
 01/01  19:00:00,-5.6,19.70592273521686,-2.4178004876939356,16.60035828032488,145.08832164389472,2575.6505790282627,2575.6505790282627,0.0,0.0,0.0,0.0,4032.2984835076995,1371.5516054505422,7.943771193965817,0.7044802157616159,0.0,0.0
 01/01  20:00:00,-6.1,19.70167613384848,-2.7878403058695556,16.511299857642417,145.84138382646103,2864.267862994644,2864.267862994644,0.0,0.0,0.0,0.0,3968.2374381626405,1361.0972871958702,14.97568512340595,0.0,462.13618184864663,462.13618184864663
 01/01  21:00:00,-7.0,19.699434442568656,-3.781282326521695,16.409101376434442,145.84138382646103,3237.2619261364,3237.2619261364,0.0,0.0,0.0,0.0,3821.0150162711875,1335.2540994509677,26.193773744817577,0.0,1074.4430417972872,1074.4430417972872
 01/01  22:00:00,-7.0,19.71078226436241,-3.212503015647321,16.31929013843657,145.84138382646103,2901.0310561296355,2901.0310561296355,0.0,0.0,0.0,0.0,3854.2857942867854,1346.6549503903439,17.614759362924726,0.0,712.3571612080104,712.3571612080104
 01/01  23:00:00,-7.0,18.969897492706085,-4.2866128974167435,16.210340586396125,145.84138382646103,2444.4097868189147,2444.4097868189147,0.0,0.0,0.0,0.0,3854.1664245413635,1346.7915528010747,17.614759362924726,0.0,164.1758743301143,164.1758743301143
 01/01  24:00:00,-8.0,18.68935133553804,-4.810745910118214,16.062568666927312,145.84138382646103,3920.0365434522573,3920.0365434522573,0.0,0.0,0.0,0.0,3736.0237960864624,1308.8029197536084,23.263335458890374,0.0,1975.8169643019176,1975.8169643019176
 01/15  01:00:00,-3.0,18.540244438096174,-3.0566036130757426,17.540010724079416,111.68769569782759,2066.5451756270813,2066.5451756270813,0.0,0.0,0.0,0.0,3198.0943364544673,1033.927977710434,23.976503011653037,46.093463052062056,0.0,0.0
 01/15  02:00:00,-4.0,18.560448154028307,-1.6429094094916301,17.039695988692884,130.38993165521936,2379.582936060584,2379.582936060584,0.0,0.0,0.0,0.0,3619.635811352609,1180.9587925988994,44.366360958845426,19.612926459937242,0.0,0.0
 01/15  03:00:00,-4.0,18.562107151673274,-1.0552094762433764,16.802343987079563,140.3392441149875,2610.8039184407116,2610.8039184407116,0.0,0.0,0.0,0.0,3929.0010932731952,1270.8890903602548,47.7516888293778,5.848683138168997,0.0,0.0
 01/15  04:00:00,-5.0,18.571787294031232,-1.5288861842976735,16.534453684807314,145.84138382646103,3078.0470204850444,3078.0470204850444,0.0,0.0,0.0,0.0,4063.9069516999475,1324.522091175356,29.402529321267387,0.0,443.3070039269933,443.3070039269933
 01/15  05:00:00,-6.0,18.582977142876317,-2.7544836298995468,16.309870496504637,145.84138382646103,3486.81356173277,3486.81356173277,0.0,0.0,0.0,0.0,4016.6226647591907,1336.2247500034762,12.219709940286853,0.0,1007.9275794404357,1007.9275794404357
 01/15  06:00:00,-7.2,19.334230699343237,-3.3445776347867877,16.10008757268297,145.84138382646103,4577.48349752063,4577.48349752063,0.0,0.0,0.0,0.0,3858.8569370717605,1316.4308682468436,17.012395339400936,0.0,2502.272533845434,2502.272533845434
 01/15  07:00:00,-8.0,19.586380723201533,-3.5710587570139696,15.935521458064175,145.84138382646103,4432.860164885398,4432.860164885398,0.0,0.0,0.0,0.0,3728.046905375922,1317.8371861963508,23.263335458890374,0.0,2588.604867359003,2588.604867359003
 01/15  08:00:00,-7.8,19.6666001962286,-3.6626536268233956,15.760225721444458,145.84138382646103,4309.151510297272,4309.151510297272,0.0,0.0,0.0,0.0,3738.806225508323,1324.039346392247,24.926758630536224,0.0,2481.00670621047,2481.00670621047
 01/15  09:00:00,-7.2,19.697553017899224,-3.3072276349507512,15.596236065076667,145.84138382646103,4011.5956477771633,4011.5956477771633,0.0,0.0,0.0,0.0,3797.9927826317376,1330.3370282586825,26.719853596648687,0.0,2096.514167558408,2096.514167558408
 01/15  10:00:00,-6.7,19.71280579207373,-2.0885052690794748,15.43712716508521,145.84138382646103,3685.8127147654086,3685.8127147654086,0.0,0.0,0.0,0.0,3848.1918141878555,1334.5304632103014,28.285073560047657,0.0,1653.903425353189,1653.903425353189
 01/15  11:00:00,-6.7,19.728775098961723,-0.12291715477024352,15.286942085774433,145.84138382646103,3188.693075912268,3188.693075912268,0.0,0.0,0.0,0.0,3848.0250628172275,1334.705903876907,28.287822635286478,0.0,1017.8237257625333,1017.8237257625333
 01/15  12:00:00,-5.0,19.79226394661062,3.414762869839469,15.162916681240276,138.96949557294644,2432.7015749976945,2432.7015749976945,0.0,0.0,0.0,0.0,3886.793603690543,1312.5604585248414,13.65988630125397,8.892466241230967,0.0,0.0
 01/15  13:00:00,-3.9,19.900436906868098,4.872470854870699,15.039236524623206,99.3492442536297,1748.6823887262271,1748.6823887262271,0.0,0.0,0.0,0.0,2752.194397845249,941.8175934844395,15.222853219091881,63.23126894437121,0.0,0.0
 01/15  14:00:00,-2.8,19.89995256379132,5.832174093929429,14.941407076263731,63.670138716588646,1139.7474174826293,1139.7474174826293,0.0,0.0,0.0,0.0,1771.8200427788815,611.6864907788058,8.541893238162782,112.4283775627591,0.0,0.0
 01/15  15:00:00,-1.7,20.13621968568996,8.301832917310602,14.85982820405904,18.260850904146753,257.7676528857064,257.7676528857064,0.0,0.0,0.0,0.0,509.8785622654978,178.286725960082,1.4307563962436973,174.92095633488407,0.0,0.0
 01/15  16:00:00,-1.7,20.15770727053537,7.470006961761115,14.818332621180152,0.0,-374.86194417640036,-374.86194417640036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  17:00:00,-2.8,20.41150806521738,6.293516511960353,14.810772314438722,0.0,-570.0806893173394,-570.0806893173394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  18:00:00,-3.9,19.942042727179963,4.3928041918053555,14.813964126775964,0.0,-178.05572807756835,-178.05572807756835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/15  19:00:00,-5.6,19.679042201892624,1.220643081703162,14.821589744065891,29.207749136000793,485.60407174279135,485.60407174279135,0.0,0.0,0.0,0.0,716.2928875162172,270.47634082279495,7.716132977263536,159.61897840899184,0.0,0.0
 01/15  20:00:00,-5.6,19.656720433663725,-1.4057095132370363,14.796513633533575,48.16976154353838,829.2505053194654,829.2505053194654,0.0,0.0,0.0,0.0,1193.3534763212533,441.578684560757,14.785995684358252,133.31370473999266,0.0,0.0
 01/15  21:00:00,-7.2,19.474292660663505,-3.026092596601839,14.751656374763709,71.28855709365291,1141.1201426607167,1141.1201426607167,0.0,0.0,0.0,0.0,1721.4238569361744,646.7195900333778,20.527390978468347,101.21343102637339,0.0,0.0
 01/15  22:00:00,-6.7,19.499247491853605,-3.8999178564793526,14.693132266401566,95.22525516561551,1529.2965218032168,1529.2965218032168,0.0,0.0,0.0,0.0,2373.7007560855523,861.5601498050609,29.78351471156313,67.99526078585842,0.0,0.0
 01/15  23:00:00,-7.2,18.838055452897553,-4.854122544568826,14.608617531731918,88.2999515604705,1278.4529577858193,1278.4529577858193,0.0,0.0,0.0,0.0,2163.999890387266,798.4758291330941,25.41569017103568,77.64201339915525,0.0,0.0
 01/15  24:00:00,-7.8,18.49757351409249,-5.023285679933244,14.50257796439981,121.95742834577497,1866.379220236755,1866.379220236755,0.0,0.0,0.0,0.0,3019.4720101115854,1080.5858422183885,38.38779819786835,30.72647284549874,0.0,0.0
 01/16  01:00:00,-8.9,18.45968001177473,-5.02012127451675,14.383870458458476,145.84138382646103,2748.903060243234,2748.903060243234,0.0,0.0,0.0,0.0,3588.8919372272594,1263.905429710892,39.41004241258044,0.0,736.9115278238228,736.9115278238228
 01/16  02:00:00,-8.9,18.538604658461377,-5.09725978074167,14.276513377029355,145.84138382646103,3230.691724328566,3230.691724328566,0.0,0.0,0.0,0.0,3589.838618604197,1262.8427657660914,39.41004241258044,0.0,1357.4571158194567,1357.4571158194567
 01/16  03:00:00,-8.9,18.570005227100893,-5.424689458024979,14.165474953254964,145.84138382646103,3542.334771231426,3542.334771231426,0.0,0.0,0.0,0.0,3605.4421542027094,1270.6487964233484,34.73789091391816,0.0,1734.4990241020098,1734.4990241020098
 01/16  04:00:00,-9.4,18.577318235835513,-5.476563156306684,14.046163963078595,145.84138382646103,3868.500777447767,3868.500777447767,0.0,0.0,0.0,0.0,3540.9682940268526,1262.3134749406522,37.38894889700491,0.0,2207.8559785458506,2207.8559785458506
 01/16  05:00:00,-8.9,18.58878842349711,-5.446707801316935,13.93525934544113,145.84138382646103,3784.480553229234,3784.480553229234,0.0,0.0,0.0,0.0,3587.740791314422,1265.238383173117,39.402488166663886,0.0,2081.223066601513,2081.223066601513
 01/16  06:00:00,-8.3,19.345212140442367,-5.412364334241921,13.824023691534506,145.84138382646103,4800.60375258316,4800.60375258316,0.0,0.0,0.0,0.0,3680.376504606347,1281.4241572708684,32.12048618546224,0.0,3162.977692378894,3162.977692378894
 01/16  07:00:00,-8.3,19.591788624742463,-5.099605985897461,13.745710023604582,145.84138382646103,4653.475343825559,4653.475343825559,0.0,0.0,0.0,0.0,3645.7385191955345,1293.3838203616456,37.033984200486984,0.0,3109.498936449923,3109.498936449923
 01/16  08:00:00,-7.8,19.674717793376324,-4.864431719449068,13.646853800778826,145.84138382646103,4260.675830762695,4260.675830762695,0.0,0.0,0.0,0.0,3664.4023557090536,1294.001975063658,45.30542306884545,0.0,2647.8461881206913,2647.8461881206913
 01/16  09:00:00,-6.1,19.705203401520478,-4.248560995783242,13.55942407401328,145.84138382646103,3830.8522680426704,3830.8522680426704,0.0,0.0,0.0,0.0,3825.046452010862,1305.7311600012922,52.147851689692665,0.0,1980.4174837784467,1980.4174837784467
 01/16  10:00:00,-3.3,19.73486684593621,-1.1136198126729064,13.483547038266375,145.84138382646103,2809.4576969415575,2809.4576969415575,0.0,0.0,0.0,0.0,4107.666361660258,1325.3475135389726,61.05634708749132,0.0,483.7169439369359,483.7169439369359
 01/16  11:00:00,-0.6,19.89046716667136,2.9778053291554487,13.376827289911219,110.35259524923177,1983.5230016527967,1983.5230016527967,0.0,0.0,0.0,0.0,3316.7247184196895,1051.8307167489152,32.38765547100496,47.9364716645517,0.0,0.0
 01/16  12:00:00,1.7,20.031408884414425,7.01963770089762,13.262352309602829,54.28214134804538,1016.9769455545356,1016.9769455545356,0.0,0.0,0.0,0.0,1720.412438047176,547.4406333946616,2.0975903663482316,125.52960393506298,0.0,0.0
 01/16  13:00:00,2.8,19.84130787609737,10.28818717344168,13.205366525349113,25.839514542981643,511.69585959366486,511.69585959366486,0.0,0.0,0.0,0.0,828.678375063575,265.3147694563802,0.012447446804103502,164.5647678040777,0.0,0.0
 01/16  14:00:00,2.8,19.74997892161427,11.293303031523527,13.178071482018279,7.55938464094509,135.43767766902783,135.43767766902783,0.0,0.0,0.0,0.0,239.28098769671172,77.33504152150451,0.0036415172469604976,189.63337532408963,0.0,0.0
 01/16  15:00:00,3.3,20.254422981268622,13.44484463290044,13.190477857235617,0.0,-106.09782228259792,-106.09782228259792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  16:00:00,2.8,20.353018003849318,11.877285986131316,13.224070846907377,0.0,-467.68229227285156,-467.68229227285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  17:00:00,1.7,20.35346280367219,11.098189882699275,13.264177380326144,0.0,-475.46385544476834,-475.46385544476834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  18:00:00,1.7,20.182527355014145,7.468260879665037,13.295819006004134,0.0,-338.30405498652,-338.30405498652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  19:00:00,1.7,20.04934110021534,5.503730032546607,13.32863048473827,0.0,-241.81816171408173,-241.81816171408173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  20:00:00,1.7,19.90567909906308,3.7757935801173694,13.342293992378348,0.0,-128.157843544941,-128.157843544941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/16  21:00:00,1.1,19.73834482433914,2.7363024636048894,13.346712825308481,4.07771245632492,70.43414638206741,70.43414638206741,0.0,0.0,0.0,0.0,121.67379573723218,40.72432120109369,0.30992748986311713,194.40292715301945,0.0,0.0
 01/16  22:00:00,1.1,19.599883439193924,2.4236733976900817,13.350222103378044,17.572873681877322,395.86823631648076,395.86823631648076,0.0,0.0,0.0,0.0,530.2054540176996,174.91648579580286,1.3357618565976306,175.87946920155727,0.0,0.0
