Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.9,18.783200032659828,1.9772703534953167,19.215641678580383,99.42900551334634,1881.7025686303678,1881.7025686303678,0.0,0.0,0.0,0.0,3132.925821663619,905.5421983944127,75.70280311576546,54.32696203750269,0.0,0.0
 01/01  02:00:00,3.0,18.379374231973596,3.4629892997333145,18.8145737040909,125.79629891645345,3014.0914667103916,3014.0914667103916,0.0,0.0,0.0,0.0,4232.988582384217,1213.0965025649996,41.74757534375045,16.13025347905863,0.0,0.0
 01/01  03:00:00,2.0,18.48412153866368,3.332813859722809,18.677383658175884,137.20017762184878,3378.241829625582,3378.241829625582,0.0,0.0,0.0,0.0,4512.127378388087,1285.391472761834,53.14564610461975,0.0,0.0,0.0
 01/01  04:00:00,0.6,18.556957326764973,2.5668695040820477,18.51007033670376,137.20017762184878,3930.5757475328737,3930.5757475328737,0.0,0.0,0.0,0.0,4379.589547125899,1281.7325852059862,45.926848584031724,0.0,895.7666534235714,895.7666534235714
 01/01  05:00:00,0.6,18.593846528951477,2.4237162170138817,18.381692370534616,137.20017762184878,3544.9834787823,3544.9834787823,0.0,0.0,0.0,0.0,4378.386895740468,1283.4698684231387,45.88322053436832,0.0,507.40362322225747,507.40362322225747
 01/01  06:00:00,0.0,19.36714955695582,2.0534649365284143,18.252141722610197,137.20017762184878,4604.392489451187,4604.392489451187,0.0,0.0,0.0,0.0,4283.653445505132,1270.4109208331117,50.898895175440025,0.0,1839.8205659640107,1839.8205659640107
 01/01  07:00:00,0.0,19.61128316895188,2.0425092587904157,18.167228255054432,137.20017762184878,4321.48944790695,4321.48944790695,0.0,0.0,0.0,0.0,4267.46185603603,1289.6901367634487,50.898895175440025,0.0,1628.4434267865809,1628.4434267865809
 01/01  08:00:00,-0.6,19.68922629213123,1.3687739896080195,18.05668784685026,137.20017762184878,3908.9519681681413,3908.9519681681413,0.0,0.0,0.0,0.0,4238.595874208576,1302.9796626605587,41.08986481635283,0.0,1203.3207570451682,1203.3207570451682
 01/01  09:00:00,-1.1,19.708084632695087,0.7962825796790807,17.954380409862853,137.20017762184878,3697.6735035740603,3697.6735035740603,0.0,0.0,0.0,0.0,4189.233371560829,1302.3137355370955,38.89667381765663,0.0,1031.9542728509605,1031.9542728509605
 01/01  10:00:00,-1.1,19.70413870802055,0.9128666510358843,17.854075872214818,137.20017762184878,3874.024849279607,3874.024849279607,0.0,0.0,0.0,0.0,4189.102017611471,1302.698646823319,38.86348958582216,0.0,1271.1321000071002,1271.1321000071002
 01/01  11:00:00,-1.7,19.717927335830545,0.7611734993807929,17.754207713614978,137.20017762184878,3517.437386638743,3517.437386638743,0.0,0.0,0.0,0.0,4159.4413364593365,1308.0965556073609,30.151565169888013,0.0,889.8017236451283,889.8017236451283
 01/01  12:00:00,-2.2,19.72364285953013,0.3106168788614231,17.65429333780695,137.20017762184878,3196.593094895612,3196.593094895612,0.0,0.0,0.0,0.0,4091.6424550439087,1299.5415454087124,32.42248012489223,0.0,582.7165719826071,582.7165719826071
 01/01  13:00:00,-2.2,19.724207451462366,0.4509457308827284,17.565423371166226,137.20017762184878,2937.0505171491677,2937.0505171491677,0.0,0.0,0.0,0.0,4091.638077169121,1299.5467483419284,32.42248012489223,0.0,296.47032524855604,296.47032524855604
 01/01  14:00:00,-2.8,19.727102894147265,0.782947256118721,17.4823866732248,137.20017762184878,2730.377952568884,2730.377952568884,0.0,0.0,0.0,0.0,4032.88155592372,1295.8880879129379,30.246855318449974,0.0,108.47046243118893,108.47046243118893
 01/01  15:00:00,-3.0,19.757902091383563,1.1187356601925726,17.414057670308885,130.2197396534953,2423.4244358068117,2423.4244358068117,0.0,0.0,0.0,0.0,3741.9929645834186,1222.1762910269053,39.05067971759556,8.866573482535633,0.0,0.0
 01/01  16:00:00,-4.0,19.695803749397594,-0.4665191860450326,17.334171986371,137.20017762184878,3032.0105650223413,3032.0105650223413,0.0,0.0,0.0,0.0,3869.9494468160397,1274.4144037163876,36.74150671034785,0.0,573.6800075689453,573.6800075689453
