Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,3.9,2887.483208528831,840.2706969616487,70.19518563205374,64.18081612739459,92.19515252930157,0.0,18.70736767677998,1.9055948480515974,19.22078033001511,1829.8167430208468,1829.8167430208468,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,3.0,4088.7447608042094,1173.1185627682632,40.42999696002923,20.952071038778275,121.82620519648228,0.0,18.301448047112935,3.439547963101098,18.814914021940773,2911.1774976072065,2911.1774976072065,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,2.0,4489.033892609445,1276.4167415879533,52.85439648186742,0.0,136.4482910064287,0.0,18.453956966331084,3.323202336315271,18.675852042505632,3372.545934107766,3372.545934107766,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,0.6,4356.226457896535,1273.9518934134687,45.675159531310996,0.0,136.4482910064287,0.0,18.562984272151073,2.5672237357055865,18.510295203064672,3930.874975292054,3930.874975292054,0.0,0.0,0.0,0.0,947.6949783047294,947.6949783047294
 01/01  05:00:00,0.6,4354.264463943793,1276.5879837475516,45.63177057278558,0.0,136.4482910064287,0.0,18.597901812087812,2.42327462793983,18.382452252392735,3534.1739410643695,3534.1739410643695,0.0,0.0,0.0,0.0,525.3204407776607,525.3204407776607
 01/01  06:00:00,0.0,4260.093306777782,1263.5494463743007,50.61995823318938,0.0,136.4482910064287,0.0,19.394805818139915,2.057954312636095,18.252699512092377,4586.875352250105,4586.875352250105,0.0,0.0,0.0,0.0,1891.8011604358098,1891.8011604358098
 01/01  07:00:00,0.0,4243.496708306269,1283.3133273068934,50.61995823318938,0.0,136.4482910064287,0.0,19.63125924360171,2.044271599542659,18.168807798802657,4292.947168122935,4292.947168122935,0.0,0.0,0.0,0.0,1647.9440388792227,1647.9440388792227
 01/01  08:00:00,-0.6,4214.946857906153,1296.341614764052,40.8646834797077,0.0,136.4482910064287,0.0,19.694578970939872,1.366530423378902,18.05791366803064,3874.8242645830687,3874.8242645830687,0.0,0.0,0.0,0.0,1188.3801755147788,1188.3801755147788
 01/01  09:00:00,-1.1,4166.1673697068545,1295.3058035231263,38.683511641522536,0.0,136.4482910064287,85.44000000000004,19.69351491568678,0.9066697360600237,17.955228350946314,3666.189886933098,3666.189886933098,0.0,0.0,0.0,0.0,2235.53088558141,2235.53088558141
 01/01  10:00:00,-1.1,4166.461871135328,1295.1811450072655,38.65050926644796,0.0,136.4482910064287,85.44000000000004,19.703650126088178,1.0436141708757183,17.854219023184218,3864.839142618339,3864.839142618339,0.0,0.0,0.0,0.0,2713.123556477845,2713.123556477845
 01/01  11:00:00,-1.7,4136.665388148078,1300.905645017312,29.98632807852148,0.0,136.4482910064287,85.44000000000004,19.69934593088534,0.9124787156051264,17.755092575905824,3525.523904351883,3525.523904351883,0.0,0.0,0.0,0.0,2301.23336940826,2301.23336940826
 01/01  12:00:00,-2.2,4069.623186897512,1291.9398766362726,32.244797928941864,0.0,136.4482910064287,85.44000000000004,19.70877855046002,0.45272525992710955,17.65422396959128,3207.284876528811,3207.284876528811,0.0,0.0,0.0,0.0,1809.6790195534904,1809.6790195534904
 01/01  13:00:00,-2.2,4069.5412400379523,1292.0372600850774,32.244797928941864,0.0,136.4482910064287,59.8612722413017,19.70971137170282,0.527303315025709,17.56563793331095,2938.384994425276,2938.384994425276,0.0,0.0,0.0,0.0,1038.8267031921032,1038.8267031921032
 01/01  14:00:00,-2.8,4011.098593079823,1288.4094667815905,30.081096016481922,0.0,136.4482910064287,0.0,19.719662061235983,0.7882532588098332,17.482505006858364,2719.8170896123775,2719.8170896123775,0.0,0.0,0.0,0.0,106.94346542038329,106.94346542038329
 01/01  15:00:00,-3.0,3673.1026773406566,1201.0992573049587,38.38283650238434,11.100117789208452,127.99276159114721,0.0,19.733419177628324,1.106058928721531,17.41487158985101,2404.9285903185973,2404.9285903185973,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-4.0,3849.264986032428,1266.8145169565723,36.54015531558494,0.0,136.4482910064287,0.0,19.693036281892642,-0.4648550645824139,17.33367492035332,3007.538394800573,3007.538394800573,0.0,0.0,0.0,0.0,588.8154546958081,588.8154546958081
 01/01  17:00:00,-4.0,3850.21057918484,1265.7026699812518,36.54015531558494,0.0,136.4482910064287,0.0,19.712022766580407,-1.1261658299767556,17.268697980907405,2854.1632030117307,2854.1632030117307,0.0,0.0,0.0,0.0,482.94668117557194,482.94668117557194
 01/01  18:00:00,-5.6,3653.269421151094,1241.3272939389014,42.184465770897354,0.0,136.4482910064287,85.44000000000004,19.699629815275497,-2.1390073255821633,17.192313308389274,2668.2066821735643,2668.2066821735643,0.0,0.0,0.0,0.0,1678.3396304208052,1678.3396304208052
