Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-4.0,18.30857627277296,0.11017391788568252,18.97402246210113,78.64070071835972,1644.899806210431,1644.899806210431,0.0,0.0,0.0,0.0,2181.167516752672,743.2818059079409,0.03788321218399783,103.46608965633823,0.0,0.0
 01/01  02:00:00,-4.0,18.371638816678793,-0.045631956140101584,18.59604940228943,108.1896074490105,2276.4181493602355,2276.4181493602355,0.0,0.0,0.0,0.0,3047.5537023431493,1011.5680342588757,5.486799623739554,67.02707483184798,0.0,0.0
 01/01  03:00:00,-4.0,18.478898649736525,-0.14102247954210154,18.424818763899943,125.58592586654645,2623.93250752984,2623.93250752984,0.0,0.0,0.0,0.0,3582.2189710381053,1175.219271280856,6.369049932035487,45.64568453703393,0.0,0.0
 01/01  04:00:00,-4.0,18.558901582670334,-0.16976335823396344,18.23509482773382,131.47637560188156,2711.9927762336265,2711.9927762336265,0.0,0.0,0.0,0.0,3764.5900832730235,1232.7907530330708,6.667786773411296,38.405778876662545,0.0,0.0
 01/01  05:00:00,-4.0,18.56510517513297,-0.18064220235090478,18.064868497749895,138.46701792380625,2740.7288271229136,2740.7288271229136,0.0,0.0,0.0,0.0,3858.419388323093,1265.7328899358567,37.99337567179169,28.830246443338602,0.0,0.0
 01/01  06:00:00,-4.0,19.280627196640523,0.5174692138780549,17.889818639121785,162.93060803330613,3653.90047951449,3653.90047951449,0.0,0.0,0.0,0.0,4569.376471949903,1462.1567121651465,56.613285402244415,0.0,469.4066363773909,469.4066363773909
 01/01  07:00:00,-4.0,19.57649012661624,0.6382519020122156,17.777664613439896,162.93060803330613,3525.6792595931474,3525.6792595931474,0.0,0.0,0.0,0.0,4493.101339818296,1463.5529861748528,70.53717582058486,0.0,462.54625515564476,462.54625515564476
 01/01  08:00:00,-4.0,19.675506814419233,0.8003923731662382,17.647677811184323,162.93060803330613,3349.025864635376,3349.025864635376,0.0,0.0,0.0,0.0,4485.967203515849,1471.9367932093028,70.53717582058486,0.0,289.5666165298312,289.5666165298312
 01/01  09:00:00,-2.2,19.7214362255025,1.1231198844546884,17.54050998339304,158.13630295948792,3173.8919228090235,3173.8919228090235,0.0,0.0,0.0,0.0,4564.308190428541,1465.7834578151183,69.81380621055298,4.075735794443491,0.0,0.0
 01/01  10:00:00,-1.7,19.743903854354308,2.1492209562789197,17.424632202203632,151.35262338354045,3085.8952191042918,3085.8952191042918,0.0,0.0,0.0,0.0,4420.318112107238,1413.3188454233618,63.387175393348606,12.681255798109614,0.0,0.0
