Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,18.14162384656912,-0.2088324808965779,19.08308898650767,87.32495198167179,2061.332328880995,2061.332328880995,0.0,0.0,0.0,0.0,2770.266753608526,888.4132243297248,0.417081091181996,90.04146072421142,0.0,0.0
 01/01  02:00:00,-1.1,18.258326800789085,0.08811641907952586,18.699293034131586,123.39664957509208,3040.8165142119487,3040.8165142119487,0.0,0.0,0.0,0.0,4033.022781508824,1241.3975189585435,0.5894247780647996,44.62044203539488,0.0,0.0
 01/01  03:00:00,-1.1,18.500272090429174,0.3527070153206058,18.53679745683711,135.77350032419628,3314.663187154094,3314.663187154094,0.0,0.0,0.0,0.0,4477.35908157442,1368.5179160474731,0.6486732764026876,29.035653315017296,0.0,0.0
 01/01  04:00:00,-1.1,18.559725944111,0.4432253614285795,18.34879299973317,140.30338337847755,3396.762205990073,3396.762205990073,0.0,0.0,0.0,0.0,4637.327623549818,1420.7705568256706,0.6700501096994756,23.331668670563065,0.0,0.0
 01/01  05:00:00,-1.1,18.59627972887661,0.46244487080182345,18.181677040673105,139.435799089915,3350.6375476332523,3350.6375476332523,0.0,0.0,0.0,0.0,4604.3470011495565,1413.4767988311926,0.6659067812773779,24.424116694801356,0.0,0.0
 01/01  06:00:00,-0.6,19.39302643497549,1.1445450562945603,18.023923280686446,148.673590102275,3680.87414571103,3680.87414571103,0.0,0.0,0.0,0.0,5014.728515390988,1515.2690662238688,0.07504676464539578,12.805102901920762,0.0,0.0
 01/01  07:00:00,-0.6,19.60157369188142,1.3158110569880237,17.903159803198527,151.19142263631915,3694.0537141338955,3694.0537141338955,0.0,0.0,0.0,0.0,5089.35162976175,1565.1489132507188,0.07631770676999539,9.634894547753792,0.0,0.0
 01/01  08:00:00,-0.6,19.73211984082249,1.2432818816163211,17.77802092231198,133.09533043405793,3143.4766634206426,3143.4766634206426,0.0,0.0,0.0,0.0,4413.7231027471635,1383.4668176219166,0.06718324561597194,32.41968112520854,0.0,0.0
 01/01  09:00:00,0.0,19.84768472752765,2.1868139981239656,17.673098167922486,103.52815427540713,2385.4275027344265,2385.4275027344265,0.0,0.0,0.0,0.0,3410.6644605329716,1084.591591337188,0.05225842675182492,69.64780074745637,0.0,0.0
 01/01  10:00:00,0.6,19.857308352527763,3.0615049005265793,17.565125743507682,93.37928822383724,2222.598820537467,2222.598820537467,0.0,0.0,0.0,0.0,3101.5281335801274,985.6419299180371,0.04713550076400917,82.42630769124746,0.0,0.0
