Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.1,2758.785610483775,886.5684659736086,0.41551811471154165,89.9889172669363,86.96501510757464,0.0,18.22174286991534,-0.14755238583705213,19.084084683199332,1990.6229544444614,1990.6229544444614,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,4065.466283036658,1252.500599056925,0.5937586013247916,42.81415889249591,124.25722628313592,0.0,18.355071452688478,0.1260289673660086,18.70049729210912,2967.493367114499,2967.493367114499,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-1.1,4435.793078123139,1359.670638534562,0.6432429622425907,29.747850336458214,134.5862863693487,0.0,18.56558716900287,0.3675356058049965,18.541749644047194,3228.0223558014004,3228.0223558014004,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-1.1,4550.971366018301,1398.5478388512724,0.6586984005104283,25.588125504072057,137.87458998267198,0.0,18.595390162201003,0.4410069893395399,18.353197200693103,3305.6165409233326,3305.6165409233326,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-1.1,4509.709350193211,1387.8519743438778,0.6533631419389306,27.000809135388426,136.75784611319168,0.0,18.611853897041826,0.45286146466522514,18.18624567243204,3269.199378331099,3269.199378331099,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-0.6,4968.660967693754,1502.7002651314342,0.07440084157959927,13.629188507638679,147.3385791561922,0.0,19.419660531696334,1.1405834832924011,18.02697506776919,3619.035129156149,3619.035129156149,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,-0.6,5030.495247884773,1549.2533971160406,0.07550258845548977,10.86936140139274,149.52040230307003,0.0,19.617607206736885,1.3083366951997628,17.906965190765966,3633.3123812523154,3633.3123812523154,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,-0.6,4299.057972684759,1350.7916254352097,0.06557495518246617,35.737642861790974,129.86036380537593,0.0,19.713328345679297,1.2197380965087816,17.781616328157693,3093.4739365049445,3093.4739365049445,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,0.0,4588.767800557869,1422.4721300150245,0.06857459185177583,28.223685917589215,135.80074332021604,85.44000000000004,19.73989230355129,2.599532902226221,17.663174847166772,2352.489171185238,2352.489171185238,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,0.6,4588.250588478357,1409.669999934334,0.06757088526376981,30.737926446801247,133.8131577054048,85.44000000000004,19.739926222517244,3.6610629769041294,17.554867787528593,2243.175392898109,2243.175392898109,0.0,0.0,0.0,0.0,0.0,0.0
