Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-13.3,3772.720789875766,1481.285740763626,22.409627034122035,0.0,172.77538977742657,0.0,18.50613213823657,-4.230048590037098,17.351360550289243,3061.8605842685083,3061.8605842685083,0.0,0.0,0.0,0.0,790.0226229285063,790.0226229285063
 01/01  02:00:00,-15.0,3589.6006251444383,1454.476250278483,18.1189585939534,0.0,172.77538977742657,0.0,18.5687327961765,-6.1269179434055765,16.823142904576365,3921.128080963612,3921.128080963612,0.0,0.0,0.0,0.0,2037.8005016668772,2037.8005016668772
 01/01  03:00:00,-14.4,3643.619265651102,1457.8204736018847,23.377737907223725,0.0,172.77538977742657,0.0,18.592624007831713,-7.225085525819044,16.58469454667194,4134.644582837396,4134.644582837396,0.0,0.0,0.0,0.0,2366.98159063734,2366.98159063734
 01/01  04:00:00,-16.7,3392.43300694144,1430.5193375357187,17.620609031770496,0.0,172.77538977742657,0.0,18.596961696435553,-8.24692730792944,16.27960642459148,4667.138189573132,4667.138189573132,0.0,0.0,0.0,0.0,3310.2842890027564,3310.2842890027564
 01/01  05:00:00,-16.1,3467.181991581227,1441.817085093567,15.71556902948409,0.0,172.77538977742657,0.0,18.603255774804822,-8.984951134031267,16.041999698918687,4651.1835906079305,4651.1835906079305,0.0,0.0,0.0,0.0,3293.2502873751973,3293.2502873751973
 01/01  06:00:00,-16.7,3401.745205143044,1433.8873986465144,14.505125760139144,0.0,172.77538977742657,0.0,19.358168899316983,-9.294324489462305,15.79730922300723,5876.667773912257,5876.667773912257,0.0,0.0,0.0,0.0,4848.863887119548,4848.863887119548
 01/01  07:00:00,-16.7,3382.9682062944685,1452.1068712235026,14.499481638323234,0.0,172.77538977742657,0.0,19.607751063265923,-9.59196410274735,15.605878050802552,5741.2045978329425,5741.2045978329425,0.0,0.0,0.0,0.0,4811.287542681648,4811.287542681648
 01/01  08:00:00,-16.7,3368.0041130135196,1454.172704245986,17.615479390002008,0.0,172.77538977742657,0.0,19.67954740125453,-9.805136720722581,15.397265665153462,5505.991313913479,5505.991313913479,0.0,0.0,0.0,0.0,4571.69173534929,4571.69173534929
 01/01  09:00:00,-12.2,3891.6112857231064,1520.969258425286,20.958698709713726,0.0,172.77538977742657,85.44000000000004,19.69456702413719,-7.623046429314445,15.237302549088149,4120.200426968184,4120.200426968184,0.0,0.0,0.0,0.0,3521.034467274272,3521.034467274272
 01/01  10:00:00,-8.9,4286.082799429832,1558.6258994467523,28.240111824468496,0.0,172.77538977742657,85.44000000000004,19.709352968095317,-3.536379865654836,15.077032389919802,2924.1566269283685,2924.1566269283685,0.0,0.0,0.0,0.0,1784.8925395049819,1784.8925395049819
 01/01  11:00:00,-7.2,4535.230191009132,1590.6774193345907,21.956274563154278,0.0,172.77538977742657,85.44000000000004,19.656000409837294,2.2609355727147147,14.941498818598467,1933.0585243242294,1933.0585243242294,0.0,0.0,0.0,0.0,118.49271654975473,118.49271654975473
 01/01  12:00:00,-5.6,3394.9147047832644,1190.4112483285492,7.573854450998478,53.66075424815027,126.19085913572832,85.44000000000004,19.76232439872069,6.263338837771801,14.827413372819912,1440.1748837082087,1440.1748837082087,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-4.4,2445.410766789713,860.0239785373547,6.839771719900696,95.32918409230481,90.24176889932258,85.44000000000004,19.756988904296946,7.1592371542260045,14.746909628836129,1019.0483347936151,1019.0483347936151,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,-3.9,927.0873813514633,334.89457708024884,2.907501687352721,159.37401123604718,35.02322466780683,26.52475687417875,19.884749386851468,7.171270749784953,14.674529110972584,473.6835958602751,473.6835958602751,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,-4.4,0.0,0.0,0.0,200.0,0.0,0.0,19.716951165865577,6.079133361952713,14.629976197694663,3.0449013601191837,3.0449013601191837,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,-5.6,268.5261869313762,102.21001802706944,1.8629233997167363,187.25114890697867,10.956564737244767,0.0,19.715059019162137,3.0176870971080154,14.615566793639273,181.34764136149897,181.34764136149897,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,-7.8,1886.151150472302,721.5125376739409,20.4640127228322,107.07870106077526,79.48516649366938,0.0,19.63462082607994,0.4651344676674039,14.620282378148152,1331.2750268234195,1331.2750268234195,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,-8.3,3753.893190320829,1377.4716282445195,43.07816555571816,20.860889155425212,153.01294038400454,85.44000000000004,19.544021252299206,-1.7866137200848038,14.60486383164406,1637.6921999910192,1637.6921999910192,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,-8.3,4272.470750318652,1526.7033885129697,54.38833401293973,0.0,172.77538977742657,85.44000000000004,19.412323513601837,-3.081017902131751,14.555064698453979,1880.459725554294,1880.459725554294,0.0,0.0,0.0,0.0,276.93902797809915,276.93902797809915
 01/01  20:00:00,-8.3,4272.337822248971,1521.556248970835,55.34777161839018,0.0,172.77538977742657,85.44000000000004,19.557617617116875,-3.050276635566634,14.478187116022033,2053.0565672428856,2053.0565672428856,0.0,0.0,0.0,0.0,561.0129770287426,561.0129770287426
 01/01  21:00:00,-8.3,4295.481816290162,1535.2273704334032,48.144334153521065,0.0,172.77538977742657,85.44000000000004,19.617982204092137,-2.2829294371688116,14.402975676119196,2141.6630440863955,2141.6630440863955,0.0,0.0,0.0,0.0,529.9041210055902,529.9041210055902
 01/01  22:00:00,-7.8,4374.36236977757,1549.0081022296674,44.107888705829026,0.0,172.77538977742657,85.44000000000004,19.67275765366625,-1.8899118787413898,14.315717766912629,2286.7244974419627,2286.7244974419627,0.0,0.0,0.0,0.0,437.5934692878909,437.5934692878909
