Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,18.624070265454236,-0.8657996810756051,19.09031788451296,115.6070916610054,2038.5987045580368,2038.5987045580368,0.0,0.0,0.0,0.0,3215.77813805133,1041.1904307651353,52.659500271176995,18.988304827017053,0.0,0.0
 01/01  02:00:00,-3.3,18.569361514236434,-0.7175480817623867,18.73432614322686,129.14252815017045,2381.8937858109057,2381.8937858109057,0.0,0.0,0.0,0.0,3599.939058710034,1139.2280160869589,66.2118438476496,0.0,47.473944692649184,47.473944692649184
 01/01  03:00:00,-3.3,18.591908963013804,-0.04186058535029151,18.58362051989793,129.14252815017045,2528.6439623346323,2528.6439623346323,0.0,0.0,0.0,0.0,3599.699573620992,1137.0909626857301,66.58680648425309,0.0,245.70970940794814,245.70970940794814
 01/01  04:00:00,-3.9,18.59149264082083,-0.5846979478973713,18.390009423420818,129.14252815017045,3056.815448286681,3056.815448286681,0.0,0.0,0.0,0.0,3560.785902855834,1138.789248532991,61.396422185783734,0.0,881.6809359444733,881.6809359444733
 01/01  05:00:00,-3.9,18.60434325994513,-0.23140049040723695,18.23610878214727,129.14252815017045,2751.720906157012,2751.720906157012,0.0,0.0,0.0,0.0,3562.1939643074174,1138.9831359025893,61.105387965604784,0.0,563.5008572250736,563.5008572250736
 01/01  06:00:00,-3.9,19.380575400834015,-0.2113166015293666,18.08270711740728,129.14252815017045,3817.3601851628846,3817.3601851628846,0.0,0.0,0.0,0.0,3581.378958729314,1145.265796163406,56.565948963394995,0.0,1769.7401578216804,1769.7401578216804
 01/01  07:00:00,-3.9,19.621160310845905,0.01962907551777331,17.972478755215075,129.14252815017045,3494.976182367871,3494.976182367871,0.0,0.0,0.0,0.0,3566.6325032440645,1162.5868527438752,56.565948963394995,0.0,1489.301821782668,1489.301821782668
 01/01  08:00:00,-3.9,19.691391737650086,-0.3957823315851947,17.84193395762498,129.14252815017045,3258.226953522988,3258.226953522988,0.0,0.0,0.0,0.0,3590.5670070824626,1177.2279932121116,49.83222140785635,0.0,1200.8681838263374,1200.8681838263374
 01/01  09:00:00,-3.3,19.710542706293126,0.5376223022618966,17.725202674930742,129.14252815017045,3046.0184209951512,3046.0184209951512,0.0,0.0,0.0,0.0,3667.02121963686,1189.819247446126,46.13737410382233,0.0,896.1890165862565,896.1890165862565
 01/01  10:00:00,-3.9,19.71784462919743,0.6899598863337467,17.600479323308974,129.14252815017045,3031.824298842206,3031.824298842206,0.0,0.0,0.0,0.0,3560.6611253322203,1169.6109319164125,56.565948963394995,0.0,944.2645679096509,944.2645679096509
 01/01  11:00:00,-3.9,19.71907133912337,1.0136024605955314,17.486766329583592,129.14252815017045,2934.8362481981912,2934.8362481981912,0.0,0.0,0.0,0.0,3560.663443639982,1169.608203929506,56.565948963394995,0.0,820.3327051125848,820.3327051125848
 01/01  12:00:00,-3.3,19.71814416883178,1.0500660772092032,17.37948120274204,129.14252815017045,2948.539959867603,2948.539959867603,0.0,0.0,0.0,0.0,3637.1469954037357,1180.3121481919152,53.06175596303985,0.0,744.0532146919336,744.0532146919336
 01/01  13:00:00,-3.3,19.727896961295496,1.2781251667810076,17.27542029335522,129.14252815017045,2578.4248114481707,2578.4248114481707,0.0,0.0,0.0,0.0,3839.631020055024,1245.7774718822677,5.9703110797800605,0.0,112.68718231113053,112.68718231113053
 01/01  14:00:00,-3.9,19.783493101535882,0.642422193350591,17.184940367735404,113.92639614890749,2052.780611161732,2052.780611161732,0.0,0.0,0.0,0.0,3266.066129499088,1090.2834676235225,9.273070977824686,23.20612841260763,0.0,0.0
 01/01  15:00:00,-3.9,19.913216321296872,2.1891204196098952,17.122389474350783,88.96655610963438,1491.2893426035225,1491.2893426035225,0.0,0.0,0.0,0.0,2476.153861142439,848.1648634704617,10.942356423943627,61.79401992531357,0.0,0.0
 01/01  16:00:00,-4.0,19.82673230228169,1.8387621493237523,17.0669592576288,74.75913453212635,1242.7659016232847,1242.7659016232847,0.0,0.0,0.0,0.0,2022.9697950953896,707.13141239679,15.182923962538538,83.61861646092986,0.0,0.0
