Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-3.3,3142.654658543345,1022.004093000399,51.5752566118016,21.604465307909138,113.22604239648825,0.0,18.678255055700976,-0.7488192293328374,19.094679694769397,1959.3556844725372,1959.3556844725372,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-3.3,3576.4939467699805,1133.3462426623207,65.79956191565556,0.0,128.33839511423116,0.0,18.60645323913497,-0.6672628011659352,18.735946807639547,2295.8759927429055,2295.8759927429055,0.0,0.0,0.0,0.0,5.305844674257969,5.305844674257969
 01/01  03:00:00,-3.3,3576.5804759682037,1130.8401546617963,66.17218976876322,0.0,128.33839511423116,0.0,18.60881871574347,-0.012475119710322394,18.585734447626745,2454.0678548003543,2454.0678548003543,0.0,0.0,0.0,0.0,192.1965210695853,192.1965210695853
 01/01  04:00:00,-3.9,3538.2879023669657,1132.0808458372228,61.01412448668144,0.0,128.33839511423116,0.0,18.607058402483574,-0.5739714888440214,18.39172432149914,2992.5792049893334,2992.5792049893334,0.0,0.0,0.0,0.0,847.1929870514955,847.1929870514955
 01/01  05:00:00,-3.9,3539.716976659327,1132.238574386089,60.72490245211157,0.0,128.33839511423116,0.0,18.61074251878149,-0.22811712100970555,18.238153401210784,2696.5193046847508,2696.5193046847508,0.0,0.0,0.0,0.0,525.2145129046894,525.2145129046894
 01/01  06:00:00,-3.9,3558.956433579055,1138.2780651978521,56.213729218882726,0.0,128.33839511423116,0.0,19.40824766202149,-0.20373257498413994,18.08438811002873,3767.4387928761353,3767.4387928761353,0.0,0.0,0.0,0.0,1778.615185346633,1778.615185346633
 01/01  07:00:00,-3.9,3543.8982089192473,1155.9661727273947,56.213729218882726,0.0,128.33839511423116,0.0,19.63874618513469,0.0213979027873866,17.975033008058542,3447.299856088239,3447.299856088239,0.0,0.0,0.0,0.0,1477.8452700864198,1477.8452700864198
 01/01  08:00:00,-3.9,3567.874219104461,1170.2923110550182,49.52193063019943,0.0,128.33839511423116,0.0,19.697301373650145,-0.40006397242980746,17.8438968662978,3211.960368294567,3211.960368294567,0.0,0.0,0.0,0.0,1172.2146920750192,1172.2146920750192
 01/01  09:00:00,-3.3,3644.079147137849,1182.5388759004597,45.850090067805695,0.0,128.33839511423116,85.44000000000004,19.691282626149654,0.7809148582918672,17.726783283319147,3005.3634213647474,3005.3634213647474,0.0,0.0,0.0,0.0,2095.8522488140416,2095.8522488140416
 01/01  10:00:00,-3.9,3538.867505998919,1161.8838052847027,56.213729218882726,0.0,128.33839511423116,85.44000000000004,19.70300765033792,0.9819301951099886,17.60103654672948,3022.3910359216807,3022.3910359216807,0.0,0.0,0.0,0.0,2373.6494021642593,2373.6494021642593
 01/01  11:00:00,-3.9,3538.7865827284327,1161.9790251640018,56.213729218882726,0.0,128.33839511423116,85.44000000000004,19.6958848683949,1.3297031593247137,17.48756215805018,2951.1782518988457,2951.1782518988457,0.0,0.0,0.0,0.0,2267.956622153524,2267.956622153524
 01/01  12:00:00,-3.3,3614.9576274918713,1172.4215439221466,52.73135581116105,0.0,128.33839511423116,85.44000000000004,19.7062673839234,1.3172128596051274,17.379651706801894,2967.9697317391947,2967.9697317391947,0.0,0.0,0.0,0.0,2032.4322971146612,2032.4322971146612
