Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,19.323453609879472,3.0530611903458014,19.875625940635132,72.08110078497711,1467.2869105175969,1467.2869105175969,0.0,0.0,0.0,0.0,2046.6081150767657,635.636457441315,56.91757794209066,97.70809420607576,0.0,0.0
 01/01  02:00:00,0.6,18.75435977279007,2.7368981280518185,19.6738820501693,58.14518116063805,1109.4612001565602,1109.4612001565602,0.0,0.0,0.0,0.0,1600.803090268337,519.8597034986141,47.335949843929264,117.38354946228166,0.0,0.0
 01/01  03:00:00,1.1,18.644900243749316,2.71706498449421,19.50990866480429,63.095858233595074,1274.6377344813172,1274.6377344813172,0.0,0.0,0.0,0.0,1765.0901167299685,557.4522698366796,53.02038405180164,110.40837664021366,0.0,0.0
 01/01  04:00:00,1.0,18.57633071079015,2.8743973528333724,19.354968184503978,71.5712852046635,1483.7083718458216,1483.7083718458216,0.0,0.0,0.0,0.0,2028.2221737718542,635.036717981092,56.5159015199247,98.42998449412781,0.0,0.0
 01/01  05:00:00,1.0,18.605745132523733,3.0292451246678653,19.220523585519665,74.11988899060093,1533.7635632949623,1533.7635632949623,0.0,0.0,0.0,0.0,2105.658217532919,656.6589900881592,58.52816704714109,94.81355380286043,0.0,0.0
 01/01  06:00:00,1.0,19.28971942289241,3.5106411134895033,19.048918028845105,113.2430117488485,2446.9989765720984,2446.9989765720984,0.0,0.0,0.0,0.0,3267.80784542137,987.8093519953212,101.8032816877183,39.02886359592812,0.0,0.0
 01/01  07:00:00,1.0,19.586164559253778,3.6285058099890217,18.95902653025423,114.09397351265523,2373.9575975185617,2373.9575975185617,0.0,0.0,0.0,0.0,3283.939846103737,1008.6480193215713,102.57237352205503,37.81277719360527,0.0,0.0
 01/01  08:00:00,1.7,19.711980702580288,3.61900128730236,18.863568183053353,103.40257440713901,2164.7923089775286,2164.7923089775286,0.0,0.0,0.0,0.0,3043.22809645554,936.094523044134,83.52873431953739,53.41245879442729,0.0,0.0
 01/01  09:00:00,1.7,19.745745956628603,4.503353619475185,18.765564618291673,97.12641972418841,2011.220094093669,2011.220094093669,0.0,0.0,0.0,0.0,2841.6268572982985,881.387832269187,78.47326004302873,62.30875120699859,0.0,0.0
 01/01  10:00:00,2.2,19.829210464189067,7.267027941584577,18.68670094009353,69.88334101156133,1426.0399678741978,1426.0399678741978,0.0,0.0,0.0,0.0,2055.1347731938076,645.7449025628869,49.83961586460742,101.13333515559977,0.0,0.0
 01/01  11:00:00,2.8,19.82906759693375,8.245084039413438,18.612143935257095,43.86034100876279,891.8784986903029,891.8784986903029,0.0,0.0,0.0,0.0,1276.6313784177023,406.1020738279551,32.505146714988086,137.99232792056824,0.0,0.0
 01/01  12:00:00,3.9,19.884859636617477,9.978365816725525,18.55375569964652,20.994944243127453,414.314029317884,414.314029317884,0.0,0.0,0.0,0.0,610.270571039595,193.8789938455146,17.087552812302647,170.3556818178593,0.0,0.0
 01/01  13:00:00,4.0,19.791964518127923,12.151173489276006,18.511097941290316,6.377122256983953,113.80582825992133,113.80582825992133,0.0,0.0,0.0,0.0,186.41918731602703,59.84106444862042,4.597602322480526,191.00325884268082,0.0,0.0
 01/01  14:00:00,5.6,19.474960674687317,11.172203816995326,18.478288762732724,2.0550220836123185,54.36631651769676,54.36631651769676,0.0,0.0,0.0,0.0,79.51898007042243,22.74883207321719,0.0,197.114169411802,0.0,0.0
 01/01  15:00:00,5.6,19.600575493636722,10.463693745025196,18.453641995516403,9.851300957296404,320.28991851437604,320.28991851437604,0.0,0.0,0.0,0.0,384.0565514410744,108.3895928397763,0.0,186.16599506992284,0.0,0.0
 01/01  16:00:00,5.6,19.62720124332593,9.345652266632618,18.438416721868094,6.13232332980529,187.7507367430062,187.7507367430062,0.0,0.0,0.0,0.0,238.2481507778312,67.6321376256868,0.0,191.38848853109897,0.0,0.0
