Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.0,2005.6401952166327,626.467904385369,55.876596608416584,99.0621633868081,70.76207660071857,0.0,19.33904804781117,3.1244290461817363,19.87848922713438,1436.2584633005436,1436.2584633005436,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.6,1472.887547375093,480.1562270970262,43.70626110150965,123.32597190297534,53.68659587786569,0.0,18.72733608283437,2.7117732343486685,19.67766905307044,1048.7444256297804,1048.7444256297804,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.1,1704.662960116425,538.8018160115851,51.2729403691694,112.91528237417809,61.016432721573054,0.0,18.63936515798462,2.705822991301617,19.5107606023438,1228.6436967970785,1228.6436967970785,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.0,2031.624107567563,635.7732517909487,56.58764519779498,97.77769527860005,71.66216102425679,0.0,18.602921132515068,2.885030041288221,19.354066010581242,1450.4329563588635,1450.4329563588635,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,1.0,2077.978862075003,648.7484358690227,57.79284412473312,95.60057319605444,73.18857982278385,0.0,18.620457278890214,3.025935578377537,19.22195862653054,1502.0270988009288,1502.0270988009288,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.0,3358.2456041505807,1012.5308782435912,104.32269549935911,34.196299388107,116.04544071510476,0.0,19.3595193427422,3.573296761226548,19.045471053706972,2411.8871238877236,2411.8871238877236,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.0,3270.2989265644746,1006.0650843994225,102.16951985096766,37.61841658764686,113.64539929271378,0.0,19.62726780233278,3.6496004955763395,18.962008948184874,2335.127881261773,2335.127881261773,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.7,2968.2093657653763,915.3839161659071,81.61406885529175,56.035511997599976,101.03216464240106,0.0,19.72052250390416,3.6110929460767793,18.865968785473317,2113.000974897499,2113.000974897499,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,1.7,4249.066792188392,1269.4751157785715,113.0333171036204,0.6481345576331066,139.90145202603992,85.44000000000004,19.67211743892666,5.195846665597375,18.73782101915407,1964.3520934942026,1964.3520934942026,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,2.2,3729.955889664698,1119.3229391043853,86.54197545704181,27.44355315373419,121.3464701696846,85.44000000000004,19.7091570191398,8.159457127460366,18.6584834496888,1482.7088321714473,1482.7088321714473,0.0,0.0,0.0,0.0,0.0,0.0
