Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,0.0,18.783829606520573,0.3950170649162695,19.26681236814091,92.67505009304614,1754.0268456243175,1754.0268456243175,0.0,0.0,0.0,0.0,2681.8430363213674,837.4658616410469,56.52796966293654,65.0394470004326,0.0,0.0
 01/01  02:00:00,0.0,18.654846470542772,1.2466460364419731,18.94852980934377,94.26433739490113,1856.9125835608538,1856.9125835608538,0.0,0.0,0.0,0.0,2729.7806397310214,854.0901370130481,57.49772801366237,62.72414850182548,0.0,0.0
 01/01  03:00:00,-0.6,18.595939360642046,1.7819125188428495,18.788385821527108,103.42660363801205,2038.213299686604,2038.213299686604,0.0,0.0,0.0,0.0,2931.7905046836345,919.0110445684575,72.49635959076811,48.98657778832434,0.0,0.0
 01/01  04:00:00,-0.6,18.584560009266724,1.9249681733050565,18.615849106480233,109.90315395998864,2202.264143791135,2202.264143791135,0.0,0.0,0.0,0.0,3134.1540424564996,975.2268063612676,77.04961099707343,39.530426855733694,0.0,0.0
 01/01  05:00:00,-0.6,18.601209194508744,2.058734901359558,18.47338660495589,110.27063708659134,2202.869732216668,2202.869732216668,0.0,0.0,0.0,0.0,3145.9461633626984,978.1241900917049,77.30715492719547,38.99404563332689,0.0,0.0
 01/01  06:00:00,-1.0,19.31338804599607,2.6867529323514185,18.313763221411875,138.6394729518221,3124.238767272638,3124.238767272638,0.0,0.0,0.0,0.0,4010.6869908936237,1212.1807560217394,95.10970793207301,0.0,328.83143705275506,328.83143705275506
 01/01  07:00:00,-1.0,19.599339288716255,2.709963870286644,18.22262740995884,138.6394729518221,2962.4716606411966,2962.4716606411966,0.0,0.0,0.0,0.0,3996.4246985600926,1229.134646442559,95.10970793207301,0.0,225.044620001393,225.044620001393
 01/01  08:00:00,-0.6,19.71180029165097,2.9535129093017494,18.11942196344306,131.14488515684414,2590.334071013649,2590.334071013649,0.0,0.0,0.0,0.0,3792.5733920265184,1186.248913141015,91.97129786741104,8.503469085106929,0.0,0.0
 01/01  09:00:00,-0.6,19.728057928396826,2.7154177212135258,18.015723989447064,129.658142382773,2568.8920711118353,2568.8920711118353,0.0,0.0,0.0,0.0,3742.8060913356057,1175.3553196586718,90.87157488871404,10.674744232708843,0.0,0.0
 01/01  10:00:00,-1.0,19.736901179590827,3.2858466887901554,17.914424920504203,125.67608641942694,2487.688348027381,2487.688348027381,0.0,0.0,0.0,0.0,3636.2630417697455,1153.5209744440917,74.21799588837506,16.751080010698427,0.0,0.0
 01/01  11:00:00,-0.6,19.75992467363296,3.9376845576038684,17.823791666163874,117.84694106415174,2319.6836509780387,2319.6836509780387,0.0,0.0,0.0,0.0,3389.435014009135,1075.3030870574337,77.23117884458973,28.067776952541568,0.0,0.0
 01/01  12:00:00,-1.1,19.68153818629312,4.459836680561215,17.723645836385543,124.97492243839046,2507.8144377490607,2507.8144377490607,0.0,0.0,0.0,0.0,3591.2613600063446,1143.3322655003954,76.61480531705313,17.663486661187065,0.0,0.0
