Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,0.0,2528.6490174765804,794.4706705344157,53.52807633826669,71.49591314343051,87.75648355858688,0.0,18.77133908685593,0.4685517936443404,19.27164401126247,1687.245209936722,1687.245209936722,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,0.0,2614.3322053119155,820.0352645891728,55.21741505462336,67.44034186220236,90.52593819958068,0.0,18.6363502499542,1.266248918984931,18.950097442445227,1793.957785132945,1793.957785132945,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-0.6,2896.0919376375596,907.9241519627067,71.6475543680355,49.93045604334127,102.21577120711096,0.0,18.60300637257233,1.807362457874697,18.788884422014508,1992.5348134949982,1992.5348134949982,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-0.6,3105.728902014792,966.8577525587358,76.37758182793776,40.05156589888692,108.94452835246013,0.0,18.59634251975409,1.9367149354457986,18.617094671294026,2166.102303868678,2166.102303868678,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-0.6,3112.4762144502697,968.445365583558,76.52398908657435,39.74496268889378,109.15345361164358,0.0,18.612486739430405,2.063935473701173,18.474581272173378,2165.33908140496,2165.33908140496,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.0,3988.432349477264,1205.792116586801,94.5873387165573,0.0,137.8780260469796,0.0,19.344944975961926,2.7056680813948852,18.314799834469838,3086.520132100788,3086.520132100788,0.0,0.0,0.0,0.0,366.1534668714439,366.1534668714439
 01/01  07:00:00,-1.0,3973.841655359163,1223.1388095968637,94.5873387165573,0.0,137.8780260469796,0.0,19.612464569164576,2.7149621731306164,18.22460390816499,2921.5986413655846,2921.5986413655846,0.0,0.0,0.0,0.0,208.21894018864668,208.21894018864668
 01/01  08:00:00,-0.6,3710.6683741661964,1162.9933056253742,90.14437487912578,11.27081317643228,128.53971021442655,0.0,19.703828089435042,2.927924641872148,18.121389012772664,2549.448249842053,2549.448249842053,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,-0.6,4006.5525365651324,1234.5554664181316,95.46796313398167,0.0,137.8780260469796,85.44000000000005,19.683035727537025,2.9795766665323575,18.013039109566968,2531.8376503845084,2531.8376503845084,0.0,0.0,0.0,0.0,981.5101584174495,981.5101584174495
 01/01  10:00:00,-1.0,4031.611498432666,1250.8505515061333,80.5574950450044,0.0,137.8780260469796,85.44000000000005,19.704578475384288,3.6854944693670797,17.90944451152652,2500.6884240296586,2500.6884240296586,0.0,0.0,0.0,0.0,1129.1117455702151,1129.1117455702151
 01/01  11:00:00,-0.6,4035.126669786037,1243.0339293474713,89.34567606742219,0.0,137.8780260469796,85.44000000000005,19.697861113069866,4.447642648780864,17.817483127933524,2362.004906197795,2362.004906197795,0.0,0.0,0.0,0.0,896.8585966825412,896.8585966825412
