Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,18.490898432749823,2.6658898803356674,18.741040252269123,72.10644915579995,1489.4821543699618,1489.4821543699618,0.0,0.0,0.0,0.0,1997.8943537303398,644.540683431838,48.546827935778175,94.56475792868291,0.0,0.0
 01/01  02:00:00,-1.1,18.54206812975182,2.421390439716731,18.381724986167498,88.03013353429674,1812.1581494006132,1812.1581494006132,0.0,0.0,0.0,0.0,2473.390996605652,789.3557459122018,57.39157503446138,71.31181035276417,0.0,0.0
 01/01  03:00:00,-2.0,18.478309437750696,2.2123886394032155,18.17876060201464,106.10176721501826,2143.979777268447,2143.979777268447,0.0,0.0,0.0,0.0,2969.976243610146,950.5976934426376,65.50885643023963,44.76641787343036,0.0,0.0
 01/01  04:00:00,-2.0,18.501450691667355,2.0603599249480395,17.971011617841423,120.78070160448358,2448.487206934682,2448.487206934682,0.0,0.0,0.0,0.0,3426.449813448233,1080.4625317730572,74.57148366163975,23.291091249370567,0.0,0.0
 01/01  05:00:00,-2.2,18.577966597936157,1.984664761559106,17.80235182592312,121.62172726972695,2416.0460582926207,2416.0460582926207,0.0,0.0,0.0,0.0,3446.3447204299587,1090.2704194612518,72.10697782941641,22.098491391057394,0.0,0.0
 01/01  06:00:00,-2.2,19.311945756264667,2.0706871815170707,17.632436991163246,138.4479186974383,3384.088050598497,3384.088050598497,0.0,0.0,0.0,0.0,4007.372115340835,1237.1217087196833,73.89265307426062,0.0,661.191299953086,661.191299953086
 01/01  07:00:00,-2.2,19.59107171356532,2.1866540819978435,17.515026617368086,138.4479186974383,3298.6032242116034,3298.6032242116034,0.0,0.0,0.0,0.0,3992.3558379413385,1254.9019498611212,73.89265307426062,0.0,670.363571801488,670.363571801488
 01/01  08:00:00,-2.2,19.683604491470607,2.3008019194698464,17.382197477777122,138.4479186974383,3041.1749645869513,3041.1749645869513,0.0,0.0,0.0,0.0,3986.671206989182,1261.6494241696184,73.89265307426062,0.0,404.87787895688916,404.87787895688916
 01/01  09:00:00,-2.0,19.784132273839518,3.580295902347139,17.263930018619163,120.29805114366785,2267.8202448287702,2267.8202448287702,0.0,0.0,0.0,0.0,3438.9491085283084,1114.7490941219257,62.87537008977111,24.349981613288875,0.0,0.0
 01/01  10:00:00,-1.1,19.851356864769773,5.630590390137259,17.15969151070915,94.46636684096248,1787.7372415707378,1787.7372415707378,0.0,0.0,0.0,0.0,2698.5638070145155,880.9651538797619,50.79593809941789,62.200975634717004,0.0,0.0
 01/01  11:00:00,0.0,19.891866143203845,8.106642219832391,17.067592028952177,65.94654762150095,1280.0699096421704,1280.0699096421704,0.0,0.0,0.0,0.0,1900.4404704366905,622.75760938509,33.86226597032935,103.98653055566243,0.0,0.0
 01/01  12:00:00,1.0,19.876869912567283,10.76850212018897,16.989880229500013,53.02155402631174,1102.4439143023646,1102.4439143023646,0.0,0.0,0.0,0.0,1539.949418598209,501.16147092016274,30.040555155293767,122.84439950877588,0.0,0.0
 01/01  13:00:00,2.2,19.83515381301675,10.996144304546315,16.92336121906291,38.22428691106246,839.9397138661752,839.9397138661752,0.0,0.0,0.0,0.0,1127.0199556201806,362.95331012339255,22.801092593848477,144.44666721205968,0.0,0.0
 01/01  14:00:00,2.2,19.7497431938865,10.828014217026311,16.867208600804176,36.290494858332316,824.4909439494731,824.4909439494731,0.0,0.0,0.0,0.0,1068.5282081179266,344.29020692622936,21.647542278744616,147.25721518377782,0.0,0.0
