Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-1.0,2033.0198658482914,657.099479010249,49.366666984135485,92.27309058268045,73.28417382248603,0.0,18.60537739618839,2.8575013103819913,18.74110701741975,1439.8494676223145,1439.8494676223145,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-1.1,2429.064088139784,778.1269945699939,56.44670535646462,72.82709295897756,86.5337202699827,0.0,18.619382582351182,2.5116699947989187,18.385646902155795,1727.83368065602,1727.83368065602,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-2.0,2915.3024897880628,935.9831244710044,64.40233800077233,46.66095728174224,104.25300225050977,0.0,18.541389276444683,2.263045820466375,18.18246062188418,2048.8623960852656,2048.8623960852656,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-2.0,3373.899080188897,1066.6498620278935,73.5257758780428,24.938465927726973,119.02251692219805,0.0,18.55614729322362,2.085734942067799,17.975241560496166,2357.9690511272893,2357.9690511272893,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-2.2,3357.6597223849944,1065.854535179889,70.41510639334614,25.44446285991606,118.70382452608267,0.0,18.608112921904883,1.980193770242023,17.80757503288702,2332.745789826502,2332.745789826502,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-2.2,3987.7370008609228,1231.9869543992315,73.54206278394145,0.0,137.71698847315605,0.0,19.347925887425244,2.0857789473249073,17.63528608995404,3302.30602615494,3302.30602615494,0.0,0.0,0.0,0.0,640.6073217672365,640.6073217672365
 01/01  07:00:00,-2.2,3972.6721386746435,1249.8277388146623,73.54206278394145,0.0,137.71698847315605,0.0,19.610638656752247,2.188461438015371,17.518705695872168,3230.0031766566553,3230.0031766566553,0.0,0.0,0.0,0.0,629.4677498885344,629.4677498885344
 01/01  08:00:00,-2.2,3967.353567083936,1256.1415146841607,73.54206278394145,0.0,137.71698847315605,0.0,19.68873227760169,2.2963318949396596,17.38497593891366,2981.5456787524217,2981.5456787524217,0.0,0.0,0.0,0.0,354.46637186689804,354.46637186689804
 01/01  09:00:00,-2.0,3998.2887642072874,1263.2670247948765,71.25197350623152,0.0,137.71698847315605,85.44000000000005,19.68793980998388,3.972431299609988,17.26219855250948,2220.314428527703,2220.314428527703,0.0,0.0,0.0,0.0,697.8057822910714,697.8057822910714
 01/01  10:00:00,-1.1,4089.7685696519216,1269.8443120402094,73.37487688094035,0.0,137.71698847315605,85.44000000000005,19.70742132592561,6.35204454968878,17.15301275932432,1815.6348003577332,1815.6348003577332,0.0,0.0,0.0,0.0,252.0045132307082,252.0045132307082
 01/01  11:00:00,0.0,3568.0322269353987,1112.6315521851343,60.688603944114625,27.102486882586206,118.12788506216609,85.44000000000005,19.728336554269013,9.23079644739329,17.064627884096147,1387.6695470875948,1387.6695470875948,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,1.0,2992.412665900279,932.032354988678,56.061726858740265,55.325688174525034,98.89634548076373,85.44000000000005,19.749423385051717,11.572725995838361,16.989995594795616,1215.8648616003738,1215.8648616003738,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,2.2,1832.3764411971742,577.0381670113478,36.34505697899862,111.02555923098534,60.897196939808836,44.61130864031266,19.791393580741147,11.526077231610085,16.92481377787975,956.0525024355084,956.0525024355084,0.0,0.0,0.0,0.0,0.0,0.0
