Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,17.2,23.174697356533862,14.115554266352156,20.044445032563583,0.0,-2232.394162788926,-2232.394162788926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,17.2,22.921484564849077,15.300395874332974,19.850231926516976,0.0,-2754.540981211634,-2754.540981211634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,17.8,22.78300396603803,15.851124555622574,19.749736612425327,0.0,-2599.8011065010396,-2599.8011065010396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,17.8,22.608007948464724,16.303268342786627,19.651275816709145,0.0,-2588.5996245517745,-2588.5996245517745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,16.1,22.2113610625017,15.88455081970165,19.569199345279852,0.0,-2431.3854025171695,-2431.3854025171695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,16.1,22.176280791904183,15.862027699686614,19.497786124956875,0.0,-1390.6668313522641,-1390.6668313522641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,16.0,22.219618903428525,15.754687963829518,19.434506798612606,0.0,-1409.5078967847276,-1409.5078967847276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,15.6,22.29189501568917,15.490024866528037,19.37759530594164,0.0,-1485.9541795577643,-1485.9541795577643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.4,21.99144155425833,14.977305782113014,19.324639869240475,0.0,-1400.6125872500852,-1400.6125872500852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,14.4,22.15030632325703,15.581166131984668,19.276625805894085,0.0,-991.4691633091588,-991.4691633091588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
