Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,17.2,0.0,0.0,0.0,0.0,0.0,0.0,22.876049465756118,14.066360632033582,20.03078404735177,-1676.8646331221516,-1676.8646331221516,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,17.2,0.0,0.0,0.0,0.0,0.0,0.0,22.547522932805784,15.25976249975619,19.834641584088526,-2799.0126337758375,-2799.0126337758375,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,17.8,0.0,0.0,0.0,0.0,0.0,0.0,22.444013050110353,15.80551870028926,19.734174439854883,-2446.7144861223223,-2446.7144861223223,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,17.8,0.0,0.0,0.0,0.0,0.0,0.0,22.299020954893386,16.25988494138851,19.63587653422515,-2455.772787387172,-2455.772787387172,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,16.1,0.0,0.0,0.0,0.0,0.0,0.0,21.948770299820076,15.852584043459416,19.55405162633451,-2309.3437548587262,-2309.3437548587262,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,16.1,0.0,0.0,0.0,0.0,0.0,0.0,21.950172018684057,15.837600276977348,19.4828965823899,-1338.8660691444202,-1338.8660691444202,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,16.0,0.0,0.0,0.0,0.0,0.0,0.0,22.016034397653264,15.73317012689998,19.419896217192193,-1378.8039457627056,-1378.8039457627056,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,22.104909339042273,15.469637862672705,19.363292700128586,-1445.7131988913388,-1445.7131988913388,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,14.4,0.0,0.0,0.0,0.0,0.0,85.44000000000007,20.87669004951061,14.959396588403097,19.31067387918196,-1342.7664622267002,-1342.7664622267002,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,14.4,0.0,0.0,0.0,0.0,0.0,85.44000000000007,20.41902752989333,15.505119954235273,19.26287932164128,-1383.8267261154142,-1383.8267261154142,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,15.6,0.0,0.0,0.0,0.0,0.0,81.34174450876117,20.465907661189974,17.741983155929777,19.218392107632003,-1525.8987751203204,-1525.8987751203204,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,15.6,0.0,0.0,0.0,0.0,0.0,0.0,21.708465621587152,19.56213413607271,19.18117997374065,-1637.8008732504732,-1637.8008732504732,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.50166464955015,21.549925999167588,19.156592570849348,-1487.9621681160315,-1487.9621681160315,0.0,0.0,0.0,0.0,0.0,0.0
