Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.2,21.429929063052498,7.478279614068124,20.32866637929241,0.0,-1727.4857043523698,-1727.4857043523698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,2.2,20.910873338089555,4.327535819439958,20.151408535574543,0.0,-2004.1761357405321,-2004.1761357405321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  03:00:00,1.7,20.191148962953868,2.037235185206362,20.021138765805873,0.0,-1263.22514494986,-1263.22514494986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  04:00:00,0.6,19.330712251302828,0.8157007661551174,19.882012675529438,0.0,-574.5217831115515,-574.5217831115515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  05:00:00,0.6,18.739541040674908,0.026219865139829615,19.744196031029524,0.0,-104.27200631714004,-104.27200631714004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,-1.0,19.31682663264458,0.13858922396342235,19.52304158020537,53.37577305564308,1272.3723267767691,1272.3723267767691,0.0,0.0,0.0,0.0,1589.075967672901,528.999440228549,46.86790507644558,129.9080737041604,0.0,0.0
 01/01  07:00:00,1.1,19.703356550564465,0.1340384946976971,19.414951735072986,53.970622228100844,1256.738272587767,1256.738272587767,0.0,0.0,0.0,0.0,1698.209318923311,549.1472581542456,46.83488763001352,129.4310023217295,0.0,0.0
 01/01  08:00:00,1.1,19.68577926995833,0.6191158721577033,19.273160736507457,58.927440802327645,1346.6789794571596,1346.6789794571596,0.0,0.0,0.0,0.0,1857.57813709881,604.1529759268512,51.137306647798574,122.94828371086103,0.0,0.0
 01/01  09:00:00,5.6,20.083753610168568,2.9833265560900517,19.18801450329197,19.00557385307736,564.1185732279355,564.1185732279355,0.0,0.0,0.0,0.0,839.5229513366712,236.89344651441428,0.0,175.39854453635334,0.0,0.0
 01/01  10:00:00,8.9,20.553512271636528,8.998388251486915,19.080898890648086,0.0,-514.2615114764794,-514.2615114764794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  11:00:00,8.9,21.49875857007498,17.34101924698429,19.003300068363995,0.0,-1528.5844104243624,-1528.5844104243624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  12:00:00,12.2,22.416898889380775,23.175436532101322,18.963185056372367,0.0,-2290.2315570917017,-2290.2315570917017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,13.3,23.37425207523436,29.22391194113711,18.956967332475624,0.0,-3044.6868183584193,-3044.6868183584193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,13.3,24.403595254556887,32.09503077772864,18.971390993537252,0.0,-3852.6806765705205,-3852.6806765705205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,14.4,25.531997524880904,32.68567818759219,19.03335211126252,0.0,-4575.94336054562,-4575.94336054562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,13.9,26.040238480499497,29.985337107128878,19.112384431698334,0.0,-4841.836613872232,-4841.836613872232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,13.9,26.982942350202812,26.700989548165087,19.204296756890848,0.0,-5038.171692263006,-5038.171692263006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,10.6,26.46936278883663,21.25306229007066,19.296326791068676,0.0,-4841.019082355011,-4841.019082355011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
