Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,21.190890106794317,7.460257050479809,20.319386270831266,-1520.8921253442804,-1520.8921253442804,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,2.2,0.0,0.0,0.0,200.0,0.0,0.0,20.708226498208905,4.299747888890759,20.14136021035711,-1816.184880439605,-1816.184880439605,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,20.013512976184916,1.9979392664350362,20.011082524115565,-1107.4983341609368,-1107.4983341609368,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,19.173185021050728,0.7782849041827646,19.871749954541794,-443.0362288802007,-443.0362288802007,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,0.6,9.981485611268086,3.378986652505761,0.27339831153026545,199.56389328367393,0.33184536334954146,0.0,18.610879326242387,-0.001439842490404017,19.73379581676306,7.312689273148862,7.312689273148862,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,-1.0,1770.988157999868,584.98438848756,51.961739217612866,121.98502543788972,59.12882232780542,0.0,19.330738526893242,0.2225186521879242,19.502191128617543,1254.1310835284312,1254.1310835284312,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.1,1868.3957638927386,601.9127062862693,51.32310405209145,122.36470284805847,59.09400703462088,0.0,19.732337916047427,0.23234282700795084,19.4016504976789,1341.842790053799,1341.842790053799,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,1.1,1978.8675252239973,642.1437603565403,54.323457539464705,117.82613607866226,62.54741655563074,0.0,19.734963228534788,0.7098569077013893,19.261290493268174,1389.2537107626777,1389.2537107626777,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,5.6,2201.734178599239,608.4369079992435,0.0,136.61571085015726,48.7352059289807,85.44000000000005,19.882886819126977,3.657917507623972,19.161576516488147,554.3501696079074,554.3501696079074,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,8.9,0.0,0.0,0.0,200.0,0.0,85.44000000000005,19.187233604367975,8.944212714108913,19.07436240030067,-522.1641077664499,-522.1641077664499,0.0,0.0,0.0,0.0,0.0,0.0
