Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.2,18.210810726650333,-3.640439595948023,18.452164284737293,121.34543041156323,2683.0159308417333,2683.0159308417333,0.0,0.0,0.0,0.0,3619.2262738895147,1286.0323590384594,27.44642232265048,55.50448589629391,0.0,0.0
 01/01  02:00:00,-7.8,18.324501206542646,-3.3096832422519773,18.001406343742104,160.4897386167909,3514.0125139933043,3514.0125139933043,0.0,0.0,0.0,0.0,4853.554291766392,1686.639340383639,33.80700790451725,8.912890663224005,0.0,0.0
 01/01  03:00:00,-7.2,18.484859277696877,-3.6536110410906715,17.815013962778732,164.4737308752279,3601.211120927801,3601.211120927801,0.0,0.0,0.0,0.0,5094.6729831023595,1745.1034025124175,29.376322908200784,4.4351042603346436,0.0,0.0
 01/01  04:00:00,-7.8,18.55426109296977,-3.3720874039392013,17.581909050954636,169.1117494210965,3595.1217043473753,3595.1217043473753,0.0,0.0,0.0,0.0,5135.220811498727,1773.9299179489724,35.31620348082938,0.0,44.836491367362214,44.836491367362214
 01/01  05:00:00,-8.3,18.588699862077,-4.119761091191161,17.378979879919324,169.1117494210965,3687.4032909177295,3687.4032909177295,0.0,0.0,0.0,0.0,5044.801539365264,1764.0595796182406,38.60269152483851,0.0,259.06312096868123,259.06312096868123
 01/01  06:00:00,-8.3,19.3255045347986,-3.8063588814489386,17.190250154581616,169.1117494210965,4566.173432490497,4566.173432490497,0.0,0.0,0.0,0.0,5063.9676765977765,1771.8952080728664,33.26898865428338,0.0,1292.6364987875622,1292.6364987875622
 01/01  07:00:00,-8.3,19.589211895205136,-4.503630602302108,17.041048766019042,169.1117494210965,4367.355853294321,4367.355853294321,0.0,0.0,0.0,0.0,5041.879333700584,1796.8289325377968,33.26898865428338,0.0,1154.6240679680277,1154.6240679680277
 01/01  08:00:00,-9.4,19.67021958584489,-4.8161185292608,16.869038866049287,169.1117494210965,4288.600445645941,4288.600445645941,0.0,0.0,0.0,0.0,4842.70582093811,1778.7111788462532,40.39100728363056,0.0,1321.7759225494156,1321.7759225494156
 01/01  09:00:00,-8.3,19.700053751386648,-4.6432249473875435,16.724237932636385,169.1117494210965,4154.470008861563,4154.470008861563,0.0,0.0,0.0,0.0,4986.283850536972,1791.8034936990719,45.53402743680252,0.0,1056.1636686714896,1056.1636686714896
 01/01  10:00:00,-6.7,19.719836411182186,-3.2637386531067696,16.584300359725372,169.1117494210965,3757.268415719409,3757.268415719409,0.0,0.0,0.0,0.0,5275.489565264642,1833.4917056646095,33.862143743804374,0.0,311.713119114655,311.713119114655
 01/01  11:00:00,-5.6,19.825659260556062,-0.9884235357459153,16.45603080952318,144.07349313961703,2992.765168487447,2992.765168487447,0.0,0.0,0.0,0.0,4545.220394308762,1581.2705134016987,33.040244575556024,28.596241704994885,0.0,0.0
 01/01  12:00:00,-4.4,19.936809669967893,2.0821739825807812,16.345037152561616,101.67896723100854,2109.1702935852554,2109.1702935852554,0.0,0.0,0.0,0.0,3206.9217348987686,1125.0924172799066,26.78025678882211,79.02551132663709,0.0,0.0
 01/01  13:00:00,-4.4,19.885971513523646,3.9571133766667557,16.245566083892573,77.7765163794439,1654.3964941418399,1654.3964941418399,0.0,0.0,0.0,0.0,2411.127848316686,862.4898073480068,20.484893331813584,107.46356482366176,0.0,0.0
 01/01  14:00:00,-2.8,19.934176457964877,6.3381648899177785,16.174010598971524,58.17786603031367,1319.3452544977117,1319.3452544977117,0.0,0.0,0.0,0.0,1847.1829809416545,647.9353716350028,19.279258443492317,130.7628866795029,0.0,0.0
 01/01  15:00:00,-2.2,19.86910405239794,8.307087457956227,16.116118848361772,38.07654492804398,887.6192909995207,887.6192909995207,0.0,0.0,0.0,0.0,1219.7932937932142,428.6285064317921,10.798820255423019,154.74551590144873,0.0,0.0
 01/01  16:00:00,-2.2,19.760867874755473,6.571121359863005,16.071233086865732,25.563885805468356,607.3599943024274,607.3599943024274,0.0,0.0,0.0,0.0,812.4300309665732,287.4089326252176,7.2459665846601125,169.61711888555166,0.0,0.0
