Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-7.2,3771.5446788045033,1341.3011887238663,28.525466677347335,49.28622231679422,125.99138625237707,0.0,18.4021073450923,-3.4404408008474574,18.450972266908508,2679.528235543021,2679.528235543021,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,-7.8,4934.357117119752,1719.177536277354,34.33141183087268,5.254292621975298,162.81801112529394,0.0,18.49112603039101,-3.160423738173961,18.00355483031693,3425.5805376821627,3425.5805376821627,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,-7.2,4986.530333385465,1718.4135968079383,28.832844121562687,7.366184837836642,161.27158733243556,0.0,18.576924851561415,-3.610336008050308,17.8237490365542,3469.191719765793,3469.191719765793,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,-7.8,5042.523824736215,1759.2195941842335,34.96055559490049,1.305481727692781,166.12064035675965,0.0,18.600215827663185,-3.3335794195163397,17.586730474523602,3462.5653313784806,3462.5653313784806,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,-8.3,5025.429149769496,1759.3290483076016,38.46502436011552,0.0,168.34326253266744,0.0,18.60518626606647,-4.109446825913942,17.382802795069537,3575.904874393984,3575.904874393984,0.0,0.0,0.0,0.0,155.8253130053099,155.8253130053099
 01/01  06:00:00,-8.3,5045.411077293616,1766.1378559812558,33.150342851093995,0.0,168.34326253266744,0.0,19.348613877252976,-3.7912703430356043,17.1933447784503,4475.553936988086,4475.553936988086,0.0,0.0,0.0,0.0,1247.686477810681,1247.686477810681
 01/01  07:00:00,-8.3,5023.200589135334,1791.2082688620685,33.150342851093995,0.0,168.34326253266744,0.0,19.60199953431078,-4.500026621690156,17.04452202251041,4296.4738794032255,4296.4738794032255,0.0,0.0,0.0,0.0,1102.4282485080412,1102.4282485080412
 01/01  08:00:00,-9.4,4825.055377844061,1772.7898779543887,40.24696252319034,0.0,168.34326253266744,0.0,19.68255153723064,-4.814475973689003,16.871894469225172,4229.475369157017,4229.475369157017,0.0,0.0,0.0,0.0,1290.589403847468,1290.589403847468
 01/01  09:00:00,-8.3,4968.1362117100825,1785.8250078346798,45.37164133863084,0.0,168.34326253266744,85.44000000000004,19.699850670517943,-4.458058508716077,16.72697593250615,4104.32381750139,4104.32381750139,0.0,0.0,0.0,0.0,2189.273750974469,2189.273750974469
 01/01  10:00:00,-6.7,5256.690866562144,1826.9357124261549,33.74138259642033,0.0,168.34326253266744,85.44000000000004,19.70038402056718,-3.0401959580781392,16.586256016995033,3736.680285444596,3736.680285444596,0.0,0.0,0.0,0.0,1669.37627963129,1669.37627963129
 01/01  11:00:00,-5.6,5410.831724656914,1837.5887506554964,38.41504394104026,0.0,168.34326253266744,85.44000000000004,19.714015581308182,-0.5115420183428385,16.45186821719866,3001.3022700243873,3001.3022700243873,0.0,0.0,0.0,0.0,549.6401660817746,549.6401660817746
 01/01  12:00:00,-4.4,4544.297843240745,1546.0938016936982,36.88898510775525,32.76493638551268,139.92276551994024,85.44000000000004,19.749314805763,2.747910092792836,16.339788153612165,2194.040491734311,2194.040491734311,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,-4.4,3649.031734046075,1265.534130657471,30.173780398348235,63.20810752404022,114.45134018740234,85.44000000000004,19.7596313646788,4.598104114491588,16.240526751353848,1811.3433558637225,1811.3433558637225,0.0,0.0,0.0,0.0,0.0,0.0
