Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-12.0,18.626279962838286,-5.787043921356878,18.199593031464733,157.02582686989447,3476.1948250138958,3476.1948250138958,0.0,0.0,0.0,0.0,4009.996977779972,1526.4997902454504,32.62551460663889,0.0,1179.7626344774258,1179.7626344774258
 01/01  02:00:00,-12.0,18.599265954954344,-5.592335905821751,17.757040613366122,157.02582686989447,3819.9190777174717,3819.9190777174717,0.0,0.0,0.0,0.0,4011.64282410083,1524.7363986373862,32.62551460663889,0.0,1584.759505696382,1584.759505696382
 01/01  03:00:00,-12.0,18.593035265480157,-5.164261263619623,17.552399724190025,157.02582686989447,4044.8250196530607,4044.8250196530607,0.0,0.0,0.0,0.0,3982.622894417682,1511.9209421395317,41.70326038263708,0.0,1881.9973460558613,1881.9973460558613
 01/01  04:00:00,-11.0,18.598076165257066,-4.6287492776486605,17.32131086651748,157.02582686989447,4002.025589442648,4002.025589442648,0.0,0.0,0.0,0.0,4123.775494241351,1530.6074270750296,37.687957697794296,0.0,1680.5649219168981,1680.5649219168981
 01/01  05:00:00,-11.0,18.59695250659251,-5.249812768856626,17.11249371671704,157.02582686989447,4151.405531045668,4151.405531045668,0.0,0.0,0.0,0.0,4123.934357095576,1530.4343435717826,37.687957697794296,0.0,1830.8725062179356,1830.8725062179356
 01/01  06:00:00,-12.0,19.33373256911826,-4.968390284311972,16.909429174166974,157.02582686989447,5319.388455683764,5319.388455683764,0.0,0.0,0.0,0.0,3983.4840166799922,1510.997727759932,41.70326038263708,0.0,3347.7173533156815,3347.7173533156815
 01/01  07:00:00,-12.0,19.58807530038483,-4.235010218868311,16.75788423973862,157.02582686989447,5028.061636215451,5028.061636215451,0.0,0.0,0.0,0.0,3964.498958912559,1531.3030400043983,41.70326038263708,0.0,3105.783439657932,3105.783439657932
 01/01  08:00:00,-11.0,19.67615065967171,-4.228057770276371,16.597725410989817,157.02582686989447,4602.423614368734,4602.423614368734,0.0,0.0,0.0,0.0,4098.52722365764,1558.0404740374502,37.687957697794296,0.0,2471.3612583265485,2471.3612583265485
 01/01  09:00:00,-11.0,19.704769567307512,-3.195116619605874,16.43887291143854,157.02582686989447,4166.990555399667,4166.990555399667,0.0,0.0,0.0,0.0,4066.9436520948166,1549.1203481714033,46.30912728018979,0.0,1998.8423343440872,1998.8423343440872
 01/01  10:00:00,-9.0,19.737539439369662,0.2205958768685663,16.3094434628209,157.02582686989447,3079.436489174135,3079.436489174135,0.0,0.0,0.0,0.0,4324.554089408006,1577.7877368421925,46.65283215371536,0.0,437.16882002636976,437.16882002636976
