Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,-12.0,3992.5176174256108,1522.7632532417038,32.49965356639343,0.0,156.26077926207046,0.0,18.66524582326691,-5.666693335587333,18.204184216049775,3352.980941146783,3352.980941146783,0.0,0.0,0.0,0.0,1068.9329160016314,1068.9329160016314
 01/01  02:00:00,-12.0,3995.140088151599,1519.9545967858562,32.49965356639343,0.0,156.26077926207046,0.0,18.62533311243543,-5.520888887852432,17.76172752021012,3715.8595121487615,3715.8595121487615,0.0,0.0,0.0,0.0,1503.8481713143815,1503.8481713143815
 01/01  03:00:00,-12.0,3966.579358264529,1506.8167651570916,41.54237967940005,0.0,156.26077926207046,0.0,18.61124858317137,-5.119638777220885,17.55667124618502,3959.0882957022313,3959.0882957022313,0.0,0.0,0.0,0.0,1813.9915477284362,1813.9915477284362
 01/01  04:00:00,-11.0,4107.388834926911,1525.2236665038715,37.54256702372333,0.0,156.26077926207046,0.0,18.610358863896728,-4.60069595851002,17.325257172465392,3929.96146476584,3929.96146476584,0.0,0.0,0.0,0.0,1625.242170405851,1625.242170405851
 01/01  05:00:00,-11.0,4107.70395925307,1524.8803621667537,37.54256702372333,0.0,156.26077926207046,0.0,18.60690316346302,-5.236480874842381,17.11610397579814,4090.1908143152214,4090.1908143152214,0.0,0.0,0.0,0.0,1786.484606743455,1786.484606743455
 01/01  06:00:00,-12.0,3967.8602193206525,1505.4437124287406,41.54237967940005,0.0,156.26077926207046,0.0,19.369677385766114,-4.948488351890856,16.91284377840214,5264.199051344442,5264.199051344442,0.0,0.0,0.0,0.0,3372.818795679545,3372.818795679545
 01/01  07:00:00,-12.0,3948.2702331660503,1526.3926383839705,41.54237967940005,0.0,156.26077926207046,0.0,19.612215709807003,-4.226059988164452,16.76219964600405,4973.572201876585,4973.572201876585,0.0,0.0,0.0,0.0,3085.3597265651297,3085.3597265651297
 01/01  08:00:00,-11.0,4082.0831867149054,1552.7156544391676,37.54256702372333,0.0,156.26077926207046,0.0,19.689736755734078,-4.225157495148592,16.60123508574906,4547.964202481824,4547.964202481824,0.0,0.0,0.0,0.0,2438.170139492202,2438.170139492202
 01/01  09:00:00,-11.0,4050.9054784273676,1543.5220656587496,46.130478299396145,0.0,156.26077926207046,85.44000000000004,19.701876160675987,-2.973938663201769,16.442042747815393,4118.593315597371,4118.593315597371,0.0,0.0,0.0,0.0,3102.727234172122,3102.727234172122
 01/01  10:00:00,-9.0,4307.958058933184,1571.6038979274008,46.47285724585386,0.0,156.26077926207046,85.44000000000004,19.704292318035797,0.4781636454884746,16.31180093013257,3062.8862035650727,3062.8862035650727,0.0,0.0,0.0,0.0,1742.2328402377962,1742.2328402377962
