Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,18.31504880390537,3.146205130336024,19.05981951487007,30.318715242951125,722.9710371648962,722.9710371648962,0.0,0.0,0.0,0.0,932.8872724905464,298.3681922700308,1.0991982098211943,158.46525912754493,0.0,0.0
 01/01  02:00:00,1.1,18.483621723436116,2.6508687159471402,18.719243973541992,50.913796481477426,1230.057835858428,1230.057835858428,0.0,0.0,0.0,0.0,1585.25224580367,495.63312550276953,3.8134498599433675,130.21911689476778,0.0,0.0
 01/01  03:00:00,1.7,18.56825797451647,2.475862226154601,18.555176573068206,60.626142624240515,1470.7986362381216,1470.7986362381216,0.0,0.0,0.0,0.0,1941.6064449766607,598.0468513951633,2.3142124372361432,116.94832664074228,0.0,0.0
 01/01  04:00:00,1.7,18.578875519252442,2.421579313307109,18.374263714319248,65.8534432688769,1579.070057450861,1579.070057450861,0.0,0.0,0.0,0.0,2116.975541483757,650.5987938999341,2.513748580816324,109.787440996303,0.0,0.0
 01/01  05:00:00,1.7,18.59960470722548,2.3401392911084713,18.220500796645517,66.59726561449862,1581.1989228526254,1581.1989228526254,0.0,0.0,0.0,0.0,2142.1042962559927,657.989565949109,2.544366656153389,108.76844675282325,0.0,0.0
 01/01  06:00:00,1.7,19.340881929648475,2.8677909717489802,18.055164521720286,99.46408126497901,2484.90447279038,2484.90447279038,0.0,0.0,0.0,0.0,3284.824682016868,982.8253431659913,3.799678667870535,63.74422015350545,0.0,0.0
 01/01  07:00:00,1.7,19.6204470669082,2.9403283206679713,17.949504560252038,98.13156245757408,2360.317808550746,2360.317808550746,0.0,0.0,0.0,0.0,3225.986293825778,983.680295278214,3.7487797152629714,65.5694472548277,0.0,0.0
 01/01  08:00:00,2.8,19.756210234414265,3.048403221691573,17.841158561447834,83.72865746455886,2013.79984834658,2013.79984834658,0.0,0.0,0.0,0.0,2804.6646508405493,854.540901560479,1.6500158093987989,85.3277209218277,0.0,0.0
 01/01  09:00:00,2.8,19.7462797060134,3.377627540148029,17.73182987191024,79.37333540651545,1906.7020245307976,1906.7020245307976,0.0,0.0,0.0,0.0,2647.859232116072,812.1664809759384,1.5634160666123733,91.29263827630558,0.0,0.0
 01/01  10:00:00,2.8,19.751653370946105,4.923051465762938,17.62811582200416,72.58757412012677,1734.834214432307,1734.834214432307,0.0,0.0,0.0,0.0,2408.5514052533617,742.5352647890096,1.4297569561670687,100.58621634367707,0.0,0.0
