Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,1.1,934.8728883907593,299.0671234399196,1.1014371331533914,158.16992896297265,30.380469533577827,0.0,18.35647471285657,3.4243443421595305,19.05899511026154,701.5304153155166,701.5304153155166,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,1.1,1600.123182668817,500.5059040792554,3.8478172532003034,129.23373838054124,51.37263032957921,0.0,18.542279674108865,2.857487823855639,18.718598160884323,1198.3481074854317,1198.3481074854317,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,1.7,1917.6627555469356,591.7109837676562,2.2870513909230787,117.50749672119878,59.91458951123355,0.0,18.61221616599483,2.612831066482552,18.556162482000044,1420.5442661827,1420.5442661827,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,1.7,2063.125401796763,635.3814081391288,2.452797860247404,111.52912596029161,64.25669303035777,0.0,18.606199840995163,2.5003497122806877,18.375781351232057,1519.6488359154137,1519.6488359154137,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,1.7,2090.9888907635764,643.3301727274691,2.4863252648723866,110.39820463468364,65.0780636762404,0.0,18.62366215182957,2.3886252528463343,18.22198127968988,1521.56660728721,1521.56660728721,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,1.7,3307.0950010529364,989.1745241232126,3.822438502224442,62.23402654388928,100.05986024479256,0.0,19.40100194385333,2.9333953531099235,18.055628446172854,2427.11124581681,2427.11124581681,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,1.7,3170.183578440103,968.9483392164612,3.688282965319602,67.06917775049912,96.54793170263599,0.0,19.64955922445396,2.9612790065900216,17.952500650997578,2300.6135356345694,2300.6135356345694,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,2.8,2705.536719094295,826.5102924132083,1.5949707035049885,88.59198294697872,80.93543826725644,0.0,19.753698458074748,3.033444370931108,17.84294438896052,1952.6594060544558,1952.6594060544558,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,2.8,3988.1562580544905,1186.4595935587038,2.284482388131787,40.35122349953861,115.98127486330553,85.44000000000007,19.68904452808788,4.0604717982244765,17.726562592082253,1855.4902446826654,1855.4902446826654,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,2.8,4055.1960191556277,1202.5951174336215,2.31875299043552,37.95625658880692,117.72117127130329,85.44000000000007,19.695400223749274,5.772347541065566,17.62211214991331,1779.2337499546102,1779.2337499546102,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,5.0,3201.6192600287413,937.5005031764036,0.04315851869266005,76.69525023612995,89.59246840223342,85.44000000000007,19.741767408193514,9.949756692934896,17.540715707048825,1254.4242746899072,1254.4242746899072,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,5.6,2568.691419123992,698.945579236274,0.0,112.91866087490436,63.2728807332825,84.22191697863987,19.73451462661189,11.61508098522347,17.45713514033507,1055.887561510479,1055.887561510479,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,5.6,1238.9355698366874,345.6629130854069,0.0,156.9314970522652,31.293366383105187,0.0,19.77576526395923,11.072544470535007,17.38489237624656,1000.152089887064,1000.152089887064,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,3.9,1244.4121528560934,387.6581832137343,18.776393964014588,144.83333173711853,39.963868061239985,0.0,19.633889833312303,10.680248757934812,17.323416979795624,988.0122274125679,988.0122274125679,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,3.3,1337.7875630330616,418.4807671695528,19.601654717416846,140.10146546458412,43.37238110844014,0.0,19.7133100053253,10.846491128796709,17.267228232560036,1051.315373407515,1051.315373407515,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,3.3,1249.8961717224324,392.55861715526805,18.359985008530955,143.8957469684409,40.62490103046817,0.0,19.72216821050747,10.443443463616811,17.217672414328728,989.1062089541283,989.1062089541283,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,3.0,1107.0692583455666,351.31638350635984,30.428643409698186,146.8979697906926,38.318716663845684,0.0,19.704797574943193,8.687590807966872,17.16713756060307,860.1574233359697,860.1574233359697,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,2.8,2379.48814102267,732.5310827686042,58.64208296976661,89.9823436144766,79.40537590888785,85.44000000000007,19.675068433417408,8.159068760862946,17.121703249408366,751.9925428409279,751.9925428409279,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,2.8,2467.79750345832,757.4211693291736,60.6733352854158,86.17153731329859,82.1559145360125,85.44000000000007,19.68867071225399,6.79727034984621,17.07220655289344,627.4746264695477,627.4746264695477,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,2.8,2568.7129790476415,786.5093823569407,69.95171842356636,80.44720770341722,86.22392685831294,85.44000000000007,19.65364328551537,5.611937180175253,17.02106588644352,664.5996024544838,664.5996024544838,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,3.3,2258.3410287110596,690.5661599642943,57.193088550658956,96.24007663988048,74.93448794404334,85.44000000000007,19.74609900447342,5.691829098702509,16.970301249142636,579.9622330944349,579.9622330944349,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,3.3,2057.5381772755445,633.7505123561078,52.39471898349579,104.94529734327686,68.64747832264366,79.66244105887579,19.726420193865135,4.989849549009406,16.91494141008121,644.2435546216366,644.2435546216366,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,3.9,27.33093098775637,8.782300080137826,0.7745896496059845,198.67979066745255,0.9540505033583659,0.0,18.767586829326934,3.7743761595712537,16.84176737448001,10.767028826494425,10.767028826494425,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,4.0,497.9924242516439,154.21591847268493,14.477191248938048,176.28060170939503,17.140169977972494,0.0,18.60412674645703,4.081354421416714,16.77928807704085,367.37062513094406,367.37062513094406,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  01:00:00,-2.8,637.2389008909477,224.53560461243794,7.447012641168972,166.52924996362134,24.152978494240504,0.0,18.591278736814,-2.169209593317871,19.470161993816223,437.3436695703567,437.3436695703567,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  02:00:00,-2.2,1384.6725499649394,465.58908146166,11.455615150723824,131.04720221661256,49.86653833740762,0.0,18.592797628922277,-2.3815333915024888,19.14675248401515,941.7554009329506,941.7554009329506,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  03:00:00,-2.2,1949.6714318211402,646.0507231864772,23.00671002846146,102.88141552730923,70.08962182088705,0.0,18.496517873749717,-1.858912599134327,18.952726411004008,1307.9335165404354,1307.9335165404354,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  04:00:00,-2.2,2687.601494180947,870.5323618469059,31.06928831323466,68.84672785363699,94.65252280790727,0.0,18.532919965731313,-1.3696539147863023,18.7346523819324,1816.7443530036653,1816.7443530036653,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  05:00:00,-1.7,2925.8148886825356,933.6905614735757,30.41441475423608,60.5426330725868,100.74302576517712,0.0,18.60421906489171,-1.1939005185141662,18.56490919009903,1991.2280993329805,1991.2280993329805,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  06:00:00,-2.2,4300.100298486812,1329.5997069974276,47.36566478219639,0.0,145.31903475298793,0.0,19.273948259561433,-0.5125251927789513,18.35245121704818,3067.5217387370813,3067.5217387370813,0.0,0.0,0.0,0.0,186.55705389912328,186.55705389912328
 01/06  07:00:00,-2.2,4285.338647249694,1347.081491013082,47.36566478219639,0.0,145.31903475298793,85.44000000000007,19.530413998205802,0.10548449678381372,18.23320934565364,3081.4480709825566,3081.4480709825566,0.0,0.0,0.0,0.0,1429.3644012723025,1429.3644012723025
 01/06  08:00:00,-0.6,4425.01073288112,1357.6227689267391,57.80219576100229,0.0,145.31903475298793,64.3662322467709,19.611547085503336,0.8511673741739562,18.10568462690915,2319.699989075649,2319.699989075649,0.0,0.0,0.0,0.0,127.49477134175231,127.49477134175231
 01/06  09:00:00,2.2,2315.1312481507284,720.0892001730915,20.798266896131086,98.50944129645202,73.53844649405835,0.0,19.80510654173532,2.640782932135191,18.022342852151414,1604.9988832909294,1604.9988832909294,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  10:00:00,2.2,754.9513748773408,245.19404316192947,7.054000130260773,165.57816966719275,24.941444688256542,0.0,19.800737945690294,6.957990603980107,17.92106418558398,530.1920920303837,530.1920920303837,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  11:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.299451216865915,11.997880959425375,17.844509284442676,-390.78708477807777,-390.78708477807777,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  12:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,20.720893856016808,14.988981946468943,17.79785271208165,-839.2875363959574,-839.2875363959574,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  13:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,21.21877993620283,16.58827152279339,17.783107070841268,-1117.4572200951588,-1117.4572200951588,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  14:00:00,7.8,0.0,0.0,0.0,200.0,0.0,70.54196334902926,20.984305260263152,18.71822963584557,17.79214703420328,-1774.748254198992,-1774.748254198992,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  15:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,22.363045882335204,16.879643029675464,17.816014109292627,-2453.3083731335773,-2453.3083731335773,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  16:00:00,7.2,0.0,0.0,0.0,200.0,0.0,0.0,23.079941207894,15.277997163159446,17.854363961787513,-2700.2448680149264,-2700.2448680149264,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  17:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,23.152960674496576,11.972141391943559,17.9145394706373,-2802.2857754515517,-2802.2857754515517,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  18:00:00,2.8,0.0,0.0,0.0,200.0,0.0,0.0,22.42873193343304,8.495702500026884,17.96760577937249,-2368.1232581877284,-2368.1232581877284,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  19:00:00,2.8,0.0,0.0,0.0,200.0,0.0,84.21536190333131,21.215271739048262,6.168566787789015,17.997482148030546,-2125.0219697748053,-2125.0219697748053,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  20:00:00,1.1,0.0,0.0,0.0,200.0,0.0,79.79348015953012,20.67455670535394,3.8959949371761287,17.99550900356432,-1845.8597158159519,-1845.8597158159519,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  21:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,20.936151516736018,2.4207787589507284,17.963450888293615,-1169.0774161213194,-1169.0774161213194,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  22:00:00,0.6,0.0,0.0,0.0,200.0,0.0,0.0,20.38000229735739,1.5376270007355852,17.908480119899927,-535.004330715461,-535.004330715461,0.0,0.0,0.0,0.0,0.0,0.0
 01/06  23:00:00,0.0,0.0,0.0,0.0,200.0,0.0,0.0,19.558286450788245,0.7246355955722849,17.837061576205407,-782.1156517152631,-782.1156517152631,0.0,0.0,0.0,0.0,0.0,0.0
