Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEAT PUMP WATER HEATER FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,10.6,741.4772894553766,191.201210747932,0.0,0.0,16.66393634048652,0.0,19.308029519153223,7.268457023894576,19.250878637166497,584.6996369900662,584.6996369900662,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,9.4,365.6815863688853,97.78274377955152,0.0,188.14834567392938,8.538806813982779,0.0,18.47009386734874,8.098419911704232,18.946383112930032,275.63166715897023,275.63166715897023,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,8.3,778.7471543633231,205.5801912862202,0.0,174.36169484691737,18.47172797290777,0.0,18.57983275450052,7.641203533007224,18.808711027698724,625.7453592302081,625.7453592302081,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,8.3,1001.1245944598122,263.82126244374814,0.0,167.15898937185324,23.661088791025712,0.0,18.619295561008443,7.963371832364441,18.660677761806504,788.2043417386012,788.2043417386012,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,8.3,961.9886686008556,253.87733879512206,0.0,168.41614990615636,22.75533752278594,0.0,18.642773567115285,8.208849498102378,18.539130988196657,768.7644381298469,768.7644381298469,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  06:00:00,8.3,1918.0794968157854,497.75615517783206,0.0,138.09134198960885,44.60356810279354,0.0,19.54022623500116,8.603257724365854,18.418740465887414,1526.8246594955544,1526.8246594955544,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  07:00:00,8.0,1800.219206820535,479.334667626544,0.0,141.14226130038875,42.4054605742527,0.0,19.57923360282057,8.691944716775195,18.331898427664044,1427.507831603336,1427.507831603336,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  08:00:00,7.2,1311.592469677081,356.35429809890775,0.0,155.8830238290061,31.785126901021847,0.0,19.780659088316106,8.304656719117304,18.244748493167428,1029.4206239538416,1029.4206239538416,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  09:00:00,5.6,2579.4181666738805,702.6867172539157,0.0,111.83710355723466,63.51905988600788,85.44000000000005,19.560975856471682,7.519437617824049,18.162513743928677,923.2715298508265,923.2715298508265,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  10:00:00,5.6,2989.740029193673,804.0019287757962,0.0,98.69106209738372,72.9904387590274,85.44000000000005,19.645969346034715,7.6382465571963625,18.092237549947924,1079.3002495387136,1079.3002495387136,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  11:00:00,5.0,3153.4819506989643,921.8449775641989,23.078939851574823,73.0779508959172,91.35108954749593,85.44000000000005,19.659367558217134,7.616902143295688,18.029654465828514,1213.5888338236346,1213.5888338236346,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  12:00:00,5.0,2717.9294463613837,802.5102239386487,20.08206618214346,89.53764374283143,79.50437390384474,72.23154771464567,19.741631360799186,7.484450872060815,17.974278931361635,1200.8069920363141,1200.8069920363141,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  13:00:00,5.0,1456.9520823533592,443.5905802041416,11.08156574039228,139.045322747174,43.87161057819596,0.0,19.759036172335062,7.040235282366041,17.9207406374789,1113.0839908569233,1113.0839908569233,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  14:00:00,5.0,1469.398256325365,447.4049238053799,11.160534619786873,138.54092650726076,44.23469568856072,0.0,19.6355125375543,7.138906017637542,17.861426375203607,1119.8824430853729,1119.8824430853729,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  15:00:00,5.0,1577.2561203045489,477.61417510110476,13.260060338490089,133.96924182117937,47.51984076212128,0.0,19.850055951353607,7.291649411653175,17.80452426796359,1194.3550832604997,1194.3550832604997,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  16:00:00,5.0,1370.8331003331243,419.1871756753829,10.425053544845838,142.51449890105525,41.374789324882485,0.0,19.699776833132393,7.033284681468536,17.752251899250936,1044.891767888943,1044.891767888943,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  17:00:00,5.0,885.314813749557,272.8368197670797,7.565522082159013,162.3261775322771,27.11241717758796,0.0,19.766811687053963,6.911337669071431,17.69721283068814,661.4343724829941,661.4343724829941,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  18:00:00,5.0,2250.300824728817,672.9362673650397,16.720054402175634,107.55712638125803,66.53532991115864,85.44000000000005,19.716782202600086,7.847450391166046,17.650827644367354,619.119763695091,619.119763695091,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  19:00:00,5.0,2333.265513108631,695.5778971488296,17.30013935678114,104.34991671214635,68.84372082629879,85.44000000000005,19.701667400964563,7.123482811580608,17.60412126938793,527.4919995906894,527.4919995906894,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  20:00:00,5.0,2262.5161657204276,675.4811628254022,11.692809307555416,108.1024698261967,66.1631885310616,85.44000000000005,19.72322783823457,6.964992741993498,17.55841930575972,462.9887068366734,462.9887068366734,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  21:00:00,5.0,1980.9870547865032,595.3502680833218,14.781360120558814,118.14431655811453,58.91536117086062,85.44000000000005,19.741600715885184,6.6834734329096115,17.511064054072488,413.4198468888335,413.4198468888335,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  22:00:00,5.0,1839.1196719246975,554.7230782617243,13.768197578430945,123.75497157545941,54.877106286295174,81.53259742162103,19.72487899620932,6.5079726265691065,17.461759154347675,501.0789826936016,501.0789826936016,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  23:00:00,5.0,42.148857259964196,13.250738631378669,0.2288921110376749,198.1984747726533,1.2970399118825147,0.0,18.583011380468143,5.78824683005155,17.404796733255946,25.96277265680874,25.96277265680874,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  24:00:00,5.0,698.3617089308004,210.5038675102196,5.334905242712927,170.42594226268915,21.285963138642764,0.0,18.506296684659013,5.902110865334893,17.343497442449564,535.4368316733326,535.4368316733326,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  01:00:00,5.6,0.0,0.0,0.0,200.0,0.0,0.0,19.14694114052002,4.119618467568702,19.412249885737616,-438.67574830542435,-438.67574830542435,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  02:00:00,1.7,437.2663448489878,142.0435195022479,0.5556951585500528,180.27987764943242,14.201965900865508,0.0,18.609372349088435,2.7988999019976024,19.119432868363145,327.6186203177949,327.6186203177949,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  03:00:00,1.7,974.8850109363555,308.4675681987755,3.1720911771184674,156.31738777683293,31.43850356679621,0.0,18.544243919132402,2.3211694581143734,18.920633812824924,721.5055352615982,721.5055352615982,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  04:00:00,1.7,1371.5859891663679,428.98449151129336,4.418099819482321,139.15870307580286,43.787676276987156,0.0,18.57856492407651,2.102226189228124,18.72893945877916,1007.1101322004488,1007.1101322004488,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  05:00:00,2.2,1647.1885708240773,507.7932023084438,3.193066730943213,128.74770530866684,51.30515341728678,0.0,18.691588856759225,1.871953850109883,18.55782502156478,1206.9165785122186,1206.9165785122186,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  06:00:00,4.4,2780.44455740794,809.8561204426447,0.038196310385320634,89.94520056933996,79.29141255466405,0.0,19.474628861078674,3.4544168410792166,18.383468726334215,2027.9565179093988,2027.9565179093988,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  07:00:00,4.4,4074.4990912886556,1175.0594553202775,0.05461228194657697,42.64596042263176,113.36919452629512,85.44000000000005,19.577911731459675,4.429678488071485,18.241070867756374,1994.614538579237,1994.614538579237,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  08:00:00,4.4,3089.4678032924653,911.8890837888858,6.482356245642029,76.84537273406417,88.69688573391453,64.64777424075886,19.688562007909628,5.213425120933062,18.113184556947083,1485.0178776945959,1485.0178776945959,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  09:00:00,7.8,890.8135228770428,242.532466572425,0.0,170.2288667179,21.449322494159194,0.0,19.89740481302443,7.6158023846631036,18.011749316152834,676.0732878213876,676.0732878213876,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  10:00:00,7.8,0.0,0.0,0.0,200.0,0.0,0.0,19.976256184834398,10.721722673584257,17.90999939939114,-195.209297635638,-195.209297635638,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  11:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,21.359336202012678,15.860683270759544,17.84503041423192,-1208.2770459189614,-1208.2770459189614,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  12:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,22.049021853262133,19.5496749690113,17.813173930796765,-1920.3526406801848,-1920.3526406801848,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  13:00:00,13.9,0.0,0.0,0.0,0.0,0.0,0.0,22.592662296980706,20.97122243308924,17.813116879359516,-2221.950801958257,-2221.950801958257,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  14:00:00,13.3,0.0,0.0,0.0,0.0,0.0,68.06365258151395,21.72452355327993,20.754596622823197,17.833480539730125,-2077.255384696704,-2077.255384696704,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  15:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22.46395048231785,17.931805593439442,17.857868173065192,-2214.7817844698457,-2214.7817844698457,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  16:00:00,12.8,0.0,0.0,0.0,0.0,0.0,0.0,22.579690469465472,16.310147485650244,17.883929913447066,-1736.2542728461103,-1736.2542728461103,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  17:00:00,11.1,0.0,0.0,0.0,0.0,0.0,0.0,22.48411361041155,14.536219057144926,17.907189992157168,-1630.3147820073136,-1630.3147820073136,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  18:00:00,10.6,0.0,0.0,0.0,0.0,0.0,0.0,22.52817444902535,12.884701381693606,17.920329855716925,-1716.8667264245214,-1716.8667264245214,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  19:00:00,10.6,0.0,0.0,0.0,0.0,0.0,81.58471399217817,21.338848610226993,11.841113134251007,17.92199121051041,-1876.8650213785531,-1876.8650213785531,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  20:00:00,7.0,0.0,0.0,0.0,200.0,0.0,77.04652382425493,20.67015287024106,9.449243248236044,17.908154273846264,-1805.3305982678285,-1805.3305982678285,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  21:00:00,5.0,0.0,0.0,0.0,200.0,0.0,0.0,21.203742585048193,8.00107254289741,17.885049457698447,-1404.536767997717,-1404.536767997717,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  22:00:00,3.9,0.0,0.0,0.0,200.0,0.0,0.0,20.61619424809153,6.576181907948342,17.843428856974253,-685.8595021085894,-685.8595021085894,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  23:00:00,2.0,0.0,0.0,0.0,200.0,0.0,0.0,19.724318432571433,5.079776261931523,17.7901887340238,-931.6848844732267,-931.6848844732267,0.0,0.0,0.0,0.0,0.0,0.0
 01/27  24:00:00,1.7,0.0,0.0,0.0,200.0,0.0,0.0,19.078377006439695,4.122305435913945,17.72505470337831,-404.78107833483045,-404.78107833483045,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  01:00:00,1.7,351.28638609705456,114.02113758963992,1.1645025936227615,183.98245893341308,11.527832193323723,0.0,18.634126140904446,3.62153738362495,17.642178096325416,237.292881144067,237.292881144067,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  02:00:00,1.1,1036.9257769913263,330.3758802026209,0.01610434273892308,153.59865410519,33.43076552265544,0.0,18.40376737209844,3.314015338389947,17.53794902159601,768.401333299571,768.401333299571,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  03:00:00,0.0,1587.0875285595544,505.33652419576737,0.02499303024928196,127.98773223116756,51.8825966888587,0.0,18.71160352401546,2.489948625793626,17.428517850083384,1170.6211793374396,1170.6211793374396,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  04:00:00,0.0,1917.1334983819222,609.8626755552249,0.029985785153610015,113.60213754782767,62.246969104499506,0.0,18.614003150582995,2.1645313946028457,17.328962196314713,1387.9373447486232,1387.9373447486232,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  05:00:00,-1.7,2348.455456473775,759.5172991815974,6.3061486198247465,89.32493159488305,79.62035915391498,0.0,18.506494089012303,1.2710659315925839,17.202773956670136,1677.731256086452,1677.731256086452,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  06:00:00,-1.7,4018.805012689936,1241.7050192892925,0.062244499725109884,20.65529723149886,129.21201153769198,0.0,19.25276770206113,1.8657523368878526,17.06783924323202,2844.0253644140157,2844.0253644140157,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  07:00:00,-1.7,4521.890460562791,1404.879541739629,0.06941325700091107,0.0,144.0947665036027,85.44000000000005,19.485292775275088,2.1258017076197406,16.997835081511855,2974.22511629548,2974.22511629548,0.0,0.0,0.0,0.0,1007.6042043428802,1007.6042043428802
 01/28  08:00:00,-1.7,4516.572971333014,1411.200563246777,0.06941325700091107,0.0,144.0947665036027,85.44000000000005,19.62254151821776,1.532632525282246,16.8974314985122,3108.0388736388395,3108.0388736388395,0.0,0.0,0.0,0.0,1224.5710893762725,1224.5710893762725
 01/28  09:00:00,-3.3,4315.440783190235,1395.7432995559534,0.06941325700091107,0.0,144.0947665036027,74.97814847110088,19.66641845071545,1.4841958455258737,16.785149529447086,3629.7346860052385,3629.7346860052385,0.0,0.0,0.0,0.0,1940.789852904792,1940.789852904792
 01/28  10:00:00,-3.3,3756.2091279324522,1233.7297148496868,0.061305009773709014,23.362243979116638,127.26147114860608,0.0,19.745681373249926,2.7869434857016655,16.69473353354753,2540.2201838525725,2540.2201838525725,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  11:00:00,-1.7,1460.0543978998712,496.17429089347473,0.024276448572892274,130.0524147063906,50.3949519899388,0.0,19.905342445189785,5.056683029451632,16.628445266938044,1006.5006222797892,1006.5006222797892,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  12:00:00,-1.1,388.12608940860866,134.7589775646298,0.00653821362595021,181.16148439522325,13.572545551264215,0.0,19.861325163469907,6.352008599780229,16.56598538526841,274.6567761553997,274.6567761553997,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  13:00:00,-1.1,0.0,0.0,0.0,200.0,0.0,0.0,19.874015852960905,6.93221336179831,16.535396895641284,-106.71545640989461,-106.71545640989461,0.0,0.0,0.0,0.0,0.0,0.0
 01/28  14:00:00,0.0,512.7765313205942,173.7330212954598,0.008355449856087667,175.9254925727574,17.34493214949284,0.0,19.726732466799568,6.327108462136889,16.525859836349234,365.1213098395492,365.1213098395492,0.0,0.0,0.0,0.0,0.0,0.0
