Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,12.8,20.318262623775258,5.507867959480245,21.178052406079388,0.0,-1250.2173812809797,-1250.2173812809797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  02:00:00,12.8,20.16503920774314,8.257941886508833,21.068817051133014,0.0,-839.9000508908703,-839.9000508908703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  03:00:00,12.2,19.601152412464874,10.503835375181788,20.996165708713896,0.0,-648.2737881536705,-648.2737881536705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  04:00:00,10.0,19.048401940156353,10.175951113697597,20.93034844919072,0.0,-266.2130746536968,-266.2130746536968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 01/01  05:00:00,9.4,18.61998364689699,9.90984925434997,20.86874648007024,0.0,-5.115643256355725,-5.115643256355725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  06:00:00,8.9,19.53096696286352,9.874337134896908,20.764793436865844,25.584275790349306,934.3856581113287,934.3856581113287,0.0,0.0,0.0,0.0,1097.5444486858344,287.997505954264,0.0,167.77313200198472,0.0,0.0
 01/01  07:00:00,8.3,19.975436032425954,9.509503690519335,20.72077239091339,26.90545007658194,935.8790618686398,935.8790618686398,0.0,0.0,0.0,0.0,1134.1272499504632,305.71857801297716,0.0,166.10893366103141,0.0,0.0
 01/01  08:00:00,8.3,19.754696789740123,9.128621298643578,20.6707265971396,16.48948603096877,545.7222339059535,545.7222339059535,0.0,0.0,0.0,0.0,688.6927862521059,188.90886866532222,0.0,179.22925417042293,0.0,0.0
 01/01  09:00:00,8.9,19.769444530942135,9.595022073645191,20.608287238808487,15.874841276225878,544.2959948680455,544.2959948680455,0.0,0.0,0.0,0.0,673.2289820854705,182.37391649050548,0.0,180.0034826668279,0.0,0.0
 01/01  10:00:00,8.9,19.742505436962343,11.0276508774427,20.556325286226723,9.594273550382633,319.994601577564,319.994601577564,0.0,0.0,0.0,0.0,405.07420945861196,110.248192475451,0.0,187.9147102001745,0.0,0.0
 01/01  11:00:00,10.0,19.75558089241862,12.284025895617084,20.50576366664889,6.292251623261943,217.95126247700318,217.95126247700318,0.0,0.0,0.0,0.0,272.2825381795784,73.22212501547824,0.0,0.0,0.0,0.0
 01/01  12:00:00,9.4,19.64800774077464,13.753757602328147,20.466836738256134,0.0,-24.070352802073103,-24.070352802073103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  13:00:00,8.3,19.797303111693612,14.507389458980725,20.43371091561254,0.0,-50.470120257778035,-50.470120257778035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  14:00:00,8.9,20.01531504822089,14.971059882830678,20.41448046326816,0.0,-185.46081778215375,-185.46081778215375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  15:00:00,9.4,20.331553173405783,15.106355637412085,20.403876568470096,0.0,-375.143605707377,-375.143605707377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  16:00:00,9.4,21.302093550662132,16.332320620777185,20.400076608048636,0.0,-993.3423453311862,-993.3423453311862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  17:00:00,8.3,21.73730843783164,14.611762893561759,20.40462524839505,0.0,-1336.6362038138905,-1336.6362038138905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  18:00:00,7.8,22.184572566577415,12.67348061399901,20.42023249457052,0.0,-1672.2076070127732,-1672.2076070127732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  19:00:00,7.2,21.934907297261315,10.041362168079603,20.432866834180757,0.0,-1483.120619388692,-1483.120619388692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  20:00:00,6.1,21.775414345382032,7.915331481593207,20.435174429850587,0.0,-1488.0863603067992,-1488.0863603067992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  21:00:00,6.1,21.739071384603605,6.6662101975210195,20.419531449738137,0.0,-1488.563702226851,-1488.563702226851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  22:00:00,5.6,21.256382667150362,5.857231881973753,20.38550893886486,0.0,-1081.0314133466254,-1081.0314133466254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  23:00:00,4.4,20.54601485978097,4.886767381146948,20.337238278321255,0.0,-1459.1421749199217,-1459.1421749199217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  24:00:00,3.3,19.790607806906777,3.762611416327281,20.27601870359668,0.0,-919.6789179765346,-919.6789179765346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/29  01:00:00,21.7,24.308321884908214,17.106024643901304,19.765652230227627,0.0,-2961.1649214817235,-2961.1649214817235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
