Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),LIVING:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),LIVING:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),ATTIC:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),CRAWLSPACE:Zone System Predicted Sensible Load to Heating Setpoint Heat Transfer Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Heating Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Heating Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  01:00:00,6.1,18.984450350416946,6.626539249704589,19.9271054303682,0.0,-301.177743612996,-301.177743612996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
 01/01  02:00:00,5.6,18.630986769690846,6.456699733280519,19.68610442807405,3.7101985095841905,104.91822132603738,104.91822132603738,0.0,0.0,0.0,0.0,150.41593024289057,42.26113946428879,0.0,196.01175918752446,0.0,0.0
 01/01  03:00:00,5.6,18.454325143725654,6.621355912674694,19.540535343580157,15.784916326960458,542.6234707950061,542.6234707950061,0.0,0.0,0.0,0.0,645.5940775312654,178.55357897052977,0.0,183.0321619304001,0.0,0.0
 01/01  04:00:00,5.6,18.554883561763532,6.651859052755892,19.386981913820094,25.57158856059836,879.7607273828216,879.7607273828216,0.0,0.0,0.0,0.0,1052.8621078457872,288.2477503792707,0.0,172.51207640945302,0.0,0.0
 01/01  05:00:00,4.4,18.293729560722017,6.067003868644734,19.239314957040364,40.499683797450345,1099.2148590293018,1099.2148590293018,0.0,0.0,0.0,0.0,1336.5365642231945,404.477508045025,18.777260879364945,156.36250645173044,0.0,0.0
 01/01  06:00:00,4.4,19.274953004985328,6.273529577865673,19.076246252571558,77.66509148730798,2172.810443627075,2172.810443627075,0.0,0.0,0.0,0.0,2622.325645994249,770.6855957010534,36.642801619597506,116.31416588589963,0.0,0.0
 01/01  07:00:00,4.4,19.623704940303142,6.3990832271859945,18.976812167090955,85.44338608203907,2330.7573547111133,2330.7573547111133,0.0,0.0,0.0,0.0,2889.684409895064,864.9988795026445,39.600760674054605,107.93607595863807,0.0,0.0
 01/01  08:00:00,3.9,19.843156241276258,6.074453021747915,18.874354061758762,77.31103737935928,2022.3182314908863,2022.3182314908863,0.0,0.0,0.0,0.0,2553.216679497936,781.3443873799127,38.07228272305196,116.64472711008669,0.0,0.0
 01/01  09:00:00,3.9,19.730593260180207,6.341290695268327,18.782827493474507,59.90209952558537,1519.3122396730505,1519.3122396730505,0.0,0.0,0.0,0.0,1955.1895497976464,608.0167417976157,29.48300881062988,135.4146250794653,0.0,0.0
 01/01  10:00:00,3.9,19.780718680308393,7.408959955740584,18.695851571428857,43.253931100064214,1079.5554350015045,1079.5554350015045,0.0,0.0,0.0,0.0,1398.2283580450185,438.0686335938465,21.288970242012415,153.36445701373776,0.0,0.0
